over_id,over_overNumber,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
48670,10,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,5.0,0.0,5.0,5.0,18.0,2.0,2019-03-22T11:30:13Z,6.0,False,,,,351.0,Chris Tremain,288.0,Travis Head,1202.0,Conor McInerney,211.0,74.0,Right,Mid Wicket,0.0,0.0,0.0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48669,11,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,3.0,0.0,0.0,3.0,21.0,2.0,2019-03-22T11:31:46Z,1.0,False,,,,20.0,Peter Siddle,1202.0,Conor McInerney,288.0,Travis Head,90.0,48.0,Right,Wicketkeeper,0.0,0.0,0.0,0.0,,LengthBall,Null,NoShot,0,NoShot,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48669,11,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,3.0,0.0,0.0,3.0,21.0,2.0,2019-03-22T11:32:24Z,2.0,False,,,,20.0,Peter Siddle,1202.0,Conor McInerney,288.0,Travis Head,336.0,77.0,Right,Cover,0.0,0.0,0.0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48669,11,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,3.0,0.0,0.0,3.0,21.0,2.0,2019-03-22T11:32:56Z,3.0,False,,,,20.0,Peter Siddle,1202.0,Conor McInerney,288.0,Travis Head,60.0,50.0,Right,Second Slip,0.0,0.0,0.0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48669,11,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,3.0,0.0,0.0,3.0,21.0,2.0,2019-03-22T11:33:35Z,4.0,False,,,,20.0,Peter Siddle,1202.0,Conor McInerney,288.0,Travis Head,342.0,82.0,Right,Cover,1.0,0.0,1.0,1.0,,LengthBall,Null,Played,0,Drive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
48669,11,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,3.0,0.0,0.0,3.0,21.0,2.0,2019-03-22T11:34:14Z,5.0,False,,,,20.0,Peter Siddle,288.0,Travis Head,1202.0,Conor McInerney,338.0,84.0,Right,Cover,1.0,0.0,1.0,1.0,,LengthBall,Null,Played,0,Drive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
48669,11,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,3.0,0.0,0.0,3.0,21.0,2.0,2019-03-22T11:34:49Z,6.0,False,,,,20.0,Peter Siddle,1202.0,Conor McInerney,288.0,Travis Head,331.0,86.0,Right,Extra Cover,1.0,0.0,1.0,1.0,,LengthBall,Null,Played,0,Drive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,99.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
48697,12,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,1.0,0.0,4.0,25.0,3.0,2019-03-22T11:35:47Z,1.0,False,,,,351.0,Chris Tremain,1202.0,Conor McInerney,288.0,Travis Head,212.0,185.0,Right,Deep Mid Wicket,4.0,0.0,4.0,4.0,,LengthBall,Null,Played,0,Drive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True
48697,12,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,1.0,0.0,4.0,25.0,3.0,2019-03-22T11:36:42Z,2.0,False,,,,351.0,Chris Tremain,1202.0,Conor McInerney,288.0,Travis Head,270.0,40.0,Right,Bowler,0.0,0.0,0.0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Round,Fast,Left,Null,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
48697,12,1082,,538,Sheffield Shield 2018-19,3,345,,82,Victoria Men,4.0,1.0,0.0,4.0,25.0,3.0,2019-03-22T11:37:18Z,3.0,True,Caught,1202.0,Conor McInerney,351.0,Chris Tremain,1202.0,Conor McInerney,288.0,Travis Head,2.0,83.0,Right,Point,0.0,0.0,0.0,0.0,Caught,LengthBall,Null,FalseShot,0,Flick,Null,Round,Fast,Left,Out1stUmpire,Null,False,False,False,False,False,False,142.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
