over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,totalBallNumber,battingHandId
1584693,12,3.0,0.0,0.0,0.0,36.0,1.0,0.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:42:49Z,3,False,,,,3005,George Hill,24,Dom Sibley,224,Ryan Patel,322,49,Short Mid Wicket,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584693,12,3.0,0.0,0.0,0.0,36.0,1.0,0.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:43:27Z,4,False,,,,3005,George Hill,24,Dom Sibley,224,Ryan Patel,315,58,Short Mid Wicket,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584693,12,3.0,0.0,0.0,0.0,36.0,1.0,0.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:43:56Z,5,False,,,,3005,George Hill,24,Dom Sibley,224,Ryan Patel,298,96,Mid On,0,0,0,0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584693,12,3.0,0.0,0.0,0.0,36.0,1.0,0.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:44:25Z,6,False,,,,3005,George Hill,24,Dom Sibley,224,Ryan Patel,309,41,Silly Mid On,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584700,13,2.85,1.0,0.0,0.0,37.0,1.0,1.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:45:10Z,1,False,,,,2988,Matthew Revis,224,Ryan Patel,24,Dom Sibley,296,42,Silly Mid Off,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,3,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584700,13,2.85,1.0,0.0,0.0,37.0,1.0,1.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:45:41Z,2,False,,,,2988,Matthew Revis,224,Ryan Patel,24,Dom Sibley,225,22,Short Leg,0,0,0,0,,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,3,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584700,13,2.85,1.0,0.0,0.0,37.0,1.0,1.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:46:09Z,3,False,,,,2988,Matthew Revis,224,Ryan Patel,24,Dom Sibley,256,33,Silly Mid On,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,3,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584700,13,2.85,1.0,0.0,0.0,37.0,1.0,1.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:46:43Z,4,False,,,,2988,Matthew Revis,224,Ryan Patel,24,Dom Sibley,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,ShouldersArms,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,3,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584700,13,2.85,1.0,0.0,0.0,37.0,1.0,1.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:47:16Z,5,False,,,,2988,Matthew Revis,224,Ryan Patel,24,Dom Sibley,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,3,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1584700,13,2.85,1.0,0.0,0.0,37.0,1.0,1.0,74671,,39272,County Championship Division One 2026,3,48,Surrey Men,45,Yorkshire Men,2026-05-17T21:47:48Z,6,False,,,,2988,Matthew Revis,224,Ryan Patel,24,Dom Sibley,214,56,Short Mid Wicket,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,3,False,False,False,False,False,False,1,0,0,0,0,False,False,,,
