over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,totalBallNumber,battingHandId
1313062,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:01:43Z,1,False,,,,7014,Ben Aitchison,78,Sam Robson,7893,Ben Geddes,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Missed,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,True,False,False,False,False,0,0,0,0,0,False,False,,,
1313062,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:02:23Z,2,False,,,,7014,Ben Aitchison,78,Sam Robson,7893,Ben Geddes,221,203,Deep Extra Cover,4,0,4,4,,LengthBall,Null,NotOut,Middled,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,False,False,False,False,4,0,0,0,0,False,True,,,
1313062,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:03:45Z,3,False,,,,7014,Ben Aitchison,78,Sam Robson,7893,Ben Geddes,227,22,Silly Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1313062,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:04:12Z,4,False,,,,7014,Ben Aitchison,78,Sam Robson,7893,Ben Geddes,228,33,Silly Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1313062,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:04:41Z,5,False,,,,7014,Ben Aitchison,78,Sam Robson,7893,Ben Geddes,212,34,Silly Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1313062,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:04:59Z,6,False,,,,7014,Ben Aitchison,78,Sam Robson,7893,Ben Geddes,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1313072,2,4.0,4.0,0.0,0.0,8.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:06:20Z,1,False,,,,10584,Rory Haydon,7893,Ben Geddes,78,Sam Robson,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1313072,2,4.0,4.0,0.0,0.0,8.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:06:51Z,2,False,,,,10584,Rory Haydon,7893,Ben Geddes,78,Sam Robson,114,124,Third Man,1,0,1,1,,Yorker,Null,NotOut,Edged,0,Pushed,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,False,False,False,False,1,0,0,0,0,False,False,,,
1313072,2,4.0,4.0,0.0,0.0,8.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:08:25Z,3,False,,,,10584,Rory Haydon,78,Sam Robson,7893,Ben Geddes,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,ShouldersArms,0,ShouldersArms,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,False,False,False,False,0,0,0,0,0,False,False,,,
1313072,2,4.0,4.0,0.0,0.0,8.0,0.0,4.0,74617,,39267,County Championship Division Two 2026,1,38,Middlesex Men,36,Derbyshire Men,2026-05-15T11:08:47Z,4,False,,,,10584,Rory Haydon,78,Sam Robson,7893,Ben Geddes,270,122,Mid Off,2,0,2,2,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,False,False,False,False,2,0,0,0,0,False,False,,,
