over_id,over_overNumber,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled
26272,8,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26273,9,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26273,9,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26273,9,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26273,9,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26273,9,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26273,9,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26275,10,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26275,10,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26275,10,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26275,10,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26275,10,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26275,10,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26277,11,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26277,11,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26277,11,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26277,11,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26277,11,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26277,11,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26279,12,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26279,12,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26279,12,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26279,12,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26279,12,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26279,12,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26281,13,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26281,13,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26281,13,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26281,13,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26281,13,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26281,13,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26283,14,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26283,14,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26283,14,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26283,14,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26283,14,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26283,14,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26285,15,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26285,15,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26285,15,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26285,15,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26285,15,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26285,15,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26287,16,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26287,16,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26287,16,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26287,16,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26287,16,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26287,16,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26288,17,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26288,17,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26288,17,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26288,17,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26288,17,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26288,17,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26289,18,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26289,18,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26289,18,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26289,18,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26289,18,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26289,18,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26291,19,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26291,19,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26291,19,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26291,19,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26291,19,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26291,19,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26292,20,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26292,20,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26292,20,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26292,20,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26292,20,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26292,20,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26294,21,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26294,21,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26294,21,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26294,21,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26294,21,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26294,21,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26296,22,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26296,22,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26296,22,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26296,22,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26296,22,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26296,22,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26297,23,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26297,23,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26297,23,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26297,23,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26297,23,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26297,23,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26300,24,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26300,24,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26300,24,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26300,24,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
26300,24,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,5,False,,0,0,False,False
26300,24,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,6,False,,0,0,False,False
26302,25,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,1,False,,0,0,False,False
26302,25,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,2,False,,0,0,False,False
26302,25,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,3,False,,0,0,False,False
26302,25,667,,67,Bangladesh v Windies ODIs - Men's,1,0,,0,,4,False,,0,0,False,False
