over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,appealDismissalTypeId
48014,2,8.0,0.0,0.0,8.0,13.0,0.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,1,False,Mid Wicket,0,0,False,False,2019-03-13T11:05:29Z,,,,677.0,Lungi Ngidi,1840.0,Avishka Fernando,555.0,Upul Tharanga,341.0,70.0,Left,0.0,0.0,,LengthBall,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,88.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
48014,2,8.0,0.0,0.0,8.0,13.0,0.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,2,False,Cover,0,0,False,False,2019-03-13T11:06:06Z,,,,677.0,Lungi Ngidi,1840.0,Avishka Fernando,555.0,Upul Tharanga,193.0,77.0,Left,0.0,0.0,,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
48014,2,8.0,0.0,0.0,8.0,13.0,0.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,3,False,Deep Point,0,4,False,True,2019-03-13T11:06:42Z,,,,677.0,Lungi Ngidi,1840.0,Avishka Fernando,555.0,Upul Tharanga,176.0,183.0,Left,4.0,4.0,,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,88.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,
48014,2,8.0,0.0,0.0,8.0,13.0,0.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,4,False,Point,0,0,False,False,2019-03-13T11:07:26Z,,,,677.0,Lungi Ngidi,1840.0,Avishka Fernando,555.0,Upul Tharanga,183.0,64.0,Left,0.0,0.0,,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
48014,2,8.0,0.0,0.0,8.0,13.0,0.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,5,False,Point,0,0,False,False,2019-03-13T11:08:04Z,,,,677.0,Lungi Ngidi,1840.0,Avishka Fernando,555.0,Upul Tharanga,172.0,82.0,Left,0.0,0.0,,BackOfALength,OutsideOff,None,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
48014,2,8.0,0.0,0.0,8.0,13.0,0.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,6,False,Deep Backward Point,0,4,False,True,2019-03-13T11:08:39Z,,,,677.0,Lungi Ngidi,1840.0,Avishka Fernando,555.0,Upul Tharanga,160.0,171.0,Left,4.0,4.0,,BackOfALength,OutsideOff,WellTimed,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,88.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,
48019,3,6.0,1.0,0.0,6.0,19.0,1.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,1,True,Mid On,0,0,False,False,2019-03-13T11:09:55Z,Caught,555.0,Upul Tharanga,143.0,Dale Steyn,555.0,Upul Tharanga,1840.0,Avishka Fernando,235.0,77.0,Right,0.0,0.0,Caught,BackOfALength,OffStump,MisTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Out1stUmpire,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
48019,3,6.0,1.0,0.0,6.0,19.0,1.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,2,False,Mid On,0,0,False,False,2019-03-13T11:12:26Z,,,,143.0,Dale Steyn,1840.0,Avishka Fernando,2252.0,Oshada Fernando,313.0,88.0,Left,0.0,0.0,,LengthBall,MiddleStump,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
48019,3,6.0,1.0,0.0,6.0,19.0,1.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,3,False,Deep Square Leg,0,4,False,True,2019-03-13T11:13:02Z,,,,143.0,Dale Steyn,1840.0,Avishka Fernando,2252.0,Oshada Fernando,356.0,191.0,Left,4.0,4.0,,Short,OutsideOff,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,28.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,
48019,3,6.0,1.0,0.0,6.0,19.0,1.0,1067,,123,South Africa v Sri Lanka ODI - Men's,1,9,Sri Lanka Men,21,South Africa Men,4,False,Short Extra Cover,0,0,False,False,2019-03-13T11:13:40Z,,,,143.0,Dale Steyn,1840.0,Avishka Fernando,2252.0,Oshada Fernando,219.0,50.0,Left,0.0,0.0,,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
