over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_runrate,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
714775,2,4.0,0.0,0.0,4.0,4.0,8.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:52:11Z,5,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,246,87,Mid Off,0,0,0,0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714775,2,4.0,0.0,0.0,4.0,4.0,8.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:52:47Z,6,False,10440,Graham Hume,733,Chamu Chibhabha,8201,Innocent Kaia,261,200,Long Off,4,0,4,4,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
714776,3,8.0,0.0,1.0,9.0,5.67,17.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:53:39Z,1,False,260,Josh Little,8201,Innocent Kaia,733,Chamu Chibhabha,316,55,Short Mid Wicket,0,0,0,0,LengthBall,MiddleStump,NotOut,InsideEdge,FrontFoot,ForwardDefensive,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714776,3,8.0,0.0,1.0,9.0,5.67,17.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:54:15Z,2,False,260,Josh Little,8201,Innocent Kaia,733,Chamu Chibhabha,251,55,Silly Mid Off,0,0,0,0,LengthBall,MiddleStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714776,3,8.0,0.0,1.0,9.0,5.67,17.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:54:53Z,3,False,260,Josh Little,8201,Innocent Kaia,733,Chamu Chibhabha,352,188,Deep Mid Wicket,4,0,4,4,LengthBall,DownLeg,NotOut,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,215,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
714776,3,8.0,0.0,1.0,9.0,5.67,17.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:55:37Z,4,False,260,Josh Little,8201,Innocent Kaia,733,Chamu Chibhabha,15,110,Backward Square Leg,0,1,1,0,LengthBall,DownLeg,NotOut,HitPad,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,True,False,False,215,False,False,True,False,False,False,0,0,0,1,0,False,False,,,,
714776,3,8.0,0.0,1.0,9.0,5.67,17.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:56:13Z,5,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,167,50,Gully,0,0,0,0,BackOfALength,LegStump,NotOut,HitPad,BackFoot,Worked,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
714776,3,8.0,0.0,1.0,9.0,5.67,17.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:56:47Z,6,False,260,Josh Little,733,Chamu Chibhabha,8201,Innocent Kaia,266,194,Long Off,4,0,4,4,LengthBall,OutsideOff,NotOut,WellTimed,NoMovement,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,215,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
714777,4,5.0,0.0,1.0,6.0,5.75,23.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:57:54Z,1,False,10440,Graham Hume,8201,Innocent Kaia,733,Chamu Chibhabha,266,205,Long Off,4,0,4,4,LengthBall,OutsideOff,NotOut,WellTimed,DownTheTrack,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,32,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
714777,4,5.0,0.0,1.0,6.0,5.75,23.0,0.0,28455,,16149,Zimbabwe v Ireland ODIs - Men,1,22,Zimbabwe Men,5,Ireland Men,2023-01-23T12:58:30Z,2,False,10440,Graham Hume,8201,Innocent Kaia,733,Chamu Chibhabha,14,101,Backward Square Leg,0,1,1,0,LengthBall,OutsideOff,NotOut,HitPad,BackFoot,Worked,SeamIn,Over,Fast,Left,Null,NotReferred,Null,False,False,False,True,False,False,32,False,False,True,False,False,False,0,0,0,1,0,False,False,,,,
