over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
41166,2,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:13:22Z,5,False,,,,472.0,,781.0,Colin Munro,160.0,Kane Williamson,300.0,193.0,Right,Long Off,4.0,0,4,4.0,,LengthBall,LegStump,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,True,145.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True
41166,2,,,,8.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:14:07Z,6,False,,,,472.0,,781.0,Colin Munro,160.0,Kane Williamson,217.0,59.0,Right,Short Mid Wicket,0.0,0,0,0.0,,LengthBall,DownLeg,NotOut,None,FrontFoot,Worked,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41167,3,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:14:57Z,1,False,,,,213.0,,160.0,Kane Williamson,781.0,Colin Munro,209.0,201.0,Left,Deep Extra Cover,4.0,0,4,4.0,,HalfVolley,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True
41167,3,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:15:50Z,2,False,,,,213.0,,160.0,Kane Williamson,781.0,Colin Munro,305.0,77.0,Left,Mid On,1.0,0,1,1.0,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
41167,3,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:16:49Z,3,True,Bowled,781.0,Colin Munro,213.0,,781.0,Colin Munro,160.0,Kane Williamson,0.0,0.0,Right,,0.0,0,0,0.0,Bowled,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Drive,SeamIn,Round,Fast,Left,Out2ndUmpire,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41167,3,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:19:02Z,4,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,BackOfALength,OutsideOff,NotOut,Left,BackFoot,NoShot,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41167,3,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:19:42Z,5,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,216.0,54.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41167,3,,,,5.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:20:25Z,6,False,,,,213.0,,1371.0,Ross Taylor,160.0,Kane Williamson,196.0,82.0,Left,Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,88.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
41168,4,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:21:40Z,1,False,,,,472.0,,160.0,Kane Williamson,1371.0,Ross Taylor,139.0,129.0,Left,Third Man,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
41168,4,,,,1.0,857,,93,New Zealand v India ODIs - Men's,1,25,New Zealand Men,3,India Men,2019-01-23T02:22:34Z,2,False,,,,472.0,,1371.0,Ross Taylor,160.0,Kane Williamson,293.0,83.0,Left,Mid On,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,145.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
