over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
46896,10,0,0,0,,39.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:43:18Z,1,False,,,,1149.0,Pat Cummins,297.0,,206.0,,208.0,53.0,Left,Short Extra Cover,0.0,0,0,0.0,,BackOfALength,OutsideOff,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46896,10,0,0,0,,39.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:43:57Z,2,False,,,,1149.0,Pat Cummins,297.0,,206.0,,208.0,43.0,Left,Short Extra Cover,0.0,0,0,0.0,,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46896,10,0,0,0,,39.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:44:56Z,3,False,,,,1149.0,Pat Cummins,297.0,,206.0,,285.0,64.0,Left,Silly Mid On,0.0,0,0,0.0,,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46896,10,0,0,0,,39.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:45:38Z,4,False,,,,1149.0,Pat Cummins,297.0,,206.0,,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,BackOfALength,OutsideOff,Missed,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46896,10,0,0,0,,39.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:46:18Z,5,False,,,,1149.0,Pat Cummins,297.0,,206.0,,210.0,55.0,Left,Short Extra Cover,0.0,0,0,0.0,,BackOfALength,OutsideOff,InsideEdge,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46896,10,0,0,0,,39.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:46:59Z,6,False,,,,1149.0,Pat Cummins,297.0,,206.0,,184.0,21.0,Left,Silly Point,0.0,0,0,0.0,,LengthBall,OutsideOff,MisTimed,DownTheTrack,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46898,11,4,0,0,4.0,43.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:48:13Z,1,False,,,,591.0,Glenn Maxwell,206.0,,297.0,,351.0,68.0,Left,Square Leg,0.0,0,0,0.0,,LengthBall,DownLeg,None,FrontFoot,Worked,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,89.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46898,11,4,0,0,4.0,43.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:48:28Z,2,False,,,,591.0,Glenn Maxwell,206.0,,297.0,,284.0,36.0,Left,Silly Mid On,0.0,0,0,0.0,,LengthBall,DownLeg,None,FrontFoot,Pushed,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,89.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
46898,11,4,0,0,4.0,43.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:48:41Z,3,False,,,,591.0,Glenn Maxwell,206.0,,297.0,,330.0,117.0,Left,Mid Wicket,1.0,0,1,1.0,,HalfVolley,LegStump,None,FrontFoot,Worked,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,89.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
46898,11,4,0,0,4.0,43.0,2.0,1038,,4912,India v Australia ODIs - Men's,1,3,India Men,23,Australia Men,2019-03-05T08:49:01Z,4,False,,,,591.0,Glenn Maxwell,297.0,,206.0,,6.0,88.0,Left,Square Leg,1.0,0,1,1.0,,BackOfALength,DownLeg,None,BackFoot,Worked,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,89.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
