over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1596608,2,4.5,9,1,0,9,1,9,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495258,2026-06-17T08:05:45Z,1,7,False,,,,7762,Mohammad Saleem,10915,Rohit Sharma,2993,Yashasvi Jaiswal,328.0,55.0,Right,Mid Wicket,0,0,0,0,,BackOfALength,OffStump,,None,FrontFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,True,True,False,False,False,0,0,0,0,0,False,False,
1596608,2,4.5,9,1,0,9,1,9,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495260,2026-06-17T08:06:20Z,2,8,False,,,,7762,Mohammad Saleem,10915,Rohit Sharma,2993,Yashasvi Jaiswal,190.0,172.0,Right,,4,0,4,4,,Short,Wide,,WellTimed,BackFoot,Cut,SeamAway,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,
1596608,2,4.5,9,1,0,9,1,9,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495262,2026-06-17T08:06:56Z,3,9,False,,,,7762,Mohammad Saleem,10915,Rohit Sharma,2993,Yashasvi Jaiswal,26.0,57.0,Right,Backward Square Leg,0,1,1,0,,LengthBall,MiddleStump,,HitPad,BackFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,True,False,True,,False,False,True,False,False,False,1,0,0,1,0,False,False,
1596608,2,4.5,9,1,0,9,1,9,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495264,2026-06-17T08:07:38Z,4,10,False,,,,7762,Mohammad Saleem,2993,Yashasvi Jaiswal,10915,Rohit Sharma,,,Left,Wicketkeeper,0,0,0,0,,Short,MiddleStump,,Missed,BackFoot,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1596608,2,4.5,9,1,0,9,1,9,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495265,2026-06-17T08:08:13Z,5,11,False,,,,7762,Mohammad Saleem,2993,Yashasvi Jaiswal,10915,Rohit Sharma,20.0,167.0,Left,,4,0,4,4,,BackOfALength,OutsideOff,,WellTimed,BackFoot,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,
1596608,2,4.5,9,1,0,9,1,9,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495267,2026-06-17T08:08:51Z,6,12,True,Caught,2993.0,Yashasvi Jaiswal,7762,Mohammad Saleem,2993,Yashasvi Jaiswal,10915,Rohit Sharma,23.0,74.0,Left,Backward Point,0,0,0,0,Caught,Short,OffStump,Caught,MisTimed,BackFoot,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,1819.0,False,False,True,False,False,False,0,0,0,0,0,False,True,
1596611,3,5.0,6,0,0,15,1,6,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495271,2026-06-17T08:11:31Z,1,13,False,,,,14804,AM Ghazanfar,10915,Rohit Sharma,10933,Shubman Gill,346.0,120.0,Right,Deep Square Leg,1,0,1,1,,BackOfALength,OffStump,,None,BackFoot,Worked,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,
1596611,3,5.0,6,0,0,15,1,6,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495273,2026-06-17T08:12:11Z,2,14,False,,,,14804,AM Ghazanfar,10933,Shubman Gill,10915,Rohit Sharma,309.0,40.0,Right,Mid Wicket,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,ForwardDefensive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1596611,3,5.0,6,0,0,15,1,6,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495275,2026-06-17T08:12:41Z,3,15,False,,,,14804,AM Ghazanfar,10933,Shubman Gill,10915,Rohit Sharma,220.0,176.0,Right,,4,0,4,4,,LengthBall,OutsideOff,,Middled,FrontFoot,Drive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,
1596611,3,5.0,6,0,0,15,1,6,75087,40040,India v Afghanistan ODIs 2026 - Men,1,3,India Men,6,Afghanistan Men,8495277,2026-06-17T08:13:49Z,4,16,False,,,,14804,AM Ghazanfar,10933,Shubman Gill,10915,Rohit Sharma,223.0,44.0,Right,Extra Cover,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,ForwardDefensive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
