over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
18057,18,10,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:46:10Z,1,False,564,Amila Aponso,193,Joe Root,82,Eoin Morgan,101,137,Left,Third Man,2,0,2,2,LengthBall,OffStump,NotOut,None,FrontFoot,ReverseSweep,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,True,True,119,False,False,False,False,False,False,2,0,0,0,0,False,False
18057,18,10,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:46:43Z,2,False,564,Amila Aponso,193,Joe Root,82,Eoin Morgan,199,91,Left,Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,119,False,False,False,False,False,False,0,0,0,0,0,False,False
18057,18,10,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:46:57Z,3,False,564,Amila Aponso,193,Joe Root,82,Eoin Morgan,270,40,Left,Bowler,0,0,0,0,LengthBall,OffStump,NotOut,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,119,False,False,False,False,False,False,0,0,0,0,0,False,False
18057,18,10,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:47:19Z,4,False,564,Amila Aponso,193,Joe Root,82,Eoin Morgan,346,78,Left,Mid Wicket,1,0,1,1,LengthBall,MiddleStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,119,False,False,False,False,False,False,1,0,0,0,0,False,False
18057,18,10,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:47:47Z,5,False,564,Amila Aponso,82,Eoin Morgan,193,Joe Root,296,199,Right,Long Off,6,0,6,6,LengthBall,OffStump,NotOut,WellTimed,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,True,True,119,False,False,False,False,False,False,6,0,0,0,0,False,True
18057,18,10,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:48:18Z,6,False,564,Amila Aponso,82,Eoin Morgan,193,Joe Root,231,133,Right,Mid On,1,0,1,1,FullToss,LegStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,119,False,False,False,False,False,False,1,0,0,0,0,False,False
18058,19,8,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:49:18Z,1,False,593,Akila Dananjaya,82,Eoin Morgan,193,Joe Root,339,53,Right,Short Extra Cover,0,0,0,0,LengthBall,OffStump,NotOut,None,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,True,69,False,False,False,False,False,False,0,0,0,0,0,False,False
18058,19,8,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:49:32Z,2,False,593,Akila Dananjaya,82,Eoin Morgan,193,Joe Root,311,145,Right,Deep Extra Cover,1,0,1,1,HalfVolley,OutsideOff,NotOut,None,FrontFoot,Drive,LegSpinner,Round,OffSpin,Left,Null,Null,False,False,False,False,False,True,69,False,False,False,False,False,False,1,0,0,0,0,False,False
18058,19,8,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:50:03Z,3,False,593,Akila Dananjaya,193,Joe Root,82,Eoin Morgan,351,129,Left,Deep Mid Wicket,2,0,2,2,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,True,69,False,False,False,False,False,False,2,0,0,0,0,False,False
18058,19,8,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:50:34Z,4,False,593,Akila Dananjaya,193,Joe Root,82,Eoin Morgan,294,135,Left,Long On,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,Drive,Googly,Over,OffSpin,Left,Null,Null,False,False,False,False,False,True,69,False,False,False,False,False,False,1,0,0,0,0,False,False
18058,19,8,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:50:57Z,5,False,593,Akila Dananjaya,82,Eoin Morgan,193,Joe Root,209,53,Right,Short Mid Wicket,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,LegSpinner,Round,OffSpin,Left,Null,Null,False,False,False,False,False,True,69,False,False,False,False,False,False,0,0,0,0,0,False,False
18058,19,8,327,,41,Sri Lanka v England ODI - Men's,2,1,England Men,9,Sri Lanka Men,2018-10-20T10:51:15Z,6,False,593,Akila Dananjaya,82,Eoin Morgan,193,Joe Root,204,198,Right,Deep Mid Wicket,4,0,4,4,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Pull,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,True,True,69,False,False,False,False,False,False,4,0,0,0,0,False,True
