over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
1636748,9,9.22,10,0,0,83,1,10,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745534,2026-09-01T12:32:51Z,3,53,False,,,,687,Wellington Masakadza,14169,Lhuan-dre Pretorius,8283,Dewald Brevis,165.0,167.0,Left,,6,0,6,6,,Short,MiddleStump,,WellTimed,FrontFoot,Pull,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,6,0,0,0,0,True,False
1636748,9,9.22,10,0,0,83,1,10,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745536,2026-09-01T12:33:26Z,4,54,False,,,,687,Wellington Masakadza,14169,Lhuan-dre Pretorius,8283,Dewald Brevis,353.0,153.0,Left,Deep Cover,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Cut,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636748,9,9.22,10,0,0,83,1,10,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745538,2026-09-01T12:33:59Z,5,55,False,,,,687,Wellington Masakadza,8283,Dewald Brevis,14169,Lhuan-dre Pretorius,55.0,63.0,Right,Short Fine Leg,1,0,1,1,,LengthBall,LegStump,,None,FrontFoot,Glance,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636748,9,9.22,10,0,0,83,1,10,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745540,2026-09-01T12:34:24Z,6,56,False,,,,687,Wellington Masakadza,14169,Lhuan-dre Pretorius,8283,Dewald Brevis,193.0,142.0,Left,Deep Square Leg,1,0,1,1,,Short,OffStump,,None,FrontFoot,Pull,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636750,10,8.8,5,0,0,88,1,5,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745543,2026-09-01T12:35:36Z,1,57,False,,,,2559,Brad Evans,14169,Lhuan-dre Pretorius,8283,Dewald Brevis,15.0,150.0,Left,Deep Backward Point,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Cut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636750,10,8.8,5,0,0,88,1,5,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745544,2026-09-01T12:36:21Z,2,58,False,,,,2559,Brad Evans,8283,Dewald Brevis,14169,Lhuan-dre Pretorius,338.0,136.0,Right,Deep Square Leg,1,0,1,1,,LengthBall,MiddleStump,,None,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636750,10,8.8,5,0,0,88,1,5,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745546,2026-09-01T12:36:54Z,3,59,False,,,,2559,Brad Evans,14169,Lhuan-dre Pretorius,8283,Dewald Brevis,202.0,133.0,Left,Deep Square Leg,1,0,1,1,,Short,LegStump,,None,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636750,10,8.8,5,0,0,88,1,5,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745549,2026-09-01T12:37:33Z,4,60,False,,,,2559,Brad Evans,8283,Dewald Brevis,14169,Lhuan-dre Pretorius,169.0,75.0,Right,Backward Point,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False
1636750,10,8.8,5,0,0,88,1,5,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745550,2026-09-01T12:38:12Z,5,61,False,,,,2559,Brad Evans,8283,Dewald Brevis,14169,Lhuan-dre Pretorius,355.0,149.0,Right,Deep Square Leg,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
1636750,10,8.8,5,0,0,88,1,5,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745553,2026-09-01T12:38:43Z,6,62,False,,,,2559,Brad Evans,14169,Lhuan-dre Pretorius,8283,Dewald Brevis,161.0,126.0,Left,Deep Backward Square Leg,1,0,1,1,,Short,LegStump,,None,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False
