over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,matchName
1605099,3,5.0,9,0,0,15,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546065,2026-07-01T16:47:26Z,4,17,False,,,,139,Liam Dawson,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Short Fine Leg,1,0,1,1,,BackOfALength,MiddleStump,,None,FrontFoot,Flick,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,138.0,51.0,
1605099,3,5.0,9,0,0,15,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546066,2026-07-01T16:47:57Z,5,18,False,,,,139,Liam Dawson,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Mid Wicket,0,0,0,0,,BackOfALength,OffStump,,None,BackFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,329.0,68.0,
1605099,3,5.0,9,0,0,15,2,9,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546067,2026-07-01T16:48:15Z,6,19,False,,,,139,Liam Dawson,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,Cover,0,0,0,0,,BackOfALength,OutsideOff,,None,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,209.0,68.0,
1605100,4,9.0,21,0,0,36,2,21,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546068,2026-07-01T16:49:01Z,1,20,False,,,,646,Saqib Mahmood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Extra Cover,0,0,0,0,,BackOfALength,LegStump,,None,BackFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,314.0,63.0,
1605100,4,9.0,21,0,0,36,2,21,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546069,2026-07-01T16:49:38Z,2,21,False,,,,646,Saqib Mahmood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,4,0,4,4,,Short,DownLeg,,WellTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,128.0,162.0,
1605100,4,9.0,21,0,0,36,2,21,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546070,2026-07-01T16:50:17Z,3,22,False,,,,646,Saqib Mahmood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,6,0,6,6,,Short,DownLeg,,Middled,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,6,0,0,0,0,True,False,151.0,165.0,
1605100,4,9.0,21,0,0,36,2,21,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546071,2026-07-01T16:51:02Z,4,23,False,,,,646,Saqib Mahmood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,,6,0,6,6,,BackOfALength,LegStump,,Middled,BackFoot,Pull,OffCutter,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,6,0,0,0,0,True,False,210.0,175.0,
1605100,4,9.0,21,0,0,36,2,21,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546072,2026-07-01T16:52:00Z,5,5,False,,,,646,Saqib Mahmood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Deep Square Leg,1,0,1,1,,BackOfALength,DownLeg,,WellTimed,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,191.0,104.0,
1605100,4,9.0,21,0,0,36,2,21,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546073,2026-07-01T16:52:38Z,6,25,False,,,,646,Saqib Mahmood,10922,Shreyas Iyer,2665,Abhishek Sharma,Right,,4,0,4,4,,BackOfALength,OutsideOff,,Middled,BackFoot,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,151.0,165.0,
1605101,5,10.4,16,0,0,52,2,16,75327,24484,England v India T20s 2026 - Men,1,3,India Men,1,England Men,8546074,2026-07-01T16:53:31Z,1,26,False,,,,354,Luke Wood,2665,Abhishek Sharma,10922,Shreyas Iyer,Left,Mid Off,0,0,0,0,,BackOfALength,OutsideOff,,None,BacksAway,Pushed,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,286.0,73.0,
