over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1223575,3,11.67,16.0,0.0,0.0,35.0,0.0,16.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:55:07Z,2,False,770,Ben Dwarshuis,10933,Shubman Gill,2665,Abhishek Sharma,163,75,Backward Point,0,0,0,0,LengthBall,LegStump,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0
1223575,3,11.67,16.0,0.0,0.0,35.0,0.0,16.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:55:37Z,3,False,770,Ben Dwarshuis,10933,Shubman Gill,2665,Abhishek Sharma,335,216,Deep Mid Wicket,4,0,4,4,LengthBall,DownLeg,NotOut,WellTimed,DownTheTrack,Slog,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,87,False,False,True,False,True,False,4,0,0,0,0,False,True,0.0
1223575,3,11.67,16.0,0.0,0.0,35.0,0.0,16.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:56:10Z,4,False,770,Ben Dwarshuis,10933,Shubman Gill,2665,Abhishek Sharma,165,173,Deep Backward Point,4,0,4,4,BackOfALength,OutsideOff,NotOut,WellTimed,DownTheTrack,Cut,NoMovement,Round,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,4,0,0,0,0,False,True,0.0
1223575,3,11.67,16.0,0.0,0.0,35.0,0.0,16.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:56:57Z,5,False,770,Ben Dwarshuis,10933,Shubman Gill,2665,Abhishek Sharma,344,196,Deep Mid Wicket,4,0,4,4,Short,Wide,NotOut,WellTimed,FrontFoot,Pull,NoMovement,Round,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,87,False,False,True,False,True,False,4,0,0,0,0,False,True,0.0
1223575,3,11.67,16.0,0.0,0.0,35.0,0.0,16.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:57:40Z,6,False,770,Ben Dwarshuis,10933,Shubman Gill,2665,Abhishek Sharma,162,76,Backward Point,0,0,0,0,LengthBall,LegStump,NotOut,None,FrontFoot,Dropped,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0
1223581,4,11.75,12.0,0.0,0.0,47.0,0.0,12.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:58:38Z,1,False,3531,Nathan Ellis,2665,Abhishek Sharma,10933,Shubman Gill,17,143,Deep Backward Point,2,0,2,2,LengthBall,OutsideOff,NotOut,ThickEdge,FrontFoot,Pushed,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,2,0,0,0,0,False,False,
1223581,4,11.75,12.0,0.0,0.0,47.0,0.0,12.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:59:17Z,2,False,3531,Nathan Ellis,2665,Abhishek Sharma,10933,Shubman Gill,358,95,Point,0,0,0,0,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,
1223581,4,11.75,12.0,0.0,0.0,47.0,0.0,12.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T13:59:53Z,3,False,3531,Nathan Ellis,2665,Abhishek Sharma,10933,Shubman Gill,164,132,Deep Backward Square Leg,2,0,2,2,BackOfALength,MiddleStump,NotOut,MisTimed,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,2,0,0,0,0,False,False,
1223581,4,11.75,12.0,0.0,0.0,47.0,0.0,12.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:00:40Z,4,False,3531,Nathan Ellis,2665,Abhishek Sharma,10933,Shubman Gill,357,148,Deep Point,1,0,1,1,LengthBall,OutsideOff,NotOut,None,BackFoot,Cut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,False,99,False,False,True,False,True,False,1,0,0,0,0,False,False,
1223581,4,11.75,12.0,0.0,0.0,47.0,0.0,12.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:01:22Z,5,False,3531,Nathan Ellis,10933,Shubman Gill,2665,Abhishek Sharma,324,67,Mid Wicket,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,1,0,0,0,0,False,False,
1223581,4,11.75,12.0,0.0,0.0,47.0,0.0,12.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:01:56Z,6,False,3531,Nathan Ellis,2665,Abhishek Sharma,10933,Shubman Gill,207,209,Deep Mid Wicket,6,0,6,6,BackOfALength,OffStump,NotOut,Middled,FrontFoot,Slog,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,False,99,False,False,True,False,True,False,6,0,0,0,0,False,True,
1223582,5,11.56,5.0,0.0,0.0,52.0,0.0,5.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:03:16Z,1,False,877,Xavier Bartlett,10933,Shubman Gill,2665,Abhishek Sharma,13,154,Deep Backward Square Leg,1,0,1,1,LengthBall,OffStump,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,1,0,0,0,0,False,False,0.0
1223582,5,11.56,5.0,0.0,0.0,52.0,0.0,5.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:03:55Z,2,False,877,Xavier Bartlett,2665,Abhishek Sharma,10933,Shubman Gill,306,108,Mid Off,1,0,1,1,FullToss,LegStump,NotOut,None,DownTheTrack,Drive,SlowerBall,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,1,0,0,0,0,False,False,0.0
1223582,5,11.56,5.0,0.0,0.0,52.0,0.0,5.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:04:24Z,3,False,877,Xavier Bartlett,10933,Shubman Gill,2665,Abhishek Sharma,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Pull,SeamIn,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0
1223582,5,11.56,5.0,0.0,0.0,52.0,0.0,5.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:05:10Z,4,False,877,Xavier Bartlett,10933,Shubman Gill,2665,Abhishek Sharma,204,90,Cover,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,1,0,0,0,0,False,False,0.0
1223582,5,11.56,5.0,0.0,0.0,52.0,0.0,5.0,72583,,23421,Australia v India T20Is 2025 - Men,1,3,India Men,23,Australia Men,2025-11-08T14:05:48Z,5,False,877,Xavier Bartlett,2665,Abhishek Sharma,10933,Shubman Gill,200,144,Deep Mid Wicket,2,0,2,2,Short,DownLeg,NotOut,MisTimed,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,True,False,2,0,0,0,0,False,False,0.0
