over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1602590,3,8.33,5,1,0,25,2,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530893,2026-06-26T12:44:02Z,5,17,False,,,,2667,Arshdeep Singh,3125,Harry Tector,2963,Tim Tector,327.0,43.0,Right,Mid Wicket,0,0,0,0,,BackOfALength,MiddleStump,,Gloved,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602590,3,8.33,5,1,0,25,2,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530894,2026-06-26T12:44:44Z,6,18,True,Caught,3125.0,Harry Tector,2667,Arshdeep Singh,3125,Harry Tector,2963,Tim Tector,90.0,17.0,Right,Wicketkeeper,0,0,0,0,Caught,HalfVolley,OffStump,Caught,OutsideEdge,FrontFoot,Drive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,1852.0,False,False,True,False,False,False,0,0,0,0,0,False,True,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530897,2026-06-26T12:46:22Z,1,19,False,,,,10208,Harshit Rana,2963,Tim Tector,2259,Lorcan Tucker,0.0,0.0,Right,Bowler,0,0,0,0,,HalfVolley,OffStump,,BatPad,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530899,2026-06-26T12:47:06Z,2,20,False,,,,10208,Harshit Rana,2963,Tim Tector,2259,Lorcan Tucker,,,Right,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530901,2026-06-26T12:47:49Z,3,21,False,,,,10208,Harshit Rana,2963,Tim Tector,2259,Lorcan Tucker,2.0,170.0,Right,,4,0,4,4,,LengthBall,OutsideOff,,WellTimed,FrontFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530903,2026-06-26T12:48:32Z,4,22,False,,,,10208,Harshit Rana,2963,Tim Tector,2259,Lorcan Tucker,,,Right,Wicketkeeper,1,1,1,0,,HalfTracker,OutsideOff,,Left,NoMovement,Leave,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,,False,False,True,False,False,False,1,0,1,0,0,False,False,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530905,2026-06-26T12:49:12Z,4,23,True,Caught,2963.0,Tim Tector,10208,Harshit Rana,2963,Tim Tector,2259,Lorcan Tucker,240.0,80.0,Right,Mid Off,0,0,0,0,Caught,BackOfALength,OutsideOff,Caught,MisTimed,DownTheTrack,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,1828.0,False,False,True,False,False,False,0,0,0,0,0,False,True,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530908,2026-06-26T12:51:03Z,5,24,False,,,,10208,Harshit Rana,4097,Ben Calitz,2259,Lorcan Tucker,,,Left,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,Pushed,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602592,4,7.5,5,1,0,30,3,5,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530910,2026-06-26T12:51:45Z,6,25,False,,,,10208,Harshit Rana,4097,Ben Calitz,2259,Lorcan Tucker,,,Left,Bowler,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,ForwardDefensive,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602594,5,6.6,3,0,0,33,3,3,75232,40161,Ireland v India T20s 2026 - Men,1,5,Ireland Men,3,India Men,8530914,2026-06-26T12:52:48Z,1,26,False,,,,2667,Arshdeep Singh,2259,Lorcan Tucker,4097,Ben Calitz,174.0,47.0,Right,Backward Point,0,0,0,0,,LengthBall,MiddleStump,,None,FrontFoot,Pushed,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,
