over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1640772,2,9.0,4,0,0,18,0,4,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769755,2026-09-06T12:05:14Z,1,7,False,2572,Blessing Muzarabani,8315,Jordan Hermann,10075,Connor Esterhuizen,Left,Mid Off,1,0,1,1,HalfVolley,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,282.0,71.0,,,,,,
1640772,2,9.0,4,0,0,18,0,4,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769770,2026-09-06T12:06:04Z,2,8,False,2572,Blessing Muzarabani,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Point,0,0,0,0,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,InSwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,182.0,56.0,,,,,,
1640772,2,9.0,4,0,0,18,0,4,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769779,2026-09-06T12:06:37Z,3,9,False,2572,Blessing Muzarabani,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Bowler,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,,
1640772,2,9.0,4,0,0,18,0,4,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769794,2026-09-06T12:07:14Z,4,10,False,2572,Blessing Muzarabani,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Deep Extra Cover,2,0,2,2,BackOfALength,OutsideOff,None,BacksAway,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,2,0,0,0,0,False,False,216.0,113.0,,,,,,
1640772,2,9.0,4,0,0,18,0,4,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769806,2026-09-06T12:07:52Z,5,11,False,2572,Blessing Muzarabani,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Square Leg,1,0,1,1,LengthBall,OutsideOff,None,BackFoot,Worked,InSwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,335.0,55.0,,,,,,
1640772,2,9.0,4,0,0,18,0,4,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769815,2026-09-06T12:08:35Z,6,12,False,2572,Blessing Muzarabani,8315,Jordan Hermann,10075,Connor Esterhuizen,Left,Wicketkeeper,0,0,0,0,BackOfALength,MiddleStump,Missed,BackFoot,Pushed,AwaySwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,,
1640783,3,10.67,14,0,0,32,0,14,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769832,2026-09-06T12:09:45Z,1,13,False,14669,Newman Nyamhuri,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Wicketkeeper,0,0,0,0,HalfVolley,OutsideOff,Left,FrontFoot,Leave,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,,
1640783,3,10.67,14,0,0,32,0,14,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769839,2026-09-06T12:10:20Z,2,14,False,14669,Newman Nyamhuri,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Wicketkeeper,0,0,0,0,LengthBall,MiddleStump,Missed,FrontFoot,Drive,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,,
1640783,3,10.67,14,0,0,32,0,14,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769851,2026-09-06T12:10:57Z,3,15,False,14669,Newman Nyamhuri,10075,Connor Esterhuizen,8315,Jordan Hermann,Right,Backward Point,1,0,1,1,LengthBall,LegStump,None,BackFoot,Steer,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,160.0,65.0,,,,,,
1640783,3,10.67,14,0,0,32,0,14,76356,,40951,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8769862,2026-09-06T12:11:49Z,4,16,False,14669,Newman Nyamhuri,8315,Jordan Hermann,10075,Connor Esterhuizen,Left,,6,0,6,6,LengthBall,MiddleStump,Middled,BackFoot,Flick,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,144.0,164.0,,,,,,
