over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runsConceded,over_wickets,over_runsExtras
45718,4,12.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:52:13Z,6,False,965.0,Jason Behrendorff,206.0,,203.0,,129.0,145.0,Left,Third Man,1.0,0,1,1.0,BackOfALength,LegStump,NotOut,None,BackFoot,LateCut,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,89.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45720,5,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:53:15Z,1,False,1145.0,Nathan Coulter-Nile,206.0,,203.0,,333.0,209.0,Left,Deep Mid Wicket,4.0,0,4,4.0,HalfVolley,MiddleStump,NotOut,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,True,83.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,,
45720,5,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:53:49Z,2,False,1145.0,Nathan Coulter-Nile,206.0,,203.0,,127.0,141.0,Left,Third Man,1.0,0,1,1.0,LengthBall,OutsideOff,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45720,5,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:54:10Z,3,False,1145.0,Nathan Coulter-Nile,203.0,,206.0,,8.0,141.0,Left,Deep Square Leg,1.0,0,1,1.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45720,5,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:54:44Z,4,False,1145.0,Nathan Coulter-Nile,206.0,,203.0,,126.0,136.0,Left,Third Man,1.0,0,1,1.0,LengthBall,OutsideOff,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45720,5,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:55:21Z,5,False,1145.0,Nathan Coulter-Nile,203.0,,206.0,,210.0,78.0,Left,Extra Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45720,5,11.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:55:54Z,6,False,1145.0,Nathan Coulter-Nile,203.0,,206.0,,159.0,189.0,Left,Deep Backward Point,4.0,0,4,4.0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,83.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:57:34Z,1,False,852.0,Adam Zampa,206.0,,203.0,,298.0,156.0,Left,Long On,1.0,0,1,1.0,LengthBall,LegStump,NotOut,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:58:11Z,2,False,852.0,Adam Zampa,203.0,,206.0,,134.0,78.0,Left,Short Third Man,0.0,0,0,0.0,LengthBall,OffStump,NotOut,None,FrontFoot,ReverseSweep,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,,
45723,6,10.0,1007,,4911,India v Australia T20s - Men's,1,0,,0,,2019-02-24T13:58:34Z,3,False,852.0,Adam Zampa,203.0,,206.0,,282.0,195.0,Left,Long On,4.0,0,4,4.0,HalfVolley,LegStump,NotOut,WellTimed,DownTheTrack,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,True,89.0,False,False,False,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,,
