over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
47819,7,4,0,0,34.0,4.0,4.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:31:19Z,6,False,,,,111.0,Joe Denly,628.0,Jason Holder,1846.0,Nicholas Pooran,246.0,137.0,Left,Long Off,1.0,0,1,1.0,,HalfVolley,OffStump,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,93.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
47820,8,2,0,0,36.0,4.0,2.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:33:07Z,2,False,,,,334.0,Mark Wood,628.0,Jason Holder,1846.0,Nicholas Pooran,323.0,61.0,Left,Short Mid Wicket,0.0,0,0,0.0,,LengthBall,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,256.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
47820,8,2,0,0,36.0,4.0,2.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:33:44Z,3,False,,,,334.0,Mark Wood,628.0,Jason Holder,1846.0,Nicholas Pooran,161.0,70.0,Left,Backward Point,0.0,0,0,0.0,,BackOfALength,OutsideOff,None,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,256.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
47820,8,2,0,0,36.0,4.0,2.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:34:24Z,4,False,,,,334.0,Mark Wood,628.0,Jason Holder,1846.0,Nicholas Pooran,310.0,15.0,Left,Short Leg,1.0,0,1,1.0,,LengthBall,OutsideOff,InsideEdge,NoMovement,Steer,OffCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,256.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
47820,8,2,0,0,36.0,4.0,2.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,,5,False,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
47820,8,2,0,0,36.0,4.0,2.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:35:02Z,5,False,,,,334.0,Mark Wood,1846.0,Nicholas Pooran,628.0,Jason Holder,305.0,10.0,Right,Silly Point,0.0,0,0,0.0,,BackOfALength,DownLeg,None,BackFoot,Dropped,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,256.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
47820,8,2,0,0,36.0,4.0,2.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:35:51Z,6,False,,,,334.0,Mark Wood,1846.0,Nicholas Pooran,628.0,Jason Holder,343.0,136.0,Right,Deep Cover,1.0,0,1,1.0,,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,256.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
47821,9,10,1,0,46.0,5.0,10.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,,1,False,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,
47821,9,10,1,0,46.0,5.0,10.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:36:40Z,1,False,,,,111.0,Joe Denly,1846.0,Nicholas Pooran,628.0,Jason Holder,242.0,148.0,Right,Long On,1.0,0,1,1.0,,LengthBall,LegStump,None,BackFoot,Pushed,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,93.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
47821,9,10,1,0,46.0,5.0,10.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:37:20Z,3,False,,,,111.0,Joe Denly,1846.0,Nicholas Pooran,628.0,Jason Holder,161.0,80.0,Right,Backward Square Leg,1.0,0,1,1.0,,BackOfALength,MiddleStump,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,93.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
47821,9,10,1,0,46.0,5.0,10.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:37:42Z,4,False,,,,111.0,Joe Denly,628.0,Jason Holder,1846.0,Nicholas Pooran,276.0,195.0,Left,Long On,6.0,0,6,6.0,,LengthBall,OutsideOff,Middled,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,True,False,93.0,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,False,True,
47821,9,10,1,0,46.0,5.0,10.0,1063,,599,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2019-03-10T20:38:12Z,5,True,Caught,628.0,Jason Holder,111.0,Joe Denly,628.0,Jason Holder,1846.0,Nicholas Pooran,298.0,123.0,Left,Mid On,0.0,0,0,0.0,Caught,LengthBall,MiddleStump,MisTimed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Out2ndUmpire,Null,False,False,False,False,False,False,93.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
