over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
308809,32,4.78,3.0,0.0,0.0,153.0,3.0,3.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,3,False,Deep Extra Cover,0,1,False,False,2020-09-13T15:45:13Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,210.0,157.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308809,32,4.78,3.0,0.0,0.0,153.0,3.0,3.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,4,False,Extra Cover,0,1,False,False,2020-09-13T15:45:42Z,7064.0,Providence Cowdrill,379.0,Sophie Luff,2906.0,Natasha Wraith,206.0,103.0,Left,1.0,1.0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308809,32,4.78,3.0,0.0,0.0,153.0,3.0,3.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,5,False,Bowler,0,0,False,False,2020-09-13T15:46:03Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,270.0,40.0,Left,0.0,0.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308809,32,4.78,3.0,0.0,0.0,153.0,3.0,3.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,6,False,Mid Off,0,1,False,False,2020-09-13T15:46:19Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,229.0,110.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Pushed,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308816,33,4.82,6.0,0.0,0.0,159.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,1,False,Bowler,0,0,False,False,2020-09-13T15:47:18Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,270.0,40.0,Left,0.0,0.0,LengthBall,Null,NotOut,MisTimed,0,Pull,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308816,33,4.82,6.0,0.0,0.0,159.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,2,False,Short Leg,0,0,False,False,2020-09-13T15:47:29Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,303.0,25.0,Left,0.0,0.0,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308816,33,4.82,6.0,0.0,0.0,159.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,3,False,Long On,0,4,False,True,2020-09-13T15:47:46Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,310.0,200.0,Left,4.0,4.0,BackOfALength,Null,NotOut,HitHard,0,Slog,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,,,,
308816,33,4.82,6.0,0.0,0.0,159.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,4,False,Short Leg,0,0,False,False,2020-09-13T15:48:07Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,269.0,22.0,Left,0.0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308816,33,4.82,6.0,0.0,0.0,159.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,5,False,Mid Off,0,0,False,False,2020-09-13T15:48:23Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,265.0,89.0,Left,0.0,0.0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308816,33,4.82,6.0,0.0,0.0,159.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,6,False,Cover,0,2,False,False,2020-09-13T15:48:43Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,204.0,119.0,Left,2.0,2.0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,,,,
308825,34,4.85,6.0,0.0,0.0,165.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,1,False,Cover,0,1,False,False,2020-09-13T15:50:22Z,7064.0,Providence Cowdrill,379.0,Sophie Luff,2906.0,Natasha Wraith,205.0,117.0,Left,1.0,1.0,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308825,34,4.85,6.0,0.0,0.0,165.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,2,False,Bowler,0,0,False,False,2020-09-13T15:50:51Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,270.0,40.0,Left,0.0,0.0,LengthBall,Null,RunOut,HitHard,0,Pushed,Null,Over,LegSpin,Left,NotOut1stUmpire,NotReferred,Null,False,False,False,False,False,True,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308825,34,4.85,6.0,0.0,0.0,165.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,3,False,Deep Point,0,2,False,False,2020-09-13T15:51:24Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,175.0,146.0,Left,2.0,2.0,BackOfALength,Null,NotOut,HitHard,0,Cut,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,,,,
308825,34,4.85,6.0,0.0,0.0,165.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,4,False,Long On,0,1,False,False,2020-09-13T15:51:48Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,289.0,157.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308825,34,4.85,6.0,0.0,0.0,165.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,5,False,Long Off,0,1,False,False,2020-09-13T15:52:10Z,7064.0,Providence Cowdrill,379.0,Sophie Luff,2906.0,Natasha Wraith,262.0,164.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308825,34,4.85,6.0,0.0,0.0,165.0,3.0,6.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,6,False,Long Off,0,1,False,False,2020-09-13T15:52:32Z,7064.0,Providence Cowdrill,2906.0,Natasha Wraith,379.0,Sophie Luff,237.0,147.0,Left,1.0,1.0,LengthBall,Null,NotOut,MisTimed,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308833,35,4.86,5.0,0.0,0.0,170.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,1,False,Deep Mid Wicket,0,1,False,False,2020-09-13T15:53:31Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,340.0,142.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Slog,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308833,35,4.86,5.0,0.0,0.0,170.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,2,False,Square Leg,0,1,False,False,2020-09-13T15:53:53Z,412.0,Georgia Adams,379.0,Sophie Luff,2906.0,Natasha Wraith,353.0,124.0,Left,1.0,1.0,BackOfALength,Null,NotOut,Played,0,Pull,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308833,35,4.86,5.0,0.0,0.0,170.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,3,False,Deep Extra Cover,0,1,False,False,2020-09-13T15:54:21Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,213.0,133.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308833,35,4.86,5.0,0.0,0.0,170.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,4,False,Backward Square Leg,0,1,False,False,2020-09-13T15:54:46Z,412.0,Georgia Adams,379.0,Sophie Luff,2906.0,Natasha Wraith,15.0,84.0,Left,1.0,1.0,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308833,35,4.86,5.0,0.0,0.0,170.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,5,False,Short Leg,0,0,False,False,2020-09-13T15:54:57Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,264.0,5.0,Left,0.0,0.0,LengthBall,Null,NotOut,Missed,0,Slog,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308833,35,4.86,5.0,0.0,0.0,170.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,6,False,Deep Extra Cover,0,1,False,False,2020-09-13T15:55:14Z,412.0,Georgia Adams,2906.0,Natasha Wraith,379.0,Sophie Luff,223.0,161.0,Left,1.0,1.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308840,36,4.86,4.0,0.0,1.0,175.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,1,False,Mid Wicket,0,1,False,False,2020-09-13T15:56:55Z,440.0,Paige Scholfield,2906.0,Natasha Wraith,379.0,Sophie Luff,338.0,77.0,Left,1.0,1.0,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308840,36,4.86,4.0,0.0,1.0,175.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,2,False,Short Fine Leg,0,1,False,False,2020-09-13T15:57:17Z,440.0,Paige Scholfield,379.0,Sophie Luff,2906.0,Natasha Wraith,52.0,75.0,Left,1.0,1.0,LengthBall,Null,NotOut,Played,0,Glance,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308840,36,4.86,4.0,0.0,1.0,175.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,3,False,Silly Point,0,0,False,False,2020-09-13T15:57:41Z,440.0,Paige Scholfield,2906.0,Natasha Wraith,379.0,Sophie Luff,220.0,28.0,Left,0.0,0.0,LengthBall,Null,NotOut,MisTimed,0,Drive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,,,,
308840,36,4.86,4.0,0.0,1.0,175.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,4,False,Backward Square Leg,0,1,False,False,2020-09-13T15:58:03Z,440.0,Paige Scholfield,2906.0,Natasha Wraith,379.0,Sophie Luff,11.0,99.0,Left,1.0,1.0,HalfVolley,Null,NotOut,Played,0,Flick,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308840,36,4.86,4.0,0.0,1.0,175.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,5,False,Leg Gully,1,1,False,False,2020-09-13T15:58:30Z,440.0,Paige Scholfield,379.0,Sophie Luff,2906.0,Natasha Wraith,6.0,38.0,Left,0.0,0.0,LengthBall,Null,NotOut,MisTimed,0,Worked,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,True,False,False,45.0,False,False,False,True,False,False,0.0,0.0,0.0,1.0,0.0,,,,
308840,36,4.86,4.0,0.0,1.0,175.0,3.0,5.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,6,False,Mid Wicket,0,1,False,False,2020-09-13T15:58:54Z,440.0,Paige Scholfield,2906.0,Natasha Wraith,379.0,Sophie Luff,337.0,101.0,Left,1.0,1.0,LengthBall,Null,NotOut,Played,0,Slog,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,True,False,False,1.0,0.0,0.0,0.0,0.0,,,,
308847,37,4.92,7.0,0.0,0.0,182.0,3.0,7.0,10108,,9490,Rachael Heyhoe Flint Trophy 2020,2,52,Western Storm,117,Southern Vipers,1,False,Long Off,0,4,False,True,2020-09-13T16:00:13Z,2905.0,Charlie Dean,2906.0,Natasha Wraith,379.0,Sophie Luff,254.0,196.0,Left,4.0,4.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Round,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,861.0,False,False,False,True,False,False,4.0,0.0,0.0,0.0,0.0,,,,
