over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,runsConceded,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,catchDifficulty
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,1,False,Wicketkeeper,0,0,False,False,2025-05-11T14:59:50Z,,,,7053.0,Sophia Turner,7051.0,Sterre Kalis,3419.0,Abbey Freeborn,90.0,48.0,0.0,0.0,,LengthBall,Null,NotOut,Missed,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,272.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,2,False,Wicketkeeper,1,1,False,False,2025-05-11T15:00:04Z,,,,7053.0,Sophia Turner,7051.0,Sterre Kalis,3419.0,Abbey Freeborn,90.0,48.0,1.0,0.0,,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,272.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,2,False,Wicketkeeper,1,1,False,False,2025-05-11T15:00:28Z,,,,7053.0,Sophia Turner,7051.0,Sterre Kalis,3419.0,Abbey Freeborn,90.0,48.0,1.0,0.0,,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,272.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,2,False,Deep Square Leg,0,1,False,False,2025-05-11T15:00:55Z,,,,7053.0,Sophia Turner,7051.0,Sterre Kalis,3419.0,Abbey Freeborn,359.0,149.0,1.0,1.0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,272.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,3,False,Silly Mid Off,0,0,False,False,2025-05-11T15:01:34Z,,,,7053.0,Sophia Turner,3419.0,Abbey Freeborn,7051.0,Sterre Kalis,255.0,50.0,0.0,0.0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,272.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,4,False,Short Extra Cover,0,0,False,False,2025-05-11T15:02:04Z,,,,7053.0,Sophia Turner,3419.0,Abbey Freeborn,7051.0,Sterre Kalis,221.0,46.0,0.0,0.0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,272.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,5,False,Silly Point,0,0,False,False,2025-05-11T15:02:31Z,,,,7053.0,Sophia Turner,3419.0,Abbey Freeborn,7051.0,Sterre Kalis,168.0,25.0,0.0,0.0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,272.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
1061215,1,3.0,3.0,0.0,2.0,3.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,6,False,Square Leg,0,0,False,False,2025-05-11T15:03:04Z,,,,7053.0,Sophia Turner,3419.0,Abbey Freeborn,7051.0,Sterre Kalis,358.0,98.0,0.0,0.0,,LengthBall,Null,NotOut,Edged,0,Pushed,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,272.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
1061222,2,3.0,3.0,0.0,1.0,6.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,1,False,Wicketkeeper,0,0,False,False,2025-05-11T15:04:23Z,,,,15592.0,Grace Thompson,7051.0,Sterre Kalis,3419.0,Abbey Freeborn,90.0,48.0,0.0,0.0,,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,348.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
1061222,2,3.0,3.0,0.0,1.0,6.0,0.0,3.0,38661,,22603,England Women's One-Day Cup 2025,1,1373,Warwickshire Women,1376,Durham Women,2,False,Point,0,0,False,False,2025-05-11T15:04:53Z,,,,15592.0,Grace Thompson,7051.0,Sterre Kalis,3419.0,Abbey Freeborn,181.0,84.0,0.0,0.0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,348.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,
