over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,over_runrate,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId
64375,13,1.0,1.0,0.0,,,1.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:26:58Z,4,False,,,,55.0,Danny Briggs,80.0,Stephen Eskinazi,81.0,Dawid Malan,198.0,77.0,Left,Cover,1.0,0,1,1.0,,LengthBall,Null,Played,0,Pushed,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
64375,13,1.0,1.0,0.0,,,1.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:27:43Z,5,False,,,,55.0,Danny Briggs,81.0,Dawid Malan,80.0,Stephen Eskinazi,312.0,40.0,Right,Short Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64375,13,1.0,1.0,0.0,,,1.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:28:00Z,6,False,,,,55.0,Danny Briggs,81.0,Dawid Malan,80.0,Stephen Eskinazi,270.0,40.0,Right,Bowler,0.0,0,0,0.0,,LengthBall,Null,Played,0,Drive,Null,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64379,14,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:29:01Z,1,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,211.0,59.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64379,14,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:29:36Z,2,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,BackOfALength,Null,Missed,0,Pushed,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64379,14,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:30:11Z,3,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,245.0,78.0,Left,Mid Off,0.0,0,0,0.0,,LengthBall,Null,HitHard,0,Pushed,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64379,14,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:30:44Z,4,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,201.0,82.0,Left,Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,Drive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64379,14,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:31:20Z,5,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,9.0,174.0,Left,Deep Square Leg,4.0,0,4,4.0,,Short,Null,HitHard,0,Pull,Null,Over,Medium,Left,Null,Null,False,False,False,False,True,False,31.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,
64379,14,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:31:59Z,6,False,,,,643.0,Abidine Sakande,80.0,Stephen Eskinazi,81.0,Dawid Malan,167.0,81.0,Left,Backward Point,0.0,0,0,0.0,,LengthBall,Null,HitHard,0,Drive,Null,Over,Medium,Left,Null,Null,False,False,False,False,False,False,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,
64382,15,4.0,0.0,0.0,,,4.0,,1424,,4395,England One-Day Cup 2019,2,0,,0,,2019-04-27T15:32:58Z,1,False,,,,55.0,Danny Briggs,81.0,Dawid Malan,80.0,Stephen Eskinazi,247.0,128.0,Right,Mid On,1.0,0,1,1.0,,LengthBall,Null,Played,0,Flick,Null,Over,Orthodox,Right,Null,Null,False,False,False,False,False,False,25.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
