over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T10:59:33Z,1,False,165,Tim Bresnan,120,Ben Raine,2671,Scott Steel,90,48,Right,Wicketkeeper,1,1,1,0,BackOfALength,Null,MissedLegSide,0,Glance,Null,Over,Fast,Left,Null,Null,True,False,False,False,False,False,2,False,True,True,False,False,False,0,0,1,0,0,False,False,,,,,
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:00:03Z,1,False,165,Tim Bresnan,120,Ben Raine,2671,Scott Steel,270,40,Right,Bowler,0,0,0,0,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:00:29Z,2,False,165,Tim Bresnan,120,Ben Raine,2671,Scott Steel,90,48,Right,Wicketkeeper,0,0,0,0,LengthBall,Null,NoShot,0,ShouldersArms,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:00:56Z,3,False,165,Tim Bresnan,120,Ben Raine,2671,Scott Steel,90,48,Right,Wicketkeeper,0,0,0,0,LengthBall,Null,NoShot,0,ShouldersArms,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:01:26Z,4,False,165,Tim Bresnan,120,Ben Raine,2671,Scott Steel,90,48,Right,Wicketkeeper,0,0,0,0,LengthBall,Null,Missed,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:01:54Z,5,False,165,Tim Bresnan,120,Ben Raine,2671,Scott Steel,314,162,Right,Deep Extra Cover,3,0,3,3,LengthBall,Null,HitHard,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,3,0,0,0,0,False,False,,,,,
67425,1,8.0,4.0,0.0,1.0,4.0,4.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:02:42Z,6,False,165,Tim Bresnan,2671,Scott Steel,120,Ben Raine,215,47,Left,Short Extra Cover,0,0,0,0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
67429,2,8.0,11.0,0.0,3.0,12.0,16.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:03:51Z,1,False,2723,Jared Warner,120,Ben Raine,2671,Scott Steel,284,96,Right,Mid Off,0,0,0,0,LengthBall,Null,Played,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,7,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,,
67429,2,8.0,11.0,0.0,3.0,12.0,16.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:04:23Z,2,False,2723,Jared Warner,120,Ben Raine,2671,Scott Steel,159,180,Right,Deep Backward Square Leg,4,0,4,4,LengthBall,Null,HitHard,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,7,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
67429,2,8.0,11.0,0.0,3.0,12.0,16.0,0.0,1514,,4427,England One-Day Cup 2019,1,40,Durham,45,Yorkshire,2019-05-06T11:04:55Z,3,False,2723,Jared Warner,120,Ben Raine,2671,Scott Steel,167,74,Right,Backward Square Leg,0,1,1,0,LengthBall,Null,HitPad,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,True,False,False,7,False,False,True,False,False,False,0,0,0,1,0,False,False,,,,,
