over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
60844,24,2.0,0.0,0.0,120.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:31:10Z,5,False,325.0,Imran Qayyum,137.0,Sam Northeast,136.0,James Vince,279.0,16.0,Left,Short Leg,0.0,0,0,0.0,LengthBall,Null,Played,0,Dropped,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60844,24,2.0,0.0,0.0,120.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:31:29Z,6,False,325.0,Imran Qayyum,137.0,Sam Northeast,136.0,James Vince,298.0,47.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,Null,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60846,25,2.0,0.0,0.0,122.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:32:18Z,1,False,321.0,Alex Blake,136.0,James Vince,137.0,Sam Northeast,303.0,58.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,Null,Played,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60846,25,2.0,0.0,0.0,122.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:32:33Z,2,False,321.0,Alex Blake,136.0,James Vince,137.0,Sam Northeast,203.0,131.0,Left,Deep Cover,1.0,0,1,1.0,LengthBall,Null,MisTimed,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60846,25,2.0,0.0,0.0,122.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:32:58Z,3,False,321.0,Alex Blake,137.0,Sam Northeast,136.0,James Vince,275.0,39.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,Null,Played,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60846,25,2.0,0.0,0.0,122.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:33:13Z,4,False,321.0,Alex Blake,137.0,Sam Northeast,136.0,James Vince,215.0,75.0,Left,Extra Cover,1.0,0,1,1.0,LengthBall,Null,Played,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60846,25,2.0,0.0,0.0,122.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:33:32Z,5,False,321.0,Alex Blake,136.0,James Vince,137.0,Sam Northeast,270.0,40.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,Null,Played,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60846,25,2.0,0.0,0.0,122.0,2.0,2.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:33:47Z,6,False,321.0,Alex Blake,136.0,James Vince,137.0,Sam Northeast,271.0,40.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,Null,Played,0,Drive,Null,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,20.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
60847,26,6.0,1.0,0.0,128.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:34:33Z,1,False,325.0,Imran Qayyum,137.0,Sam Northeast,136.0,James Vince,0.0,128.0,Left,Deep Square Leg,1.0,0,1,1.0,LengthBall,Null,Played,0,Worked,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
60847,26,6.0,1.0,0.0,128.0,3.0,6.0,1328,,4362,England One-Day Cup 2019,1,43,Hampshire,41,Kent,2019-04-17T14:34:54Z,2,False,325.0,Imran Qayyum,136.0,James Vince,137.0,Sam Northeast,67.0,115.0,Left,Fine Leg,2.0,0,2,2.0,LengthBall,Null,Played,0,Glance,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,2.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,
