over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
170747,34,4.45,1.0,0.0,0.0,149.0,5.0,1.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:30:37Z,1,False,,,,1294.0,Daniel Sams,328.0,James Faulkner,950.0,Mac Wright,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,225.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
170747,34,4.45,1.0,0.0,0.0,149.0,5.0,1.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:31:07Z,2,False,,,,1294.0,Daniel Sams,328.0,James Faulkner,950.0,Mac Wright,240.0,92.0,Left,Mid Off,0.0,0,0,0.0,,LengthBall,Null,Played,0,Drive,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,225.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
170747,34,4.45,1.0,0.0,0.0,149.0,5.0,1.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:31:40Z,3,False,,,,1294.0,Daniel Sams,328.0,James Faulkner,950.0,Mac Wright,197.0,26.0,Left,Silly Point,0.0,0,0,0.0,,LengthBall,Null,Played,0,Dropped,Null,Over,Fast,Right,Null,Null,False,False,False,False,False,False,225.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
170747,34,4.45,1.0,0.0,0.0,149.0,5.0,1.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:32:15Z,4,False,,,,1294.0,Daniel Sams,328.0,James Faulkner,950.0,Mac Wright,233.0,91.0,Left,Mid Off,1.0,0,1,1.0,,LengthBall,Null,Played,0,Drive,Null,Round,Fast,Right,Null,Null,False,False,False,False,False,False,225.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
170747,34,4.45,1.0,0.0,0.0,149.0,5.0,1.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:32:56Z,5,False,,,,1294.0,Daniel Sams,950.0,Mac Wright,328.0,James Faulkner,220.0,54.0,Left,Short Extra Cover,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Round,Fast,Right,Null,Null,False,False,False,False,False,False,225.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
170747,34,4.45,1.0,0.0,0.0,149.0,5.0,1.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:33:32Z,6,False,,,,1294.0,Daniel Sams,950.0,Mac Wright,328.0,James Faulkner,156.0,32.0,Left,Gully,0.0,0,0,0.0,,LengthBall,Null,Played,0,Dropped,Null,Round,Fast,Right,Null,Null,False,False,False,False,False,False,225.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
170749,35,4.52,8.0,0.0,0.0,157.0,5.0,8.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:34:38Z,1,False,,,,1882.0,Nathan McAndrew,328.0,James Faulkner,950.0,Mac Wright,64.0,170.0,Left,Fine Leg,4.0,0,4,4.0,,LengthBall,Null,HitHard,0,Glance,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,226.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True
170749,35,4.52,8.0,0.0,0.0,157.0,5.0,8.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:35:23Z,2,False,,,,1882.0,Nathan McAndrew,328.0,James Faulkner,950.0,Mac Wright,322.0,111.0,Left,Mid Wicket,2.0,0,2,2.0,,LengthBall,Null,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,226.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False
170749,35,4.52,8.0,0.0,0.0,157.0,5.0,8.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:36:01Z,3,False,,,,1882.0,Nathan McAndrew,328.0,James Faulkner,950.0,Mac Wright,346.0,112.0,Left,Mid Wicket,1.0,0,1,1.0,,LengthBall,Null,MisTimed,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,226.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False
170749,35,4.52,8.0,0.0,0.0,157.0,5.0,8.0,3725,,6089,Marsh One-Day Cup 2019,1,85,Tasmanian Tigers Men,674,NSW Men,2019-11-20T12:36:39Z,4,False,,,,1882.0,Nathan McAndrew,950.0,Mac Wright,328.0,James Faulkner,324.0,36.0,Left,Short Leg,0.0,0,0,0.0,,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,226.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False
