over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
63237,1,10.0,6.0,0.0,0.0,6.0,6.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T10:59:09Z,1,False,188.0,,103.0,Graham Clark,2671.0,Scott Steel,124.0,125.0,Left,Third Man,1.0,0,1,1.0,BackOfALength,Null,Played,0,Steer,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,48.0,False,True,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
63237,1,10.0,6.0,0.0,0.0,6.0,6.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T10:59:56Z,2,False,188.0,,2671.0,Scott Steel,103.0,Graham Clark,285.0,68.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,48.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
63237,1,10.0,6.0,0.0,0.0,6.0,6.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:00:33Z,3,False,188.0,,2671.0,Scott Steel,103.0,Graham Clark,185.0,175.0,Left,Deep Point,4.0,0,4,4.0,LengthBall,Null,HitHard,0,Cut,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,48.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
63237,1,10.0,6.0,0.0,0.0,6.0,6.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:01:09Z,4,False,188.0,,2671.0,Scott Steel,103.0,Graham Clark,221.0,65.0,Left,Short Extra Cover,0.0,0,0,0.0,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,48.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
63237,1,10.0,6.0,0.0,0.0,6.0,6.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:01:43Z,5,False,188.0,,2671.0,Scott Steel,103.0,Graham Clark,214.0,58.0,Left,Short Extra Cover,0.0,0,0,0.0,LengthBall,Null,Played,0,Pushed,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,48.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
63237,1,10.0,6.0,0.0,0.0,6.0,6.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:02:22Z,6,False,188.0,,2671.0,Scott Steel,103.0,Graham Clark,345.0,147.0,Left,Deep Mid Wicket,1.0,0,1,1.0,BackOfALength,Null,Played,0,Pull,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,48.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
63242,2,5.33,2.0,0.0,0.0,2.0,8.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:03:38Z,1,False,2595.0,Charlie Morris,2671.0,Scott Steel,103.0,Graham Clark,156.0,146.0,Left,Deep Backward Point,2.0,0,2,2.0,LengthBall,Null,Edged,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,18.0,False,True,True,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,
63242,2,5.33,2.0,0.0,0.0,2.0,8.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:04:15Z,2,False,2595.0,Charlie Morris,2671.0,Scott Steel,103.0,Graham Clark,211.0,62.0,Left,Short Extra Cover,0.0,0,0,0.0,LengthBall,Null,Played,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,18.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
63242,2,5.33,2.0,0.0,0.0,2.0,8.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,2019-04-24T11:04:48Z,3,False,2595.0,Charlie Morris,2671.0,Scott Steel,103.0,Graham Clark,238.0,73.0,Left,Mid Off,0.0,0,0,0.0,LengthBall,Null,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,False,18.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
63242,2,5.33,2.0,0.0,0.0,2.0,8.0,0.0,1392,,4385,England One-Day Cup 2019,1,40,Durham,46,Worcestershire,,4,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
