over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,fieldingPosition
1630945,3,4.67,5,0,0,14,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710614,2026-08-22T00:41:27Z,5,18,False,,,,3905,Matt Fisher,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,LengthBall,DownLeg,,MisTimed,BackFoot,BackwardDefensive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,Bowler
1630945,3,4.67,5,0,0,14,0,5,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710616,2026-08-22T00:42:01Z,6,19,False,,,,3905,Matt Fisher,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,LengthBall,DownLeg,,MisTimed,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,214.0,40.0,Mid Wicket
1630946,4,5.25,7,0,0,21,0,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710617,2026-08-22T00:43:23Z,1,20,False,,,,2918,Kristian Clarke,3576,Henry Hunt,21963,Connor Carroll,Right,0,0,0,0,,Yorker,OffStump,,None,BackFoot,BackwardDefensive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1630946,4,5.25,7,0,0,21,0,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710619,2026-08-22T00:43:54Z,2,21,False,,,,2918,Kristian Clarke,3576,Henry Hunt,21963,Connor Carroll,Right,3,0,3,3,,LengthBall,OutsideOff,,MisTimed,DownTheTrack,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,3,0,0,0,0,False,True,296.0,140.0,Long On
1630946,4,5.25,7,0,0,21,0,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710621,2026-08-22T00:44:36Z,3,22,False,,,,2918,Kristian Clarke,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,Short,DownLeg,,Left,Ducked,Leave,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1630946,4,5.25,7,0,0,21,0,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710622,2026-08-22T00:45:08Z,4,23,False,,,,2918,Kristian Clarke,21963,Connor Carroll,3576,Henry Hunt,Left,4,0,4,4,,LengthBall,LegStump,,WellTimed,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,247.0,179.0,
1630946,4,5.25,7,0,0,21,0,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710624,2026-08-22T00:45:57Z,5,24,False,,,,2918,Kristian Clarke,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,LengthBall,OutsideOff,,Missed,FrontFoot,Drive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1630946,4,5.25,7,0,0,21,0,7,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710626,2026-08-22T00:46:30Z,6,25,False,,,,2918,Kristian Clarke,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Cut,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,8.0,68.0,Backward Point
1630948,5,4.8,3,0,0,24,0,3,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710630,2026-08-22T00:48:06Z,1,26,False,,,,14048,Josh Clarkson,3576,Henry Hunt,21963,Connor Carroll,Right,1,0,1,1,,Short,OutsideOff,,None,BackFoot,Pull,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,52.0,137.0,Fine Leg
1630948,5,4.8,3,0,0,24,0,3,76107,,40909,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,113,New Zealand A Men,8710632,2026-08-22T00:48:50Z,2,27,False,,,,14048,Josh Clarkson,21963,Connor Carroll,3576,Henry Hunt,Left,0,0,0,0,,LengthBall,OutsideOff,,MisTimed,FrontFoot,Worked,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Bowler
