over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1635530,4,13.25,15,0,0,53,0,15,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738181,2026-08-29T03:47:37Z,2,22,False,21955,,21963,,17219,Jerrssis Wadia,0.0,0.0,Left,Wicketkeeper,1,1,1,0,Yorker,Wide,Left,NoMovement,Leave,NoMovement,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,
1635530,4,13.25,15,0,0,53,0,15,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738182,2026-08-29T03:48:02Z,2,23,False,21955,,21963,,17219,Jerrssis Wadia,201.0,174.0,Left,,4,0,4,4,LengthBall,Wide,WellTimed,FrontFoot,SlogSweep,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,
1635530,4,13.25,15,0,0,53,0,15,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738183,2026-08-29T03:48:53Z,3,24,False,21955,,21963,,17219,Jerrssis Wadia,0.0,0.0,Left,Wicketkeeper,0,0,0,0,LengthBall,WideDownLeg,Missed,FrontFoot,SwitchHit,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
1635530,4,13.25,15,0,0,53,0,15,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738184,2026-08-29T03:49:23Z,4,25,False,21955,,21963,,17219,Jerrssis Wadia,278.0,180.0,Left,,4,0,4,4,HalfVolley,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,
1635530,4,13.25,15,0,0,53,0,15,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738185,2026-08-29T03:50:02Z,5,26,False,21955,,21963,,17219,Jerrssis Wadia,,,Left,,0,1,1,0,,,,0,,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,True,False,True,False,False,True,False,False,False,1,0,0,1,0,False,False,,,,,,
1635530,4,13.25,15,0,0,53,0,15,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738186,2026-08-29T03:50:49Z,6,27,False,21955,,17219,Jerrssis Wadia,21963,,343.0,66.0,Left,Cover,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Drive,SeamAway,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
1635531,5,11.8,6,0,0,59,0,6,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738187,2026-08-29T03:52:16Z,1,28,False,21956,,17219,Jerrssis Wadia,21963,,158.0,132.0,Left,Square Leg,3,0,3,3,Short,OutsideOff,None,FrontFoot,Flick,ArmBall,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,3,0,0,0,0,False,False,,,,,,
1635531,5,11.8,6,0,0,59,0,6,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738188,2026-08-29T03:52:52Z,2,29,False,21956,,21963,,17219,Jerrssis Wadia,0.0,0.0,Left,Bowler,0,0,0,0,HalfVolley,OutsideOff,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,
1635531,5,11.8,6,0,0,59,0,6,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738189,2026-08-29T03:53:07Z,3,30,False,21956,,21963,,17219,Jerrssis Wadia,0.0,0.0,Left,Bowler,0,0,0,0,BackOfALength,OutsideOff,None,BackFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,
1635531,5,11.8,6,0,0,59,0,6,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738190,2026-08-29T03:53:22Z,4,31,False,21956,,21963,,17219,Jerrssis Wadia,251.0,145.0,Left,Long On,1,0,1,1,HalfVolley,OffStump,None,FrontFoot,Flick,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,
