over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740523,2026-08-30T01:04:08Z,1,8,True,3777,Tim Oakley,3721,Katene Clarke,3768,Max Chu,98.0,19.0,Right,Wicketkeeper,0,0,0,0,BackOfALength,OutsideOff,OutsideEdge,BackFoot,Drive,SeamAway,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,Caught,3721.0,Katene Clarke,Caught,Caught
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740525,2026-08-30T01:05:59Z,2,9,False,3777,Tim Oakley,10034,Matt Boyle,3768,Max Chu,146.0,100.0,Left,Fine Leg,1,0,1,1,BackOfALength,DownLeg,None,BackFoot,Glance,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740527,2026-08-30T01:06:57Z,3,10,False,3777,Tim Oakley,3768,Max Chu,10034,Matt Boyle,0.0,0.0,Left,Wicketkeeper,1,1,1,0,LengthBall,OutsideOff,Left,FrontFoot,Leave,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740530,2026-08-30T01:07:35Z,3,11,False,3777,Tim Oakley,3768,Max Chu,10034,Matt Boyle,47.0,74.0,Left,Gully,0,0,0,0,LengthBall,MiddleStump,ThickEdge,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740534,2026-08-30T01:08:16Z,4,12,False,3777,Tim Oakley,3768,Max Chu,10034,Matt Boyle,319.0,177.0,Left,,4,0,4,4,LengthBall,MiddleStump,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740538,2026-08-30T01:09:08Z,5,13,False,3777,Tim Oakley,3768,Max Chu,10034,Matt Boyle,0.0,0.0,Left,Bowler,0,0,0,0,LengthBall,LegStump,MisTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635918,2,8.0,6,1,0,16,1,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740542,2026-08-30T01:09:48Z,6,14,False,3777,Tim Oakley,3768,Max Chu,10034,Matt Boyle,210.0,59.0,Left,Square Leg,0,0,0,0,LengthBall,LegStump,None,FrontFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635921,3,7.33,6,1,0,22,2,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740545,2026-08-30T01:10:48Z,1,15,False,887,Henry Thornton,10034,Matt Boyle,3768,Max Chu,282.0,180.0,Left,,4,0,4,4,HalfVolley,OffStump,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,
1635921,3,7.33,6,1,0,22,2,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740549,2026-08-30T01:11:31Z,2,16,False,887,Henry Thornton,10034,Matt Boyle,3768,Max Chu,316.0,58.0,Left,Extra Cover,0,0,0,0,LengthBall,MiddleStump,None,FrontFoot,Dropped,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635921,3,7.33,6,1,0,22,2,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740552,2026-08-30T01:12:04Z,3,17,False,887,Henry Thornton,10034,Matt Boyle,3768,Max Chu,192.0,133.0,Left,Deep Square Leg,2,0,2,2,LengthBall,MiddleStump,None,BackFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,
1635921,3,7.33,6,1,0,22,2,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740554,2026-08-30T01:12:45Z,4,18,False,887,Henry Thornton,10034,Matt Boyle,3768,Max Chu,300.0,83.0,Left,Mid Off,0,0,0,0,LengthBall,MiddleStump,None,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635921,3,7.33,6,1,0,22,2,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740557,2026-08-30T01:13:26Z,5,19,False,887,Henry Thornton,10034,Matt Boyle,3768,Max Chu,22.0,54.0,Left,Backward Point,0,0,0,0,HalfVolley,OffStump,HitPad,MovesInfront,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635921,3,7.33,6,1,0,22,2,6,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740559,2026-08-30T01:14:07Z,6,20,True,887,Henry Thornton,10034,Matt Boyle,3768,Max Chu,205.0,120.0,Left,Deep Square Leg,0,0,0,0,BackOfALength,DownLeg,MisTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,Caught,10034.0,Matt Boyle,Caught,Caught
1635925,4,7.25,7,0,0,29,2,7,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740564,2026-08-30T01:16:51Z,1,21,False,21962,,3768,Max Chu,14533,Bevon Jacobs,25.0,166.0,Left,,4,0,4,4,LengthBall,OutsideOff,ThickEdge,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,
1635925,4,7.25,7,0,0,29,2,7,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740565,2026-08-30T01:17:28Z,2,22,False,21962,,3768,Max Chu,14533,Bevon Jacobs,177.0,110.0,Left,Deep Backward Square Leg,1,0,1,1,LengthBall,MiddleStump,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1635925,4,7.25,7,0,0,29,2,7,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740569,2026-08-30T01:18:17Z,3,23,False,21962,,14533,Bevon Jacobs,3768,Max Chu,215.0,52.0,Right,Extra Cover,0,0,0,0,LengthBall,MiddleStump,None,FrontFoot,Pushed,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1635925,4,7.25,7,0,0,29,2,7,76242,,40933,Study NT Top End T20 Series,1,113,New Zealand A,1489,Adelaide Strikers Academy,8740571,2026-08-30T01:18:45Z,4,24,False,21962,,14533,Bevon Jacobs,3768,Max Chu,280.0,74.0,Right,Mid On,0,0,0,0,HalfVolley,MiddleStump,MisTimed,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
