over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,decisionOfficialId
1633239,2,7.0,2,0,0,14,0,2,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724357,2026-08-26T00:35:10Z,1,7,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,,,Right,,0,0,0,0,,,,,,0,,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1633239,2,7.0,2,0,0,14,0,2,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724360,2026-08-26T00:35:48Z,2,8,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,,,Right,Wicketkeeper,0,0,0,0,,Yorker,OutsideOff,,Missed,FrontFoot,Steer,AwaySwinger,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1633239,2,7.0,2,0,0,14,0,2,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724361,2026-08-26T00:36:27Z,3,9,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,,,Right,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,,Missed,BackFoot,Pushed,AwaySwinger,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1633239,2,7.0,2,0,0,14,0,2,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724363,2026-08-26T00:37:03Z,4,10,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,221.0,15.0,Right,Silly Mid Off,0,0,0,0,,BackOfALength,OutsideOff,,MisTimed,BackFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1633239,2,7.0,2,0,0,14,0,2,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724364,2026-08-26T00:37:37Z,5,11,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,155.0,152.0,Right,Deep Backward Point,2,0,2,2,,BackOfALength,OutsideOff,,None,BackFoot,Steer,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,
1633239,2,7.0,2,0,0,14,0,2,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724366,2026-08-26T00:38:14Z,6,12,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,0.0,0.0,Right,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,,Missed,DownTheTrack,Drive,AwaySwinger,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1633241,3,8.0,10,0,0,24,0,10,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724368,2026-08-26T00:39:12Z,1,13,False,,,,16993,Aryan Sharma,8421,Tim Robinson,3721,Katene Clarke,0.0,0.0,Right,Bowler,0,0,0,0,,FullToss,OutsideOff,,MisTimed,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1633241,3,8.0,10,0,0,24,0,10,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724370,2026-08-26T00:39:27Z,2,14,False,,,,16993,Aryan Sharma,8421,Tim Robinson,3721,Katene Clarke,202.0,164.0,Right,Deep Cover,3,0,3,3,,LengthBall,OutsideOff,,MisTimed,DownTheTrack,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,3,0,0,0,0,False,True,
1633241,3,8.0,10,0,0,24,0,10,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724371,2026-08-26T00:40:05Z,3,15,False,,,,16993,Aryan Sharma,3721,Katene Clarke,8421,Tim Robinson,238.0,178.0,Right,,4,0,4,4,,LengthBall,OutsideOff,,MisTimed,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,True,
1633241,3,8.0,10,0,0,24,0,10,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724373,2026-08-26T00:40:42Z,4,16,False,,,,16993,Aryan Sharma,3721,Katene Clarke,8421,Tim Robinson,360.0,75.0,Right,Square Leg,1,0,1,1,,LengthBall,MiddleStump,,None,FrontFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1633241,3,8.0,10,0,0,24,0,10,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724375,2026-08-26T00:41:03Z,5,17,False,,,,16993,Aryan Sharma,8421,Tim Robinson,3721,Katene Clarke,52.0,45.0,Right,Short Fine Leg,0,1,1,0,,LengthBall,MiddleStump,,HitPad,BackFoot,Glance,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,True,False,True,False,False,True,False,False,False,1,0,0,1,0,False,False,
1633241,3,8.0,10,0,0,24,0,10,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724376,2026-08-26T00:41:27Z,6,18,False,,,,16993,Aryan Sharma,3721,Katene Clarke,8421,Tim Robinson,197.0,78.0,Right,Cover,1,0,1,1,,HalfVolley,OutsideOff,,None,BacksAway,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1633242,4,8.0,8,0,0,32,0,8,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724378,2026-08-26T00:42:17Z,1,19,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,355.0,154.0,Right,Deep Square Leg,2,0,2,2,,Short,OutsideOff,,None,MovesInfront,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,
1633242,4,8.0,8,0,0,32,0,8,76161,,40921,Study NT Top End T20 Series,1,113,New Zealand A,1494,Victoria Academy,8724379,2026-08-26T00:42:58Z,2,20,False,,,,11468,Austin Anlezark,3721,Katene Clarke,8421,Tim Robinson,0.0,0.0,Right,Wicketkeeper,1,1,1,0,,Short,DownLeg,,PlayAndMissLegSide,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,
