over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,fieldingPosition,decisionOfficialId
1632235,3,7.33,8,0,0,22,2,8,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718290,2026-08-23T07:43:10Z,5,17,False,619,Abu Hider Rony,3776,Brad Hope,8520,Teague Wyllie,11.0,68.0,Right,1,0,1,1,LengthBall,OffStump,MisTimed,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,Backward Square Leg,
1632235,3,7.33,8,0,0,22,2,8,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718292,2026-08-23T07:43:48Z,6,18,False,619,Abu Hider Rony,8520,Teague Wyllie,3776,Brad Hope,146.0,137.0,Right,2,0,2,2,LengthBall,OffStump,ThickEdge,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,True,,,,,,Third Man,
1632238,4,8.25,11,0,0,33,2,11,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718294,2026-08-23T07:44:54Z,1,19,False,21948,Mohammad Rubel,3776,Brad Hope,8520,Teague Wyllie,0.0,0.0,Right,0,0,0,0,LengthBall,OutsideOff,Missed,BackFoot,Drive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,Wicketkeeper,
1632238,4,8.25,11,0,0,33,2,11,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718295,2026-08-23T07:45:11Z,2,20,False,21948,Mohammad Rubel,3776,Brad Hope,8520,Teague Wyllie,332.0,139.0,Right,1,0,1,1,LengthBall,OffStump,None,FrontFoot,Sweep,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,Deep Square Leg,
1632238,4,8.25,11,0,0,33,2,11,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718296,2026-08-23T07:45:38Z,3,21,False,21948,Mohammad Rubel,8520,Teague Wyllie,3776,Brad Hope,171.0,129.0,Right,2,0,2,2,BackOfALength,OutsideOff,ThickEdge,BackFoot,Drive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,,Deep Backward Point,
1632238,4,8.25,11,0,0,33,2,11,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718298,2026-08-23T07:46:13Z,4,22,False,21948,Mohammad Rubel,8520,Teague Wyllie,3776,Brad Hope,32.0,56.0,Right,1,0,1,1,LengthBall,OffStump,None,FrontFoot,Sweep,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,Short Fine Leg,
1632238,4,8.25,11,0,0,33,2,11,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718300,2026-08-23T07:46:35Z,5,23,False,21948,Mohammad Rubel,3776,Brad Hope,8520,Teague Wyllie,8.0,169.0,Right,6,0,6,6,LengthBall,OffStump,Middled,FrontFoot,SlogSweep,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,,
1632238,4,8.25,11,0,0,33,2,11,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718301,2026-08-23T07:47:13Z,6,24,False,21948,Mohammad Rubel,3776,Brad Hope,8520,Teague Wyllie,,,Right,1,0,1,1,,,,0,,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,,
1632239,5,7.6,5,0,0,38,2,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718303,2026-08-23T07:48:26Z,1,25,False,619,Abu Hider Rony,3776,Brad Hope,8520,Teague Wyllie,314.0,130.0,Right,2,0,2,2,BackOfALength,LegStump,MisTimed,BackFoot,Pull,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,,Deep Mid Wicket,
1632239,5,7.6,5,0,0,38,2,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718305,2026-08-23T07:48:55Z,2,26,False,619,Abu Hider Rony,3776,Brad Hope,8520,Teague Wyllie,201.0,72.0,Right,1,0,1,1,BackOfALength,DownLeg,None,BackFoot,Pushed,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Cover,
1632239,5,7.6,5,0,0,38,2,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718307,2026-08-23T07:49:51Z,3,27,False,619,Abu Hider Rony,8520,Teague Wyllie,3776,Brad Hope,0.0,0.0,Right,0,0,0,0,LengthBall,OutsideOff,Missed,DownTheTrack,Drive,NoMovement,Round,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,,Wicketkeeper,
1632239,5,7.6,5,0,0,38,2,5,76133,,40914,Study NT Top End T20 Series,1,1485,Hobart Hurricanes Academy,1383,Bangladesh HP,8718308,2026-08-23T07:50:24Z,4,28,False,619,Abu Hider Rony,8520,Teague Wyllie,3776,Brad Hope,239.0,71.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Round,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,,Extra Cover,
