over_id,over_overNumber,over_runrate,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled
93252,9,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93252,9,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93252,9,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93252,9,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93252,9,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93252,9,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93258,10,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93257,11,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93257,11,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93257,11,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93257,11,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93257,11,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93257,11,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93253,12,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93256,13,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93256,13,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93256,13,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93256,13,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93256,13,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93256,13,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93255,14,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93255,14,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93255,14,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93255,14,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93255,14,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93255,14,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93254,15,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93245,16,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93245,16,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93245,16,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93245,16,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93245,16,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,5,False,,0,0,False,False
93245,16,,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,6,False,,0,0,False,False
93244,17,11.83,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93244,17,11.83,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,1,False,,0,0,False,False
93244,17,11.83,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,2,False,,0,0,False,False
93244,17,11.83,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,3,False,,0,0,False,False
93244,17,11.83,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
93244,17,11.83,2039,,642,Bangladesh v Sri Lanka T20s,2,9,Sri Lanka Men,637,Bangladesh Men,4,False,,0,0,False,False
