over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
47075,2,8.0,1.0,0.0,13.0,1.0,8.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,1,False,Third Man,0,1,False,False,2019-03-05T20:04:45Z,475.0,Tom Curran,699.0,Shai Hope,1417.0,Chris Gayle,133.0,129.0,Left,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,84.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47075,2,8.0,1.0,0.0,13.0,1.0,8.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2,False,Mid Wicket,0,1,False,False,2019-03-05T20:05:32Z,475.0,Tom Curran,1417.0,Chris Gayle,699.0,Shai Hope,208.0,78.0,Right,1.0,1.0,LengthBall,DownLeg,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,84.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,,
47075,2,8.0,1.0,0.0,13.0,1.0,8.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,3,True,Mid Wicket,0,0,False,False,2019-03-05T20:06:08Z,475.0,Tom Curran,699.0,Shai Hope,1417.0,Chris Gayle,337.0,101.0,Left,0.0,0.0,LengthBall,OffStump,LeadingEdge,BackFoot,Worked,NoMovement,Over,Fast,Left,Out2ndUmpire,Null,False,False,False,False,False,False,84.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,Caught,699.0,Shai Hope,Caught,
47075,2,8.0,1.0,0.0,13.0,1.0,8.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,4,False,Backward Square Leg,0,0,False,False,2019-03-05T20:08:19Z,475.0,Tom Curran,698.0,Shimron Hetmyer,1417.0,Chris Gayle,155.0,78.0,Right,0.0,0.0,BackOfALength,DownLeg,HitPad,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,84.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47075,2,8.0,1.0,0.0,13.0,1.0,8.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,5,False,Backward Point,0,0,False,False,2019-03-05T20:08:55Z,475.0,Tom Curran,698.0,Shimron Hetmyer,1417.0,Chris Gayle,17.0,79.0,Right,0.0,0.0,BackOfALength,DownLeg,ThickEdge,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,84.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47075,2,8.0,1.0,0.0,13.0,1.0,8.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,6,False,Long On,0,6,False,True,2019-03-05T20:09:27Z,475.0,Tom Curran,698.0,Shimron Hetmyer,1417.0,Chris Gayle,230.0,209.0,Right,6.0,6.0,LengthBall,DownLeg,WellTimed,DownTheTrack,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,84.0,False,False,True,False,False,False,6.0,0.0,0.0,0.0,0.0,,,,,
47076,3,15.0,0.0,1.0,28.0,1.0,15.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,1,False,Wicketkeeper,1,1,False,False,2019-03-05T20:10:27Z,166.0,David Willey,1417.0,Chris Gayle,698.0,Shimron Hetmyer,90.0,48.0,Right,1.0,0.0,LengthBall,Wide,Missed,FrontFoot,Drive,AwaySwinger,Over,Fast,Right,Null,Null,True,False,False,False,False,False,93.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,,,,,
47076,3,15.0,0.0,1.0,28.0,1.0,15.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,1,False,Wicketkeeper,0,0,False,False,2019-03-05T20:11:03Z,166.0,David Willey,1417.0,Chris Gayle,698.0,Shimron Hetmyer,90.0,48.0,Right,0.0,0.0,BackOfALength,OutsideOff,Missed,DownTheTrack,Pull,AwaySwinger,Over,Fast,Right,Null,Null,False,False,False,False,False,False,93.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47076,3,15.0,0.0,1.0,28.0,1.0,15.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,2,False,Wicketkeeper,0,0,False,False,2019-03-05T20:11:43Z,166.0,David Willey,1417.0,Chris Gayle,698.0,Shimron Hetmyer,90.0,48.0,Right,0.0,0.0,HalfVolley,OutsideOff,Missed,FrontFoot,Drive,AwaySwinger,Over,Fast,Right,Null,Null,False,False,False,False,False,False,93.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,,
47076,3,15.0,0.0,1.0,28.0,1.0,15.0,1041,,597,Windies v England T20 - Men's,1,24,West Indies Men,1,England Men,3,False,Third Man,0,6,False,False,2019-03-05T20:12:17Z,166.0,David Willey,1417.0,Chris Gayle,698.0,Shimron Hetmyer,50.0,191.0,Right,6.0,6.0,Short,OutsideOff,WellTimed,BackFoot,UpperCut,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,True,False,93.0,False,False,True,False,False,False,6.0,0.0,0.0,0.0,0.0,,,,,
