over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
38033,15,1.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:31:29Z,2,False,,,,1724.0,Sheldon Cottrell,554.0,Mustafizur Rahman,619.0,Abu Haider,319.0,74.0,Right,Extra Cover,0.0,0,0,0.0,,FullToss,MiddleStump,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,213.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
38033,15,1.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:32:10Z,3,False,,,,1724.0,Sheldon Cottrell,554.0,Mustafizur Rahman,619.0,Abu Haider,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,Short,OutsideOff,NotOut,Missed,BackFoot,Steer,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,213.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
38033,15,1.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:32:50Z,4,False,,,,1724.0,Sheldon Cottrell,554.0,Mustafizur Rahman,619.0,Abu Haider,123.0,125.0,Right,Fine Leg,0.0,1,1,0.0,,LengthBall,LegStump,NotOut,HitPad,NoMovement,Worked,NoMovement,Over,Fast,Right,Null,Null,False,False,False,True,False,True,213.0,False,False,False,False,True,False,0.0,0.0,0.0,1.0,0.0,False,False
38033,15,1.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:33:38Z,5,False,,,,1724.0,Sheldon Cottrell,619.0,Abu Haider,554.0,Mustafizur Rahman,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,BackOfALength,OutsideOff,Caught,Missed,MovesInfront,Pull,NoMovement,Over,Fast,Right,NotOut1stUmpire,Null,False,False,False,False,False,True,146.0,False,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,False,False
38033,15,1.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:35:12Z,6,False,,,,1724.0,Sheldon Cottrell,619.0,Abu Haider,554.0,Mustafizur Rahman,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,BackOfALength,OutsideOff,NotOut,Missed,NoMovement,Pushed,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,213.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
38034,16,10.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:36:06Z,1,False,,,,627.0,Carlos Brathwaite,554.0,Mustafizur Rahman,619.0,Abu Haider,275.0,185.0,Right,Long Off,6.0,0,6,6.0,,HalfVolley,OffStump,NotOut,Middled,NoMovement,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,True,True,126.0,False,False,False,False,True,False,6.0,0.0,0.0,0.0,0.0,False,True
38034,16,10.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:36:45Z,2,False,,,,627.0,Carlos Brathwaite,554.0,Mustafizur Rahman,619.0,Abu Haider,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,Short,OutsideOff,NotOut,None,Ducked,NoShot,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,True,126.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
38034,16,10.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:37:09Z,3,False,,,,627.0,Carlos Brathwaite,554.0,Mustafizur Rahman,619.0,Abu Haider,47.0,147.0,Right,Third Man,1.0,0,1,1.0,,BackOfALength,OutsideOff,NotOut,None,BacksAway,Steer,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,True,126.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False
38034,16,10.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:37:57Z,4,False,,,,627.0,Carlos Brathwaite,619.0,Abu Haider,554.0,Mustafizur Rahman,96.0,140.0,Left,Third Man,0.0,2,2,0.0,,HalfVolley,LegStump,NotOut,HitPad,BacksAway,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,True,False,True,126.0,False,False,False,False,True,False,0.0,0.0,0.0,2.0,0.0,False,False
38034,16,10.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:38:40Z,5,False,,,,627.0,Carlos Brathwaite,619.0,Abu Haider,554.0,Mustafizur Rahman,291.0,157.0,Left,Long On,1.0,0,1,1.0,,Short,OutsideOff,NotOut,BottomEdge,BacksAway,Pull,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,True,126.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False
38034,16,10.0,775,,74,Bangladesh v Windies Twenty20 Series 2018,2,637,Bangladesh Men,24,West Indies Men,2018-12-22T14:39:19Z,6,True,Bowled,554.0,Mustafizur Rahman,627.0,Carlos Brathwaite,554.0,Mustafizur Rahman,619.0,Abu Haider,0.0,0.0,Right,,0.0,0,0,0.0,Bowled,Yorker,MiddleStump,NotOut,Missed,BacksAway,Drive,NoMovement,Round,Fast,Left,Out2ndUmpire,Null,False,False,False,False,False,True,126.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
