over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,1,False,Wicketkeeper,1,1,False,False,2019-02-03T12:34:04Z,637.0,Shaheen Afridi,2240.0,Janneman Malan,669.0,Reeza Hendricks,90.0,48.0,Left,1.0,0.0,BackOfALength,DownLeg,NotOut,PlayAndMissLegSide,BackFoot,Glance,NoMovement,Over,Fast,Right,Null,Null,True,False,False,False,False,True,104.0,False,False,True,False,False,False,0.0,0.0,1.0,0.0,0.0,,,,
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,1,False,Leg Gully,0,0,False,False,2019-02-03T12:34:41Z,637.0,Shaheen Afridi,2240.0,Janneman Malan,669.0,Reeza Hendricks,39.0,63.0,Left,0.0,0.0,BackOfALength,DownLeg,NotOut,None,BackFoot,Worked,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,104.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,2,False,Cover,0,0,False,False,2019-02-03T12:35:19Z,637.0,Shaheen Afridi,2240.0,Janneman Malan,669.0,Reeza Hendricks,199.0,81.0,Left,0.0,0.0,LengthBall,MiddleStump,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,104.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,3,False,Gully,0,0,False,False,2019-02-03T12:35:52Z,637.0,Shaheen Afridi,2240.0,Janneman Malan,669.0,Reeza Hendricks,187.0,48.0,Left,0.0,0.0,LengthBall,LegStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,104.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,4,False,Wicketkeeper,0,0,False,False,2019-02-03T12:36:25Z,637.0,Shaheen Afridi,2240.0,Janneman Malan,669.0,Reeza Hendricks,90.0,48.0,Left,0.0,0.0,BackOfALength,LegStump,NotOut,Missed,BackFoot,Pushed,OffCutter,Over,Fast,Right,Null,Null,False,False,False,False,False,True,104.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,5,False,Deep Mid Wicket,0,1,False,False,2019-02-03T12:37:00Z,637.0,Shaheen Afridi,2240.0,Janneman Malan,669.0,Reeza Hendricks,344.0,130.0,Left,1.0,1.0,Short,DownLeg,NotOut,None,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,104.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
43491,1,3.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,6,False,Deep Square Leg,0,1,False,False,2019-02-03T12:37:38Z,637.0,Shaheen Afridi,669.0,Reeza Hendricks,2240.0,Janneman Malan,352.0,142.0,Left,1.0,1.0,LengthBall,LegStump,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,True,104.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
43492,2,4.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,1,False,Square Leg,0,0,False,False,2019-02-03T12:38:30Z,1181.0,Imad Wasim,669.0,Reeza Hendricks,2240.0,Janneman Malan,355.0,74.0,Left,0.0,0.0,LengthBall,DownLeg,NotOut,None,BacksAway,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,103.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
43492,2,4.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,2,False,Mid Wicket,0,1,False,False,2019-02-03T12:38:52Z,1181.0,Imad Wasim,669.0,Reeza Hendricks,2240.0,Janneman Malan,336.0,90.0,Left,1.0,1.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,103.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,,,,
43492,2,4.0,935,,104,South Africa v Pakistan T20 - Men's,1,0,,0,,3,False,Mid Wicket,0,0,False,False,2019-02-03T12:39:16Z,1181.0,Imad Wasim,2240.0,Janneman Malan,669.0,Reeza Hendricks,330.0,75.0,Left,0.0,0.0,HalfVolley,MiddleStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,103.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,,,,
