over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1117126,11,5.09,3.0,1.0,0.0,56.0,3.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:20:42Z,2,52,False,,,,428.0,Katie Levick,1029.0,Chloe Tryon,10313.0,Freya Kemp,194.0,156.0,Deep Cover,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117126,11,5.09,3.0,1.0,0.0,56.0,3.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:21:13Z,3,53,False,,,,428.0,Katie Levick,10313.0,Freya Kemp,1029.0,Chloe Tryon,312.0,55.0,Short Extra Cover,1.0,0,1,1.0,,HalfVolley,OffStump,NotOut,None,DownTheTrack,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117126,11,5.09,3.0,1.0,0.0,56.0,3.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:21:38Z,4,54,False,,,,428.0,Katie Levick,1029.0,Chloe Tryon,10313.0,Freya Kemp,161.0,79.0,Backward Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117126,11,5.09,3.0,1.0,0.0,56.0,3.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:22:04Z,5,55,False,,,,428.0,Katie Levick,1029.0,Chloe Tryon,10313.0,Freya Kemp,14.0,108.0,Backward Square Leg,1.0,0,1,1.0,,LengthBall,LegStump,NotOut,None,BackFoot,Flick,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117128,12,5.08,5.0,1.0,0.0,61.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:23:05Z,1,56,True,Bowled,10313.0,Freya Kemp,1146.0,Hayley Matthews,10313.0,Freya Kemp,1029.0,Chloe Tryon,0.0,0.0,,0.0,0,0,0.0,Bowled,LengthBall,OffStump,NotOut,Missed,BackFoot,Slog,OffBreak,Round,OffSpin,Right,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117128,12,5.08,5.0,1.0,0.0,61.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:24:45Z,2,57,False,,,,1146.0,Hayley Matthews,412.0,Georgia Adams,1029.0,Chloe Tryon,49.0,91.0,Short Fine Leg,0.0,0,0,0.0,,LengthBall,OffStump,NotOut,HitPad,FrontFoot,Glance,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117128,12,5.08,5.0,1.0,0.0,61.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:25:06Z,3,58,False,,,,1146.0,Hayley Matthews,412.0,Georgia Adams,1029.0,Chloe Tryon,183.0,43.0,Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,HitPad,BackFoot,Worked,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117128,12,5.08,5.0,1.0,0.0,61.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:25:29Z,4,59,False,,,,1146.0,Hayley Matthews,412.0,Georgia Adams,1029.0,Chloe Tryon,17.0,149.0,Deep Backward Square Leg,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,InsideEdge,DownTheTrack,Flick,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117128,12,5.08,5.0,1.0,0.0,61.0,4.0,5.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:25:56Z,5,60,False,,,,1146.0,Hayley Matthews,1029.0,Chloe Tryon,412.0,Georgia Adams,67.0,176.0,Fine Leg,4.0,0,4,4.0,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Glance,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,45.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,0.0
1117131,13,5.15,6.0,0.0,0.0,67.0,4.0,6.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T20:27:11Z,1,61,False,,,,428.0,Katie Levick,412.0,Georgia Adams,1029.0,Chloe Tryon,200.0,142.0,Deep Cover,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,
