over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
953834,5,7.0,9.0,0.0,2.0,35.0,0.0,9.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:46:51Z,5,25.0,False,,,,2905,Charlie Dean,7032,Grace Scrivens,386,Bryony Smith,211,47,Short Mid Wicket,0,0,0,0,,LengthBall,OffStump,NotOut,None,FrontFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False
953838,6,6.67,5.0,0.0,0.0,40.0,0.0,5.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:48:14Z,1,26.0,False,,,,415,Sarah Glenn,7032,Grace Scrivens,386,Bryony Smith,298,221,Long Off,4,0,4,4,,LengthBall,Wide,NotOut,WellTimed,DownTheTrack,Drive,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,32,False,False,False,False,False,False,4,0,0,0,0,False,True
953838,6,6.67,5.0,0.0,0.0,40.0,0.0,5.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:48:42Z,2,27.0,False,,,,415,Sarah Glenn,7032,Grace Scrivens,386,Bryony Smith,119,49,Leg Slip,0,0,0,0,,LengthBall,OutsideOff,Lbw,HitPad,BackFoot,Pull,LegSpinner,Round,LegSpin,Right,NotOut1stUmpire,NotReferred,Null,False,False,False,False,False,True,32,False,False,False,False,False,False,0,0,0,0,0,False,False
953838,6,6.67,5.0,0.0,0.0,40.0,0.0,5.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:49:13Z,3,28.0,False,,,,415,Sarah Glenn,7032,Grace Scrivens,386,Bryony Smith,270,40,Bowler,0,0,0,0,,HalfVolley,OffStump,NotOut,MisTimed,DownTheTrack,Drive,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,0,0,0,0,0,False,False
953838,6,6.67,5.0,0.0,0.0,40.0,0.0,5.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:49:44Z,4,29.0,False,,,,415,Sarah Glenn,7032,Grace Scrivens,386,Bryony Smith,189,86,Mid Wicket,0,0,0,0,,LengthBall,OutsideOff,NotOut,OutsideEdge,FrontFoot,Sweep,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,0,0,0,0,0,False,False
953838,6,6.67,5.0,0.0,0.0,40.0,0.0,5.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:50:03Z,5,30.0,False,,,,415,Sarah Glenn,7032,Grace Scrivens,386,Bryony Smith,252,144,Long On,1,0,1,1,,HalfVolley,OutsideOff,NotOut,None,FrontFoot,Drive,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,False,False,False,False,1,0,0,0,0,False,False
953844,7,6.86,7.0,0.0,2.0,48.0,0.0,8.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:51:18Z,1,31.0,False,,,,890,Deepti Sharma,7032,Grace Scrivens,386,Bryony Smith,115,86,Short Fine Leg,0,1,1,0,,HalfVolley,DownLeg,Lbw,HitPad,FrontFoot,Sweep,OffBreak,Over,OffSpin,Right,NotOut2ndUmpire,NotReferred,Null,False,False,False,True,False,True,56,False,False,False,False,False,False,0,0,0,1,0,False,False
953844,7,6.86,7.0,0.0,2.0,48.0,0.0,8.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:51:49Z,2,32.0,False,,,,890,Deepti Sharma,386,Bryony Smith,7032,Grace Scrivens,297,146,Long On,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,DownTheTrack,Worked,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,56,False,False,False,False,False,False,1,0,0,0,0,False,False
953844,7,6.86,7.0,0.0,2.0,48.0,0.0,8.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:52:18Z,3,33.0,False,,,,890,Deepti Sharma,7032,Grace Scrivens,386,Bryony Smith,126,202,Fine Leg,4,0,4,4,,LengthBall,DownLeg,NotOut,WellTimed,FrontFoot,Sweep,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,56,False,False,False,False,False,False,4,0,0,0,0,False,True
953844,7,6.86,7.0,0.0,2.0,48.0,0.0,8.0,34654,,19550,The Hundred 2024 - Women,1,901,Trent Rockets Women,897,London Spirit Women,2024-08-07T19:52:58Z,4,34.0,False,,,,890,Deepti Sharma,7032,Grace Scrivens,386,Bryony Smith,348,13,Silly Point,0,0,0,0,,LengthBall,LegStump,Lbw,HitPad,FrontFoot,Sweep,OffBreak,Over,OffSpin,Right,Out2ndUmpire,NotOutReviewRetained,Null,False,False,False,False,False,True,859,False,False,False,False,False,True,0,0,0,0,0,False,False
