over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runrate
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:30:25Z,1,False,2482.0,Ankit Rajpoot,1189.0,David Warner,195.0,Jonny Bairstow,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,LengthBall,OutsideOff,Left,FrontFoot,Leave,NoMovement,Over,Medium,Left,Null,Null,True,False,False,False,False,False,26.0,False,True,True,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:31:23Z,1,False,2482.0,Ankit Rajpoot,1189.0,David Warner,195.0,Jonny Bairstow,330.0,83.0,Right,Extra Cover,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Dropped,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:32:29Z,2,False,2482.0,Ankit Rajpoot,195.0,Jonny Bairstow,1189.0,David Warner,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,OffStump,Left,FrontFoot,Leave,SeamAway,Over,Medium,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:33:03Z,3,False,2482.0,Ankit Rajpoot,195.0,Jonny Bairstow,1189.0,David Warner,310.0,96.0,Left,Mid On,1.0,0,1,1.0,BackOfALength,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:33:37Z,4,False,2482.0,Ankit Rajpoot,1189.0,David Warner,195.0,Jonny Bairstow,240.0,28.0,Right,Short Leg,0.0,0,0,0.0,BackOfALength,OffStump,None,BackFoot,BackwardDefensive,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:34:15Z,5,False,2482.0,Ankit Rajpoot,1189.0,David Warner,195.0,Jonny Bairstow,349.0,92.0,Right,Cover,0.0,0,0,0.0,BackOfALength,MiddleStump,WellTimed,BackFoot,Drive,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
56939,1,3.0,0.0,1.0,3.0,0.0,3.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:34:57Z,6,False,2482.0,Ankit Rajpoot,1189.0,David Warner,195.0,Jonny Bairstow,332.0,67.0,Right,Extra Cover,0.0,0,0,0.0,LengthBall,MiddleStump,None,FrontFoot,ForwardDefensive,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
56946,2,6.0,1.0,4.0,11.0,1.0,8.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:36:18Z,1,False,271.0,Mujeeb Ur Rahman,195.0,Jonny Bairstow,1189.0,David Warner,236.0,97.0,Left,Mid Off,0.0,0,0,0.0,LengthBall,OffStump,None,FrontFoot,Drive,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,143.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
56946,2,6.0,1.0,4.0,11.0,1.0,8.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:36:41Z,2,False,271.0,Mujeeb Ur Rahman,195.0,Jonny Bairstow,1189.0,David Warner,3.0,52.0,Left,Leg Gully,1.0,1,1,0.0,LengthBall,DownLeg,PlayAndMissLegSide,FrontFoot,Pull,OffBreak,Over,OffSpin,Left,Null,Null,True,False,False,False,False,False,143.0,False,False,True,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,
56946,2,6.0,1.0,4.0,11.0,1.0,8.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:37:02Z,2,False,271.0,Mujeeb Ur Rahman,195.0,Jonny Bairstow,1189.0,David Warner,281.0,34.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,OutsideOff,MisTimed,FrontFoot,Pushed,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,143.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
56946,2,6.0,1.0,4.0,11.0,1.0,8.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:37:20Z,3,False,271.0,Mujeeb Ur Rahman,195.0,Jonny Bairstow,1189.0,David Warner,72.0,123.0,Left,Fine Leg,0.0,2,2,0.0,LengthBall,DownLeg,HitPad,FrontFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,True,False,False,143.0,False,False,True,False,True,False,0.0,0.0,0.0,2.0,0.0,False,False,,,,,
56946,2,6.0,1.0,4.0,11.0,1.0,8.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:37:50Z,4,False,271.0,Mujeeb Ur Rahman,195.0,Jonny Bairstow,1189.0,David Warner,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,DownLeg,PlayAndMissLegSide,BackFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,True,False,False,False,False,False,143.0,False,False,True,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,
56946,2,6.0,1.0,4.0,11.0,1.0,8.0,1255,,5267,IPL 2019,1,247,Sunrisers Hyderabad,242,Punjab Kings,2019-04-08T15:38:11Z,4,True,271.0,Mujeeb Ur Rahman,195.0,Jonny Bairstow,1189.0,David Warner,331.0,74.0,Left,Mid Wicket,0.0,0,0,0.0,BackOfALength,OffStump,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Left,Out1stUmpire,Null,False,False,False,False,False,False,26.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,Caught,195.0,Jonny Bairstow,Caught,
