over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1020697,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:45:14Z,1,False,65,Lockie Ferguson,11452,Matty Hurst,3149,Finn Allen,339,13,Short Leg,0,0,0,0,LengthBall,OffStump,NotOut,HitPad,FrontFoot,Flick,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,
1020697,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:45:45Z,2,False,65,Lockie Ferguson,11452,Matty Hurst,3149,Finn Allen,30,136,Fine Leg,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pull,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,226,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
1020697,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:46:38Z,3,False,65,Lockie Ferguson,3149,Finn Allen,11452,Matty Hurst,270,40,Bowler,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,BackwardDefensive,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
1020697,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:47:09Z,4,False,65,Lockie Ferguson,3149,Finn Allen,11452,Matty Hurst,340,191,Deep Mid Wicket,4,0,4,4,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Slog,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,226,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
1020697,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:47:52Z,5,False,65,Lockie Ferguson,3149,Finn Allen,11452,Matty Hurst,162,48,Gully,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Dropped,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
1020697,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:48:24Z,6,False,65,Lockie Ferguson,3149,Finn Allen,11452,Matty Hurst,90,48,Wicketkeeper,0,0,0,0,LengthBall,Wide,NotOut,Missed,BackFoot,Steer,SeamIn,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
1020699,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:49:27Z,1,False,961,Wes Agar,11452,Matty Hurst,3149,Finn Allen,165,80,Backward Point,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Dropped,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,204,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
1020699,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:50:07Z,2,False,961,Wes Agar,11452,Matty Hurst,3149,Finn Allen,202,20,Silly Point,0,0,0,0,BackOfALength,OutsideOff,NotOut,HitBody,FrontFoot,Worked,SeamIn,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,204,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
1020699,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:50:41Z,3,False,961,Wes Agar,11452,Matty Hurst,3149,Finn Allen,359,97,Square Leg,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,204,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
1020699,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,36916,,20885,KFC BBL|14,1,106,Perth Scorchers Men,107,Sydney Thunder Men,2025-01-03T15:51:29Z,4,False,961,Wes Agar,3149,Finn Allen,11452,Matty Hurst,21,144,Deep Backward Square Leg,1,0,1,1,Short,OutsideOff,NotOut,MisTimed,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,204,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
