over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1077139,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,1,False,Short Mid Wicket,0,0,False,False,2025-06-15T02:31:25Z,3199.0,Ali Khan,1838.0,Tim Seifert,3149.0,Finn Allen,324.0,49.0,0.0,0.0,LengthBall,OutsideOff,NotOut,MisTimed,BackFoot,BackwardDefensive,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,11.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1077139,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,2,False,Long On,0,4,False,True,2025-06-15T02:32:13Z,3199.0,Ali Khan,1838.0,Tim Seifert,3149.0,Finn Allen,314.0,213.0,4.0,4.0,BackOfALength,Wide,NotOut,WellTimed,BackFoot,Pull,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,11.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,0.0,,,,
1077139,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,3,False,Mid Wicket,0,0,False,False,2025-06-15T02:32:44Z,3199.0,Ali Khan,1838.0,Tim Seifert,3149.0,Finn Allen,334.0,91.0,0.0,0.0,BackOfALength,OutsideOff,NotOut,MisTimed,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,11.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1077139,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,4,False,Short Extra Cover,0,0,False,False,2025-06-15T02:33:17Z,3199.0,Ali Khan,1838.0,Tim Seifert,3149.0,Finn Allen,221.0,46.0,0.0,0.0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,11.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1077139,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,5,False,Mid On,0,1,False,False,2025-06-15T02:33:50Z,3199.0,Ali Khan,1838.0,Tim Seifert,3149.0,Finn Allen,302.0,95.0,1.0,1.0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Slog,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,11.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1077139,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,6,False,Short Third Man,0,0,False,False,2025-06-15T02:34:58Z,3199.0,Ali Khan,3149.0,Finn Allen,1838.0,Tim Seifert,135.0,79.0,0.0,0.0,BackOfALength,OutsideOff,NotOut,ThickEdge,BackFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,11.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1077141,2,6.0,7.0,1.0,0.0,12.0,1.0,7.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,1,False,Backward Square Leg,0,0,False,False,2025-06-15T02:36:24Z,2629.0,Shadley van Schalkwyk,1838.0,Tim Seifert,3149.0,Finn Allen,18.0,96.0,0.0,0.0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1077141,2,6.0,7.0,1.0,0.0,12.0,1.0,7.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,2,True,Mid On,0,0,False,False,2025-06-15T02:37:09Z,2629.0,Shadley van Schalkwyk,1838.0,Tim Seifert,3149.0,Finn Allen,303.0,95.0,0.0,0.0,BackOfALength,Wide,NotOut,MisTimed,FrontFoot,Slog,AwaySwinger,Over,Fast,Right,Out2ndUmpire,NotReferred,Null,False,False,False,False,False,False,256.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,Caught,1838.0,Tim Seifert,Caught
1077141,2,6.0,7.0,1.0,0.0,12.0,1.0,7.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,3,False,Long Off,0,1,False,False,2025-06-15T02:38:33Z,2629.0,Shadley van Schalkwyk,2911.0,Jake Fraser-McGurk,3149.0,Finn Allen,252.0,162.0,1.0,1.0,BackOfALength,Wide,NotOut,None,BackFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1077141,2,6.0,7.0,1.0,0.0,12.0,1.0,7.0,39137,,23376,Major League Cricket 2025,1,1294,San Francisco Unicorns,1292,Los Angeles Knight Riders,4,False,Short Extra Cover,0,0,False,False,2025-06-15T02:39:23Z,2629.0,Shadley van Schalkwyk,3149.0,Finn Allen,2911.0,Jake Fraser-McGurk,227.0,51.0,0.0,0.0,LengthBall,Wide,NotOut,MisTimed,FrontFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,,,,
