over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1622043,2,5.0,4,0,0,10,0,4,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647462,2026-08-06T17:35:01Z,1,6,False,475,Tom Curran,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,343.0,81.0,Left,0,0,0,0,LengthBall,OffStump,None,FrontFoot,Cut,AwaySwinger,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Cover,,,,,,
1622043,2,5.0,4,0,0,10,0,4,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647463,2026-08-06T17:35:32Z,2,7,False,475,Tom Curran,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,23.0,125.0,Left,1,0,1,1,LengthBall,OffStump,WellTimed,FrontFoot,Drive,AwaySwinger,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Backward Point,,,,,,
1622043,2,5.0,4,0,0,10,0,4,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647464,2026-08-06T17:36:13Z,3,8,False,475,Tom Curran,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,242.0,73.0,Right,1,0,1,1,LengthBall,OutsideOff,None,DownTheTrack,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Mid Off,,,,,,
1622043,2,5.0,4,0,0,10,0,4,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647465,2026-08-06T17:36:50Z,4,9,False,475,Tom Curran,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,193.0,82.0,Left,1,0,1,1,LengthBall,DownLeg,None,FrontFoot,Worked,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Square Leg,,,,,,
1622043,2,5.0,4,0,0,10,0,4,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647466,2026-08-06T17:37:31Z,5,10,False,475,Tom Curran,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,22.0,120.0,Right,1,0,1,1,BackOfALength,OutsideOff,None,DownTheTrack,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Backward Square Leg,,,,,,
1622044,3,7.0,11,1,0,21,1,11,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647467,2026-08-06T17:38:42Z,1,11,False,1164,Trent Boult,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,335.0,174.0,Right,4,0,4,4,LengthBall,OffStump,WellTimed,FrontFoot,Flick,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1622044,3,7.0,11,1,0,21,1,11,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647468,2026-08-06T17:39:15Z,2,12,False,1164,Trent Boult,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,22.0,166.0,Right,6,0,6,6,BackOfALength,LegStump,Middled,BackFoot,Pull,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,,
1622044,3,7.0,11,1,0,21,1,11,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647469,2026-08-06T17:40:01Z,3,13,False,1164,Trent Boult,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,154.0,79.0,Right,0,0,0,0,Yorker,OutsideOff,None,FrontFoot,Steer,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Backward Point,,,,,,
1622044,3,7.0,11,1,0,21,1,11,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647470,2026-08-06T17:40:28Z,4,14,False,1164,Trent Boult,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,,,Right,1,1,1,0,FullToss,Wide,Missed,FrontFoot,Drive,OffCutter,Over,FastSeam,Left,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,Wicketkeeper,,,,,,
1622044,3,7.0,11,1,0,21,1,11,75877,,39779,The Hundred 2026 – Men,1,927,London Spirit Men,924,MI London Men,8647471,2026-08-06T17:40:57Z,4,15,True,1164,Trent Boult,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,,,Right,0,0,0,0,Yorker,LegStump,Missed,BackFoot,Flick,InSwinger,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,Bowled,195.0,Jonny Bairstow,Bowled,Bowled,1872.0
