over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1623141,4,8.0,7,0,0,32,0,7,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654073,2026-08-07T17:40:43Z,2,17,False,2683,Tom Helm,722,Mitch Marsh,2646,Ryan Rickelton,204.0,87.0,Right,0,0,0,0,BackOfALength,OutsideOff,None,DownTheTrack,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Cover,,,,,,
1623141,4,8.0,7,0,0,32,0,7,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654077,2026-08-07T17:41:20Z,3,18,False,2683,Tom Helm,722,Mitch Marsh,2646,Ryan Rickelton,199.0,54.0,Right,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Pushed,LegCutter,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Cover,,,,,,
1623141,4,8.0,7,0,0,32,0,7,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654089,2026-08-07T17:41:51Z,4,19,False,2683,Tom Helm,2646,Ryan Rickelton,722,Mitch Marsh,224.0,168.0,Left,2,0,2,2,LengthBall,OutsideOff,MisTimed,FrontFoot,Slog,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,True,Deep Mid Wicket,,,,,,
1623141,4,8.0,7,0,0,32,0,7,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654096,2026-08-07T17:42:41Z,5,20,False,2683,Tom Helm,2646,Ryan Rickelton,722,Mitch Marsh,266.0,160.0,Left,2,0,2,2,LengthBall,LegStump,None,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,Long On,,,,,,
1623147,5,9.2,14,0,0,46,0,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654107,2026-08-07T17:43:50Z,1,21,False,653,Chris Wood,722,Mitch Marsh,2646,Ryan Rickelton,308.0,178.0,Right,4,0,4,4,LengthBall,LegStump,WellTimed,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1623147,5,9.2,14,0,0,46,0,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654110,2026-08-07T17:44:25Z,2,22,False,653,Chris Wood,722,Mitch Marsh,2646,Ryan Rickelton,252.0,86.0,Right,0,0,0,0,HalfVolley,LegStump,None,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Mid Off,,,,,,
1623147,5,9.2,14,0,0,46,0,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654116,2026-08-07T17:44:55Z,3,23,False,653,Chris Wood,722,Mitch Marsh,2646,Ryan Rickelton,322.0,176.0,Right,6,0,6,6,BackOfALength,DownLeg,None,BackFoot,Pull,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,,
1623147,5,9.2,14,0,0,46,0,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654118,2026-08-07T17:45:25Z,4,24,False,653,Chris Wood,722,Mitch Marsh,2646,Ryan Rickelton,251.0,89.0,Right,0,0,0,0,LengthBall,OffStump,None,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Mid Off,,,,,,
1623147,5,9.2,14,0,0,46,0,14,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654128,2026-08-07T17:46:08Z,5,25,False,653,Chris Wood,722,Mitch Marsh,2646,Ryan Rickelton,158.0,166.0,Right,4,0,4,4,LengthBall,LegStump,WellTimed,BackFoot,Cut,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1623152,6,8.67,6,0,0,52,0,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654135,2026-08-07T17:47:24Z,1,26,False,8105,Rehan Ahmed,722,Mitch Marsh,2646,Ryan Rickelton,,,Right,0,0,0,0,LengthBall,OutsideOff,MisTimed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,
1623152,6,8.67,6,0,0,52,0,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654141,2026-08-07T17:48:14Z,2,27,False,8105,Rehan Ahmed,722,Mitch Marsh,2646,Ryan Rickelton,,,Right,0,0,0,0,LengthBall,Wide,Left,BackFoot,NoShot,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,
1623152,6,8.67,6,0,0,52,0,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654143,2026-08-07T17:48:28Z,3,28,False,8105,Rehan Ahmed,722,Mitch Marsh,2646,Ryan Rickelton,,,Right,1,1,1,0,LengthBall,Wide,Left,BackFoot,NoShot,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,False,False,False,False,1,0,1,0,0,False,False,Wicketkeeper,,,,,,
1623152,6,8.67,6,0,0,52,0,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654147,2026-08-07T17:48:43Z,3,29,False,8105,Rehan Ahmed,722,Mitch Marsh,2646,Ryan Rickelton,230.0,161.0,Right,1,0,1,1,LengthBall,Wide,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Deep Extra Cover,,,,,,
1623152,6,8.67,6,0,0,52,0,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654152,2026-08-07T17:49:21Z,4,30,False,8105,Rehan Ahmed,2646,Ryan Rickelton,722,Mitch Marsh,,,Left,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Pushed,Googly,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,
1623152,6,8.67,6,0,0,52,0,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654157,2026-08-07T17:49:33Z,5,31,False,8105,Rehan Ahmed,2646,Ryan Rickelton,722,Mitch Marsh,184.0,171.0,Left,4,0,4,4,LengthBall,OffStump,None,BacksAway,Sweep,LegSpinner,Round,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,4,0,0,0,0,True,False,Deep Square Leg,,,,,,
1623157,7,7.71,2,1,0,54,1,2,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654165,2026-08-07T17:50:38Z,1,32,False,14894,Usman Tariq,722,Mitch Marsh,2646,Ryan Rickelton,231.0,62.0,Right,0,0,0,0,BackOfALength,OffStump,None,BackFoot,Pushed,Googly,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Extra Cover,,,,,,
1623157,7,7.71,2,1,0,54,1,2,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654173,2026-08-07T17:50:58Z,2,33,True,14894,Usman Tariq,722,Mitch Marsh,2646,Ryan Rickelton,0.0,0.0,Right,0,0,0,0,LengthBall,OutsideOff,Missed,FrontFoot,Drive,Googly,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,Bowled,722.0,Mitch Marsh,Bowled,Bowled,1842.0
1623157,7,7.71,2,1,0,54,1,2,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654186,2026-08-07T17:52:43Z,3,34,False,14894,Usman Tariq,159,Harry Brook,2646,Ryan Rickelton,,,Right,1,0,1,1,BackOfALength,OffStump,BatPad,FrontFoot,ReverseSweep,Googly,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Wicketkeeper,,,,,,
1623157,7,7.71,2,1,0,54,1,2,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654191,2026-08-07T17:53:20Z,4,35,False,14894,Usman Tariq,2646,Ryan Rickelton,159,Harry Brook,0.0,0.0,Left,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,
1623157,7,7.71,2,1,0,54,1,2,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654196,2026-08-07T17:53:45Z,5,36,False,14894,Usman Tariq,2646,Ryan Rickelton,159,Harry Brook,341.0,138.0,Left,1,0,1,1,LengthBall,OffStump,None,BackFoot,Pushed,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,1,0,0,0,0,False,False,Deep Cover,,,,,,
1623164,8,7.5,6,0,0,60,1,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654199,2026-08-07T17:54:24Z,1,37,False,14894,Usman Tariq,159,Harry Brook,2646,Ryan Rickelton,289.0,69.0,Right,0,0,0,0,BackOfALength,OutsideOff,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,0,False,False,Mid On,,,,,,
1623164,8,7.5,6,0,0,60,1,6,75905,,39780,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,926,Birmingham Phoenix Men,8654203,2026-08-07T17:54:46Z,2,38,False,14894,Usman Tariq,159,Harry Brook,2646,Ryan Rickelton,160.0,167.0,Right,4,0,4,4,BackOfALength,OutsideOff,WellTimed,BackFoot,Cut,Googly,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,False,False,False,False,4,0,0,0,0,True,False,,,,,,,
