over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
49406,3,,22,1,11.0,0.0,1.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Silly Mid Off,0,0,False,False,2019-03-24T14:46:03Z,2477.0,Rasikh Salam,204.0,,279.0,,284.0,36.0,Right,0.0,0.0,LengthBall,OutsideOff,MisTimed,FrontFoot,Drive,NoMovement,Round,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49406,3,,22,1,11.0,0.0,1.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Point,1,2,False,False,2019-03-24T14:46:35Z,2477.0,Rasikh Salam,204.0,,279.0,,0.0,64.0,Right,2.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Dropped,NoMovement,Round,Fast,Left,Null,FrontFoot,False,True,False,False,False,False,117.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,1.0,,,,
49406,3,,22,1,11.0,0.0,1.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Third Man,0,4,False,False,2019-03-24T14:47:32Z,2477.0,Rasikh Salam,279.0,,204.0,,133.0,169.0,Left,4.0,4.0,HalfVolley,OutsideOff,WellTimed,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,True,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,
49409,4,,33,2,11.0,1.0,0.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,1,False,Point,0,1,False,False,2019-03-24T14:48:56Z,1010.0,Mitchell McClenaghan,204.0,,279.0,,354.0,67.0,Right,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,Dropped,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
49409,4,,33,2,11.0,1.0,0.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,2,False,Backward Point,0,0,False,False,2019-03-24T14:50:14Z,1010.0,Mitchell McClenaghan,279.0,,204.0,,167.0,69.0,Left,0.0,0.0,LengthBall,LegStump,None,FrontFoot,Dropped,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49409,4,,33,2,11.0,1.0,0.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,3,False,Long Off,0,6,False,True,2019-03-24T14:50:54Z,1010.0,Mitchell McClenaghan,279.0,,204.0,,236.0,185.0,Left,6.0,6.0,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,True,False,38.0,False,False,True,False,True,False,6.0,0.0,0.0,0.0,0.0,,,,
49409,4,,33,2,11.0,1.0,0.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,4,True,Extra Cover,0,0,False,False,2019-03-24T14:51:43Z,1010.0,Mitchell McClenaghan,279.0,,204.0,,213.0,81.0,Left,0.0,0.0,LengthBall,MiddleStump,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Out2ndUmpire,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,Caught,279.0,,Caught
49409,4,,33,2,11.0,1.0,0.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,5,False,Backward Point,0,0,False,False,2019-03-24T14:53:40Z,1010.0,Mitchell McClenaghan,1192.0,Colin Ingram,204.0,,11.0,78.0,Right,0.0,0.0,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
49409,4,,33,2,11.0,1.0,0.0,11.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,6,False,Deep Point,0,4,False,True,2019-03-24T14:54:13Z,1010.0,Mitchell McClenaghan,1192.0,Colin Ingram,204.0,,4.0,168.0,Right,4.0,4.0,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,
49411,5,,36,2,3.0,0.0,0.0,3.0,1108,,5080,IPL 2019,1,241,Delhi Capitals Men,244,Mumbai Indians,1,False,Silly Mid Off,0,1,False,False,2019-03-24T14:55:39Z,214.0,,204.0,,1192.0,Colin Ingram,299.0,69.0,Right,1.0,1.0,LengthBall,MiddleStump,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
