over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runrate
53568,2,7.0,0.0,1.0,17.0,0.0,7.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:36:59Z,4,False,1286.0,,206.0,,1315.0,,199.0,91.0,Left,Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,143.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53568,2,7.0,0.0,1.0,17.0,0.0,7.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:37:36Z,5,False,1286.0,,206.0,,1315.0,,92.0,19.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,143.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53568,2,7.0,0.0,1.0,17.0,0.0,7.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:38:19Z,6,False,1286.0,,206.0,,1315.0,,2.0,148.0,Left,Deep Square Leg,1.0,0,1,1.0,BackOfALength,OffStump,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,143.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53569,3,3.0,0.0,0.0,20.0,0.0,3.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:39:11Z,1,False,285.0,Krishnappa Gowtham,206.0,,1315.0,,12.0,140.0,Left,Deep Backward Square Leg,2.0,0,2,2.0,LengthBall,OutsideOff,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53569,3,3.0,0.0,0.0,20.0,0.0,3.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:39:32Z,2,False,285.0,Krishnappa Gowtham,206.0,,1315.0,,152.0,79.0,Left,Backward Point,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Cut,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53569,3,3.0,0.0,0.0,20.0,0.0,3.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:39:52Z,3,False,285.0,Krishnappa Gowtham,206.0,,1315.0,,212.0,81.0,Left,Extra Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Pushed,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53569,3,3.0,0.0,0.0,20.0,0.0,3.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:40:15Z,4,False,285.0,Krishnappa Gowtham,206.0,,1315.0,,307.0,94.0,Left,Mid On,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Worked,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53569,3,3.0,0.0,0.0,20.0,0.0,3.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:40:32Z,5,False,285.0,Krishnappa Gowtham,206.0,,1315.0,,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,Missed,FrontFoot,Drive,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53569,3,3.0,0.0,0.0,20.0,0.0,3.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:40:48Z,6,False,285.0,Krishnappa Gowtham,206.0,,1315.0,,288.0,157.0,Left,Long On,1.0,0,1,1.0,BackOfALength,MiddleStump,None,FrontFoot,Pushed,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,26.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
53570,4,9.0,0.0,0.0,29.0,0.0,9.0,1197,,5091,IPL 2019,1,246,Royal Challengers Bengaluru Men,245,Rajasthan Royals,2019-04-02T15:41:46Z,1,False,1286.0,,206.0,,1315.0,,321.0,207.0,Left,Deep Mid Wicket,4.0,0,4,4.0,BackOfALength,OffStump,WellTimed,MovesInfront,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,143.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
