over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId,matchName
1605122,2,13.0,17,0,0,26,0,17,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546196,2026-07-01T18:04:37Z,1,7,False,15422,Charlie Bennett,599,Jason Roy,338,Laurie Evans,15.0,142.0,Right,1,0,1,1,LengthBall,OffStump,None,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Backward Square Leg,,,,,,,
1605122,2,13.0,17,0,0,26,0,17,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546201,2026-07-01T18:05:13Z,2,8,False,15422,Charlie Bennett,338,Laurie Evans,599,Jason Roy,73.0,160.0,Right,4,0,4,4,BackOfALength,OutsideOff,MisTimed,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,,
1605122,2,13.0,17,0,0,26,0,17,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546204,2026-07-01T18:05:48Z,3,9,False,15422,Charlie Bennett,338,Laurie Evans,599,Jason Roy,129.0,133.0,Right,1,0,1,1,BackOfALength,OutsideOff,WellTimed,BackFoot,LateCut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Third Man,,,,,,,
1605122,2,13.0,17,0,0,26,0,17,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546210,2026-07-01T18:06:24Z,4,10,False,15422,Charlie Bennett,599,Jason Roy,338,Laurie Evans,167.0,168.0,Right,6,0,6,6,HalfVolley,OutsideOff,ThickEdge,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,6,0,0,0,0,True,True,,,,,,,,
1605122,2,13.0,17,0,0,26,0,17,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546215,2026-07-01T18:07:00Z,5,11,False,15422,Charlie Bennett,599,Jason Roy,338,Laurie Evans,331.0,175.0,Right,4,0,4,4,HalfVolley,OutsideOff,WellTimed,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,,
1605122,2,13.0,17,0,0,26,0,17,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546218,2026-07-01T18:07:38Z,6,12,False,15422,Charlie Bennett,599,Jason Roy,338,Laurie Evans,163.0,84.0,Right,1,0,1,1,BackOfALength,OffStump,BatPad,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,,,
1605127,3,11.67,9,0,0,35,0,9,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546226,2026-07-01T18:08:40Z,1,13,False,2249,Shane Snater,599,Jason Roy,338,Laurie Evans,163.0,151.0,Right,2,0,2,2,LengthBall,OutsideOff,None,BackFoot,LateCut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,Deep Backward Point,,,,,,,
1605127,3,11.67,9,0,0,35,0,9,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546228,2026-07-01T18:09:15Z,2,14,False,2249,Shane Snater,599,Jason Roy,338,Laurie Evans,296.0,57.0,Right,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Mid On,,,,,,,
1605127,3,11.67,9,0,0,35,0,9,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546233,2026-07-01T18:09:45Z,3,15,False,2249,Shane Snater,338,Laurie Evans,599,Jason Roy,344.0,167.0,Right,4,0,4,4,LengthBall,OutsideOff,MisTimed,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,True,,,,,,,,
1605127,3,11.67,9,0,0,35,0,9,75331,39021,T20 Blast 2026 - Men,1,48,Surrey Men,32,Essex Men,8546237,2026-07-01T18:10:13Z,4,16,False,2249,Shane Snater,338,Laurie Evans,599,Jason Roy,,,Right,0,0,0,0,LengthBall,OutsideOff,Missed,BackFoot,Steer,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,,
