over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
49519,3,,21,1,7.0,0.0,1.0,7.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,5,False,Wicketkeeper,1,1,False,False,2019-03-25T14:42:59Z,1286.0,,1417.0,Chris Gayle,298.0,,90.0,48.0,Right,1.0,0.0,Short,DownLeg,Left,Ducked,Leave,NoMovement,Over,Fast,Left,Null,Null,True,False,False,False,False,False,83.0,False,False,True,False,True,False,0.0,0.0,1.0,0.0,0.0,,,,,
49519,3,,21,1,7.0,0.0,1.0,7.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,5,False,Mid Off,0,1,False,False,2019-03-25T14:43:29Z,1286.0,,1417.0,Chris Gayle,298.0,,294.0,91.0,Right,1.0,1.0,LengthBall,DownLeg,None,FrontFoot,Pushed,OffCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,,
49519,3,,21,1,7.0,0.0,1.0,7.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,6,False,Third Man,0,1,False,False,2019-03-25T14:44:18Z,1286.0,,298.0,,1417.0,Chris Gayle,142.0,131.0,Left,1.0,1.0,BackOfALength,OutsideOff,None,BackFoot,LateCut,AwaySwinger,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,,
49521,4,,22,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,1,False,Short Mid Wicket,0,0,False,False,2019-03-25T14:45:46Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,324.0,61.0,Left,0.0,0.0,LengthBall,MiddleStump,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49521,4,,22,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,2,False,Backward Point,0,0,False,False,2019-03-25T14:46:15Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,157.0,74.0,Left,0.0,0.0,LengthBall,OutsideOff,None,BacksAway,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49521,4,,22,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,3,False,Mid Off,0,0,False,False,2019-03-25T14:46:51Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,232.0,80.0,Left,0.0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49521,4,,22,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,4,False,Backward Point,0,0,False,False,2019-03-25T14:47:26Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,158.0,71.0,Left,0.0,0.0,LengthBall,OutsideOff,None,NoMovement,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49521,4,,22,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,5,False,Short Leg,0,0,False,False,2019-03-25T14:48:18Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,303.0,27.0,Left,0.0,0.0,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,,
49521,4,,22,1,1.0,0.0,0.0,1.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,6,False,Mid On,0,1,False,False,2019-03-25T14:48:45Z,53.0,Jofra Archer,298.0,,1417.0,Chris Gayle,296.0,87.0,Left,1.0,1.0,BackOfALength,OffStump,None,BacksAway,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,,
49522,5,,31,1,9.0,0.0,1.0,9.0,1112,,5081,IPL 2019,1,242,Punjab Kings,245,Rajasthan Royals,1,False,Deep Backward Point,0,4,False,True,2019-03-25T14:49:40Z,196.0,Ben Stokes,298.0,,1417.0,Chris Gayle,172.0,190.0,Left,4.0,4.0,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,83.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,,
