over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,over_runrate
59537,10,4.0,0.0,1.0,90.0,2.0,4.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:19:40Z,5,False,175.0,Moeen Ali,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,299.0,134.0,Left,Long On,1.0,0,1,1.0,LengthBall,OutsideOff,None,BackFoot,Pushed,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59537,10,4.0,0.0,1.0,90.0,2.0,4.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:20:14Z,6,False,175.0,Moeen Ali,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,303.0,137.0,Right,Long Off,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:21:27Z,1,False,613.0,,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,197.0,130.0,Right,Deep Mid Wicket,2.0,0,2,2.0,LengthBall,DownLeg,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:22:12Z,2,False,613.0,,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,138.0,73.0,Right,Short Fine Leg,0.0,0,0,0.0,LengthBall,DownLeg,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:22:35Z,3,False,613.0,,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,LengthBall,DownLeg,PlayAndMissLegSide,FrontFoot,Glance,LegSpinner,Over,LegSpin,Left,Null,Null,True,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:22:53Z,3,False,613.0,,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,299.0,135.0,Right,Long Off,1.0,0,1,1.0,LengthBall,MiddleStump,None,BackFoot,Pushed,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:23:39Z,4,False,613.0,,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,86.0,165.0,Left,Fine Leg,4.0,0,4,4.0,LengthBall,DownLeg,Gloved,FrontFoot,Sweep,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,4.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:24:18Z,5,False,613.0,,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,291.0,137.0,Left,Long On,1.0,0,1,1.0,LengthBall,OutsideOff,None,BackFoot,Pushed,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59545,11,9.0,0.0,1.0,99.0,2.0,9.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:25:02Z,6,False,613.0,,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,200.0,6.0,Right,Short Leg,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,LegSpinner,Round,LegSpin,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59554,12,3.0,0.0,0.0,102.0,2.0,3.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,,1,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,
59554,12,3.0,0.0,0.0,102.0,2.0,3.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:26:14Z,2,False,175.0,Moeen Ali,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,139.0,72.0,Left,Short Third Man,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,ReverseSweep,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59554,12,3.0,0.0,0.0,102.0,2.0,3.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:26:30Z,3,False,175.0,Moeen Ali,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,270.0,40.0,Left,Bowler,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59554,12,3.0,0.0,0.0,102.0,2.0,3.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:26:50Z,4,False,175.0,Moeen Ali,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,178.0,81.0,Left,Point,1.0,0,1,1.0,LengthBall,OutsideOff,None,BackFoot,Steer,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59554,12,3.0,0.0,0.0,102.0,2.0,3.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:27:14Z,5,False,175.0,Moeen Ali,1417.0,Chris Gayle,2480.0,Sarfaraz Khan,257.0,142.0,Right,Long On,1.0,0,1,1.0,LengthBall,OutsideOff,None,BackFoot,Pushed,OffBreak,Round,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
59554,12,3.0,0.0,0.0,102.0,2.0,3.0,1294,,5273,IPL 2019,1,242,Punjab Kings,246,Royal Challengers Bengaluru Men,2019-04-13T16:27:42Z,6,False,175.0,Moeen Ali,2480.0,Sarfaraz Khan,1417.0,Chris Gayle,333.0,146.0,Left,Deep Mid Wicket,1.0,0,1,1.0,LengthBall,OutsideOff,None,FrontFoot,Slog,OffBreak,Over,OffSpin,Left,Null,Null,False,False,False,False,False,False,148.0,False,False,False,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
