over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runrate,appealDismissalTypeId
58604,3,5.0,0.0,1.0,17.0,1.0,6.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:44:53Z,6,False,212.0,,299.0,,2474.0,Robin Uthappa,327.0,197.0,Left,Deep Mid Wicket,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
58618,4,12.0,0.0,0.0,29.0,1.0,12.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:46:10Z,1,False,675.0,Kagiso Rabada,2474.0,Robin Uthappa,299.0,,290.0,37.0,Left,Silly Mid On,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58618,4,12.0,0.0,0.0,29.0,1.0,12.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:46:41Z,2,False,675.0,Kagiso Rabada,2474.0,Robin Uthappa,299.0,,178.0,183.0,Left,Deep Point,4.0,0,4,4.0,LengthBall,OutsideOff,WellTimed,BacksAway,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,124.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
58618,4,12.0,0.0,0.0,29.0,1.0,12.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:47:20Z,3,False,675.0,Kagiso Rabada,2474.0,Robin Uthappa,299.0,,340.0,85.0,Left,Mid Wicket,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58618,4,12.0,0.0,0.0,29.0,1.0,12.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:47:51Z,4,False,675.0,Kagiso Rabada,2474.0,Robin Uthappa,299.0,,21.0,175.0,Left,Deep Backward Square Leg,4.0,0,4,4.0,HalfVolley,LegStump,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,124.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
58618,4,12.0,0.0,0.0,29.0,1.0,12.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:48:26Z,5,False,675.0,Kagiso Rabada,2474.0,Robin Uthappa,299.0,,204.0,84.0,Left,Cover,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58618,4,12.0,0.0,0.0,29.0,1.0,12.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:48:56Z,6,False,675.0,Kagiso Rabada,2474.0,Robin Uthappa,299.0,,110.0,174.0,Left,Third Man,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
58628,5,11.0,0.0,0.0,40.0,1.0,11.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:49:51Z,1,False,212.0,,299.0,,2474.0,Robin Uthappa,317.0,196.0,Left,Long On,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,BackFoot,Pull,LegCutter,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
58628,5,11.0,0.0,0.0,40.0,1.0,11.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:50:52Z,2,False,212.0,,299.0,,2474.0,Robin Uthappa,359.0,87.0,Left,Square Leg,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
58628,5,11.0,0.0,0.0,40.0,1.0,11.0,1285,,5271,IPL 2019,1,243,Kolkata Knight Riders,241,Delhi Capitals Men,2019-04-12T15:51:32Z,3,False,212.0,,299.0,,2474.0,Robin Uthappa,31.0,171.0,Left,Fine Leg,4.0,0,4,4.0,LengthBall,LegStump,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,38.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
