over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
878313,2,11.5,12.0,0.0,0.0,23.0,0.0,12.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:43:02Z,6,False,1003,Sean Abbott,1189,David Warner,402,Alex Hales,270,40,Bowler,0,0,0,0,LengthBall,DownLeg,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:44:22Z,1,False,1692,Jack Edwards,402,Alex Hales,1189,David Warner,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,BacksAway,Cut,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:44:51Z,2,False,1692,Jack Edwards,402,Alex Hales,1189,David Warner,329,84,Mid Wicket,0,0,0,0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Slog,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:45:41Z,3,False,1692,Jack Edwards,402,Alex Hales,1189,David Warner,90,48,Wicketkeeper,1,1,1,0,LengthBall,LegStump,NotOut,PlayAndMissLegSide,FrontFoot,Glance,NoMovement,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,99,False,False,True,False,True,False,0,0,1,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:46:15Z,3,False,1692,Jack Edwards,402,Alex Hales,1189,David Warner,198,85,Cover,0,0,0,0,BackOfALength,OutsideOff,NotOut,MisTimed,BacksAway,Cut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:46:46Z,4,False,1692,Jack Edwards,402,Alex Hales,1189,David Warner,288,161,Long On,1,0,1,1,HalfVolley,MiddleStump,NotOut,MisTimed,BacksAway,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:47:29Z,5,False,1692,Jack Edwards,1189,David Warner,402,Alex Hales,251,198,Long On,6,0,6,6,LengthBall,MiddleStump,NotOut,Middled,FrontFoot,Slog,OffCutter,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,False,99,False,False,True,False,True,False,6,0,0,0,0,False,False,,,,
878314,3,10.33,8.0,0.0,1.0,31.0,0.0,8.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:48:06Z,6,False,1692,Jack Edwards,1189,David Warner,402,Alex Hales,76,69,Short Third Man,0,0,0,0,LengthBall,DownLeg,NotOut,HitPad,BackFoot,Worked,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878315,4,11.0,13.0,0.0,0.0,44.0,0.0,13.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:50:03Z,1,False,1003,Sean Abbott,402,Alex Hales,1189,David Warner,186,54,Point,0,0,0,0,LengthBall,OutsideOff,NotOut,None,BackFoot,Dropped,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878315,4,11.0,13.0,0.0,0.0,44.0,0.0,13.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:50:36Z,2,False,1003,Sean Abbott,402,Alex Hales,1189,David Warner,298,192,Long On,4,0,4,4,BackOfALength,OutsideOff,NotOut,WellTimed,DownTheTrack,Slog,OffCutter,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,219,False,False,True,False,True,False,4,0,0,0,0,False,True,,,,
878315,4,11.0,13.0,0.0,0.0,44.0,0.0,13.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:51:12Z,3,False,1003,Sean Abbott,402,Alex Hales,1189,David Warner,174,179,Deep Backward Point,4,0,4,4,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,219,False,False,True,False,True,False,4,0,0,0,0,False,True,,,,
878315,4,11.0,13.0,0.0,0.0,44.0,0.0,13.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:51:40Z,4,False,1003,Sean Abbott,402,Alex Hales,1189,David Warner,266,193,Long Off,4,0,4,4,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Slog,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,219,False,False,True,False,True,False,4,0,0,0,0,False,True,,,,
878315,4,11.0,13.0,0.0,0.0,44.0,0.0,13.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:52:30Z,5,False,1003,Sean Abbott,402,Alex Hales,1189,David Warner,16,91,Backward Square Leg,1,0,1,1,LengthBall,MiddleStump,NotOut,InsideEdge,FrontFoot,Slog,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,
878315,4,11.0,13.0,0.0,0.0,44.0,0.0,13.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:53:06Z,6,False,1003,Sean Abbott,1189,David Warner,402,Alex Hales,3,85,Point,0,0,0,0,LengthBall,MiddleStump,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878316,5,9.2,2.0,2.0,0.0,46.0,2.0,2.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:54:28Z,1,False,1086,Stephen O'Keefe,402,Alex Hales,1189,David Warner,220,48,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878316,5,9.2,2.0,2.0,0.0,46.0,2.0,2.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:54:43Z,2,True,1086,Stephen O'Keefe,402,Alex Hales,1189,David Warner,0,0,,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,SlogSweep,StockBall,Round,Orthodox,Left,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,Bowled,402.0,Alex Hales,Bowled
878316,5,9.2,2.0,2.0,0.0,46.0,2.0,2.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:56:26Z,3,False,1086,Stephen O'Keefe,783,Cameron Bancroft,1189,David Warner,270,40,Bowler,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878316,5,9.2,2.0,2.0,0.0,46.0,2.0,2.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:56:41Z,4,False,1086,Stephen O'Keefe,783,Cameron Bancroft,1189,David Warner,246,147,Long Off,2,0,2,2,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,2,0,0,0,0,False,False,,,,
878316,5,9.2,2.0,2.0,0.0,46.0,2.0,2.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:57:06Z,5,False,1086,Stephen O'Keefe,783,Cameron Bancroft,1189,David Warner,270,40,Bowler,0,0,0,0,LengthBall,OutsideOff,NotOut,InsideEdge,FrontFoot,ForwardDefensive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
878316,5,9.2,2.0,2.0,0.0,46.0,2.0,2.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:57:26Z,6,True,1086,Stephen O'Keefe,783,Cameron Bancroft,1189,David Warner,0,0,,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,99,False,False,False,False,True,False,0,0,0,0,0,False,False,Bowled,783.0,Cameron Bancroft,Bowled
878317,6,8.17,3.0,0.0,0.0,49.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:59:22Z,1,False,2941,Todd Murphy,1189,David Warner,163,Tom Kohler-Cadmore,203,157,Deep Mid Wicket,1,0,1,1,HalfVolley,MiddleStump,NotOut,None,FrontFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,False,False,True,False,1,0,0,0,0,False,False,,,,
878317,6,8.17,3.0,0.0,0.0,49.0,2.0,3.0,32323,,17725,KFC BBL|13,2,107,Sydney Thunder Men,109,Sydney Sixers Men,2024-01-12T15:59:54Z,2,False,2941,Todd Murphy,163,Tom Kohler-Cadmore,1189,David Warner,209,55,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,219,False,False,False,False,True,False,0,0,0,0,0,False,False,,,,
