over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,matchName
1587024,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437181,2026-05-25T16:01:07Z,1,False,2644,George Linde,192,Keaton Jennings,2729,Michael Jones,87,14,Short Leg,0,0,0,0,BackOfALength,Null,NotOut,Missed,0,Cut,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,48,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,,
1587024,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437183,2026-05-25T16:01:32Z,2,False,2644,George Linde,192,Keaton Jennings,2729,Michael Jones,213,162,Deep Mid Wicket,1,0,1,1,Short,Null,NotOut,Middled,0,Pull,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,48,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1587024,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437186,2026-05-25T16:02:13Z,3,False,2644,George Linde,2729,Michael Jones,192,Keaton Jennings,275,29,Silly Mid On,0,0,0,0,LengthBall,Null,NotOut,MisTimed,0,ForwardDefensive,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,48,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1587024,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437189,2026-05-25T16:02:39Z,4,False,2644,George Linde,2729,Michael Jones,192,Keaton Jennings,228,42,Short Extra Cover,0,0,0,0,BackOfALength,Null,NotOut,Played,0,Pushed,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,48,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1587024,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437192,2026-05-25T16:03:04Z,5,False,2644,George Linde,2729,Michael Jones,192,Keaton Jennings,230,27,Silly Point,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,48,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1587024,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437194,2026-05-25T16:03:26Z,6,False,2644,George Linde,2729,Michael Jones,192,Keaton Jennings,270,40,Bowler,0,0,0,0,BackOfALength,Null,NotOut,Played,0,Pushed,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,48,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1587026,2,4.0,6.0,1.0,1.0,8.0,1.0,7.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437200,2026-05-25T16:04:53Z,1,False,11088,Mohammad Ali,192,Keaton Jennings,2729,Michael Jones,189,143,Deep Mid Wicket,1,0,1,1,LengthBall,Null,NotOut,Played,0,Flick,Null,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1587026,2,4.0,6.0,1.0,1.0,8.0,1.0,7.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437203,2026-05-25T16:05:42Z,2,False,11088,Mohammad Ali,2729,Michael Jones,192,Keaton Jennings,247,81,Mid Off,1,0,1,1,BackOfALength,Null,NotOut,WellTimed,0,Slog,Null,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1587026,2,4.0,6.0,1.0,1.0,8.0,1.0,7.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437207,2026-05-25T16:06:24Z,3,False,11088,Mohammad Ali,192,Keaton Jennings,2729,Michael Jones,8,178,Deep Backward Point,4,0,4,4,BackOfALength,Null,NotOut,Middled,0,LateCut,Null,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,
1587026,2,4.0,6.0,1.0,1.0,8.0,1.0,7.0,74758,38971,T20 Blast 2026 - Men,1,50,Lancashire Men,44,Nottinghamshire Men,8437213,2026-05-25T16:07:14Z,4,False,11088,Mohammad Ali,192,Keaton Jennings,2729,Michael Jones,21,45,Gully,0,1,1,0,Short,Null,NotOut,HitBody,0,Pull,Null,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,True,False,False,95,False,False,True,False,False,False,1,0,0,1,0,False,False,,,,,
