over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude
1626229,14,7.0,4,1,0,98,4,4,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672412,2026-08-11T18:25:18Z,5,72,False,,,,2692,Paul Walter,128,Zak Crawley,2988,Matthew Revis,Right,Long Off,1,0,1,1,,LengthBall,DownLeg,,None,FrontFoot,Pushed,OffCutter,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,255.0,142.0
1626230,15,7.13,9,0,0,107,4,9,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672413,2026-08-11T18:26:40Z,1,73,False,,,,4047,Noor Ahmad,128,Zak Crawley,2988,Matthew Revis,Right,Deep Mid Wicket,2,0,2,2,,BackOfALength,DownLeg,,None,BackFoot,Worked,Googly,Over,Unorthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,309.0,169.0
1626230,15,7.13,9,0,0,107,4,9,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672414,2026-08-11T18:27:11Z,2,74,False,,,,4047,Noor Ahmad,128,Zak Crawley,2988,Matthew Revis,Right,Long Off,2,0,2,2,,LengthBall,OffStump,,Middled,FrontFoot,Drive,Googly,Over,Unorthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,264.0,139.0
1626230,15,7.13,9,0,0,107,4,9,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672415,2026-08-11T18:27:40Z,3,75,False,,,,4047,Noor Ahmad,128,Zak Crawley,2988,Matthew Revis,Right,Long Off,1,0,1,1,,LengthBall,OutsideOff,,None,FrontFoot,Drive,Googly,Over,Unorthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,252.0,151.0
1626230,15,7.13,9,0,0,107,4,9,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672416,2026-08-11T18:28:14Z,4,76,False,,,,4047,Noor Ahmad,2988,Matthew Revis,128,Zak Crawley,Right,Fine Leg,1,0,1,1,,LengthBall,DownLeg,,InsideEdge,FrontFoot,Worked,Googly,Over,Unorthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,39.0,108.0
1626230,15,7.13,9,0,0,107,4,9,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672417,2026-08-11T18:28:40Z,5,77,False,,,,4047,Noor Ahmad,128,Zak Crawley,2988,Matthew Revis,Right,Fine Leg,3,0,3,3,,BackOfALength,DownLeg,,None,MovesInfront,Sweep,Googly,Over,Unorthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,3,0,0,0,0,False,False,30.0,129.0
1626231,16,6.94,4,1,0,111,5,4,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672418,2026-08-11T18:29:48Z,1,78,False,,,,139,Liam Dawson,2988,Matthew Revis,128,Zak Crawley,Right,Deep Extra Cover,2,0,2,2,,HalfVolley,MiddleStump,,None,BacksAway,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,2,0,0,0,0,False,False,219.0,156.0
1626231,16,6.94,4,1,0,111,5,4,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672419,2026-08-11T18:30:10Z,2,79,False,,,,139,Liam Dawson,2988,Matthew Revis,128,Zak Crawley,Right,Bowler,0,0,0,0,,BackOfALength,MiddleStump,,None,BackFoot,Pushed,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,
1626231,16,6.94,4,1,0,111,5,4,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672420,2026-08-11T18:30:27Z,3,80,False,,,,139,Liam Dawson,2988,Matthew Revis,128,Zak Crawley,Right,Long Off,1,0,1,1,,BackOfALength,OffStump,,None,BackFoot,Pushed,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,242.0,123.0
1626231,16,6.94,4,1,0,111,5,4,75986,,39786,The Hundred 2026 – Men,1,929,Sunrisers Leeds Men,1447,Manchester Super Giants Men,8672421,2026-08-11T18:30:52Z,4,81,False,,,,139,Liam Dawson,128,Zak Crawley,2988,Matthew Revis,Right,Deep Cover,1,0,1,1,,BackOfALength,Wide,,None,BackFoot,Cut,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,200.0,138.0
