over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,fieldingPosition
1628505,14,8.71,11,0,0,122,2,11,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695958,2026-08-16T19:26:57Z,2,68,False,,,,7,Lewis Gregory,2680,Leus du Plooy,1838,Tim Seifert,Left,4,0,4,4,,LengthBall,DownLeg,,Middled,DeepInCrease,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,149.0,165.0,
1628505,14,8.71,11,0,0,122,2,11,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695959,2026-08-16T19:27:34Z,3,69,False,,,,7,Lewis Gregory,2680,Leus du Plooy,1838,Tim Seifert,Left,1,0,1,1,,BackOfALength,DownLeg,,None,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,158.0,117.0,Deep Backward Square Leg
1628505,14,8.71,11,0,0,122,2,11,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695960,2026-08-16T19:28:07Z,4,70,False,,,,7,Lewis Gregory,1838,Tim Seifert,2680,Leus du Plooy,Right,1,0,1,1,,LengthBall,OutsideOff,,MisTimed,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,1,0,0,0,0,False,True,323.0,122.0,Deep Mid Wicket
1628505,14,8.71,11,0,0,122,2,11,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695961,2026-08-16T19:28:49Z,5,71,False,,,,7,Lewis Gregory,2680,Leus du Plooy,1838,Tim Seifert,Left,4,0,4,4,,BackOfALength,LegStump,,WellTimed,BackFoot,LateCut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,4,0,0,0,0,True,False,48.0,163.0,
1628506,15,8.93,12,0,0,134,2,12,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695962,2026-08-16T19:30:02Z,1,72,False,,,,456,Craig Overton,1838,Tim Seifert,2680,Leus du Plooy,Right,0,0,0,0,,HalfVolley,OutsideOff,,MisTimed,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,260.0,37.0,Bowler
1628506,15,8.93,12,0,0,134,2,12,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695963,2026-08-16T19:30:28Z,2,73,False,,,,456,Craig Overton,1838,Tim Seifert,2680,Leus du Plooy,Right,0,0,0,0,,BackOfALength,OutsideOff,,Missed,BackFoot,Pull,SeamAway,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1628506,15,8.93,12,0,0,134,2,12,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695964,2026-08-16T19:30:56Z,3,74,False,,,,456,Craig Overton,1838,Tim Seifert,2680,Leus du Plooy,Right,6,0,6,6,,LengthBall,Wide,,WellTimed,MovesInfront,Scoop,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,6,0,0,0,0,True,False,70.0,161.0,
1628506,15,8.93,12,0,0,134,2,12,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695965,2026-08-16T19:31:44Z,4,75,False,,,,456,Craig Overton,1838,Tim Seifert,2680,Leus du Plooy,Right,0,0,0,0,,LengthBall,Wide,,Missed,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,False,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1628506,15,8.93,12,0,0,134,2,12,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695966,2026-08-16T19:32:11Z,5,76,False,,,,456,Craig Overton,1838,Tim Seifert,2680,Leus du Plooy,Right,6,0,6,6,,LengthBall,OutsideOff,,Middled,FrontFoot,Slog,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,6,0,0,0,0,True,False,308.0,178.0,
1628507,16,8.62,4,1,0,138,3,4,76050,,39790,The Hundred 2026 – Men,2,1447,Manchester Super Giants Men,931,Trent Rockets Men,8695967,2026-08-16T19:33:19Z,1,77,False,,,,574,Mohammad Amir,1838,Tim Seifert,2680,Leus du Plooy,Right,1,0,1,1,,LengthBall,Wide,,WellTimed,BackFoot,Cut,OffCutter,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,False,False,False,False,1,0,0,0,0,False,False,195.0,140.0,Deep Cover
