over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1621878,4,5.0,13,0,0,20,1,13,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646543,2026-08-05T17:42:10Z,1,16,False,463,Matt Henry,178,Joe Clarke,7087,Will Smeed,Right,,6,0,6,6,LengthBall,OffStump,Middled,FrontFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,326.0,176.0,,,,,,
1621878,4,5.0,13,0,0,20,1,13,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646544,2026-08-05T17:42:53Z,2,17,False,463,Matt Henry,178,Joe Clarke,7087,Will Smeed,Right,,6,0,6,6,HalfVolley,OutsideOff,Middled,BacksAway,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,210.0,175.0,,,,,,
1621878,4,5.0,13,0,0,20,1,13,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646545,2026-08-05T17:43:41Z,3,18,False,463,Matt Henry,178,Joe Clarke,7087,Will Smeed,Right,Backward Point,1,0,1,1,BackOfALength,OutsideOff,MisTimed,BacksAway,Cut,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,175.0,77.0,,,,,,
1621878,4,5.0,13,0,0,20,1,13,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646546,2026-08-05T17:44:19Z,4,19,False,463,Matt Henry,7087,Will Smeed,178,Joe Clarke,Right,Wicketkeeper,0,0,0,0,BackOfALength,OutsideOff,Missed,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,Caught,1906.0
1621878,4,5.0,13,0,0,20,1,13,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646547,2026-08-05T17:44:49Z,5,20,False,463,Matt Henry,7087,Will Smeed,178,Joe Clarke,Right,Cover,0,0,0,0,BackOfALength,OffStump,HitBody,DownTheTrack,Worked,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,191.0,21.0,,,,,,
1621879,5,5.0,5,0,0,25,1,5,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646548,2026-08-05T17:46:14Z,1,21,False,456,Craig Overton,178,Joe Clarke,7087,Will Smeed,Right,,4,0,4,4,BackOfALength,OutsideOff,WellTimed,MovesInfront,Scoop,SeamIn,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,66.0,161.0,,,,,,
1621879,5,5.0,5,0,0,25,1,5,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646549,2026-08-05T17:46:48Z,2,22,False,456,Craig Overton,178,Joe Clarke,7087,Will Smeed,Right,Wicketkeeper,0,0,0,0,Short,Wide,Left,BackFoot,Leave,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,,
1621879,5,5.0,5,0,0,25,1,5,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646550,2026-08-05T17:47:15Z,3,23,False,456,Craig Overton,178,Joe Clarke,7087,Will Smeed,Right,Deep Square Leg,1,0,1,1,BackOfALength,OutsideOff,WellTimed,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,334.0,139.0,,,,,,
1621879,5,5.0,5,0,0,25,1,5,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646551,2026-08-05T17:47:46Z,4,24,False,456,Craig Overton,7087,Will Smeed,178,Joe Clarke,Right,Backward Point,0,0,0,0,LengthBall,OutsideOff,MisTimed,BackFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,174.0,96.0,,,,,,
1621879,5,5.0,5,0,0,25,1,5,75871,,39778,The Hundred 2026 – Men,1,926,Birmingham Phoenix Men,931,Trent Rockets Men,8646552,2026-08-05T17:48:14Z,5,25,False,456,Craig Overton,7087,Will Smeed,178,Joe Clarke,Right,Backward Point,0,0,0,0,LengthBall,OutsideOff,None,BackFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,168.0,81.0,,,,,,
