over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,matchName
1603244,3,6.67,8,0,0,20,1,8,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534821,2026-06-26T21:43:53Z,5,18,False,3789,Donovan Ferreira,2646,Ryan Rickelton,729,Quinton de Kock,297.0,147.0,Left,1,0,1,1,LengthBall,OffStump,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Long Off,,,,,,
1603244,3,6.67,8,0,0,20,1,8,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534822,2026-06-26T21:44:11Z,6,19,False,3789,Donovan Ferreira,729,Quinton de Kock,2646,Ryan Rickelton,0.0,0.0,Left,0,0,0,0,LengthBall,OffStump,Missed,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,
1603245,4,6.25,5,1,0,25,2,5,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534823,2026-06-26T21:45:03Z,1,20,False,323,Adam Milne,2646,Ryan Rickelton,729,Quinton de Kock,73.0,160.0,Left,4,0,4,4,LengthBall,LegStump,ThickEdge,FrontFoot,Slog,AwaySwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,True,,,,,,,
1603245,4,6.25,5,1,0,25,2,5,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534824,2026-06-26T21:45:43Z,2,21,True,323,Adam Milne,2646,Ryan Rickelton,729,Quinton de Kock,338.0,38.0,Left,0,0,0,0,LengthBall,LegStump,HitPad,FrontFoot,Slog,NoMovement,Over,FastSeam,Right,Null,OutReviewRetained,Null,False,False,False,False,False,True,False,False,True,False,False,True,0,0,0,0,0,False,False,Cover,Lbw,2646.0,Ryan Rickelton,LBW,Lbw,
1603245,4,6.25,5,1,0,25,2,5,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534825,2026-06-26T21:48:59Z,3,22,False,323,Adam Milne,13784,Tajinder Singh,729,Quinton de Kock,199.0,34.0,Right,0,0,0,0,BackOfALength,OutsideOff,None,BackFoot,Dropped,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Cover,,,,,,
1603245,4,6.25,5,1,0,25,2,5,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534826,2026-06-26T21:49:40Z,4,23,False,323,Adam Milne,13784,Tajinder Singh,729,Quinton de Kock,353.0,132.0,Right,1,0,1,1,HalfVolley,OffStump,None,FrontFoot,Flick,InSwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Square Leg,,,,,,
1603245,4,6.25,5,1,0,25,2,5,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534827,2026-06-26T21:50:20Z,5,24,False,323,Adam Milne,729,Quinton de Kock,13784,Tajinder Singh,15.0,33.0,Left,0,0,0,0,LengthBall,LegStump,None,FrontFoot,ForwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Backward Point,,,,,,
1603245,4,6.25,5,1,0,25,2,5,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534828,2026-06-26T21:50:57Z,6,25,False,323,Adam Milne,729,Quinton de Kock,13784,Tajinder Singh,207.0,37.0,Left,0,0,0,0,BackOfALength,DownLeg,MisTimed,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Square Leg,,,,,,
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534829,2026-06-26T21:52:09Z,1,26,False,3869,Amshi de Silva,13784,Tajinder Singh,729,Quinton de Kock,0.0,0.0,Right,1,1,1,0,LengthBall,DownLeg,PlayAndMissLegSide,DownTheTrack,Flick,InSwinger,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,Wicketkeeper,,,,,,
1603246,5,6.4,7,0,0,32,2,7,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534830,2026-06-26T21:52:48Z,1,27,False,3869,Amshi de Silva,13784,Tajinder Singh,729,Quinton de Kock,184.0,38.0,Right,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Cover,,,,,,
