over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
542486,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,1,False,Second Slip,0,0,False,False,2022-05-10T19:30:18Z,7560.0,Mohsin Khan,631.0,,299.0,,120.0,50.0,0.0,0.0,LengthBall,LegStump,NotOut,OutsideEdge,FrontFoot,Worked,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,32.0,False,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
542486,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,2,False,Wicketkeeper,0,0,False,False,2022-05-10T19:30:54Z,7560.0,Mohsin Khan,631.0,,299.0,,90.0,48.0,0.0,0.0,LengthBall,MiddleStump,NotOut,Missed,NoMovement,BackwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,32.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
542486,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,3,False,Gully,0,0,False,False,2022-05-10T19:31:33Z,7560.0,Mohsin Khan,631.0,,299.0,,167.0,55.0,0.0,0.0,BackOfALength,LegStump,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,32.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
542486,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,4,False,Silly Point,0,0,False,False,2022-05-10T19:32:07Z,7560.0,Mohsin Khan,631.0,,299.0,,199.0,24.0,0.0,0.0,BackOfALength,DownLeg,NotOut,HitPad,NoMovement,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,32.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
542486,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,5,False,Third Man,0,1,False,False,2022-05-10T19:32:42Z,7560.0,Mohsin Khan,631.0,,299.0,,137.0,123.0,1.0,1.0,BackOfALength,LegStump,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,32.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
542486,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,6,False,Third Man,0,1,False,False,2022-05-10T19:33:24Z,7560.0,Mohsin Khan,299.0,,631.0,,128.0,151.0,1.0,1.0,BackOfALength,OffStump,NotOut,TopEdge,BackFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,32.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
542487,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,1,False,Gully,0,0,False,False,2022-05-10T19:34:37Z,595.0,Dushmantha Chameera,299.0,,631.0,,161.0,56.0,0.0,0.0,LengthBall,OutsideOff,NotOut,WellTimed,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
542487,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,2,False,Silly Mid Off,0,1,False,False,2022-05-10T19:35:19Z,595.0,Dushmantha Chameera,299.0,,631.0,,245.0,54.0,1.0,1.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,,,,
542487,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,3,False,Bowler,0,0,False,False,2022-05-10T19:35:58Z,595.0,Dushmantha Chameera,631.0,,299.0,,270.0,40.0,0.0,0.0,LengthBall,OffStump,NotOut,None,NoMovement,ForwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,,,,
542487,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,25005,,13250,IPL 2022,1,1166,Gujarat Titans,1167,Lucknow Super Giants,4,False,Deep Mid Wicket,0,4,False,True,2022-05-10T19:36:36Z,595.0,Dushmantha Chameera,631.0,,299.0,,346.0,206.0,4.0,4.0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Slog,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,42.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,,,,
