over_id,over_overNumber,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled
51652,4,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,1,False,,0,0,False,False
51652,4,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,2,False,,0,0,False,False
51652,4,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51652,4,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,4,False,,0,0,False,False
51652,4,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,5,False,,0,0,False,False
51652,4,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,6,False,,0,0,False,False
51651,5,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,1,False,,0,0,False,False
51651,5,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,2,False,,0,0,False,False
51651,5,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51651,5,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,4,False,,0,0,False,False
51651,5,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,5,False,,0,0,False,False
51651,5,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,6,False,,0,0,False,False
51650,6,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,1,False,,0,0,False,False
51650,6,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,2,False,,0,0,False,False
51650,6,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51650,6,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,4,False,,0,0,False,False
51650,6,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,5,False,,0,0,False,False
51650,6,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,6,False,,0,0,False,False
51649,7,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,1,False,,0,0,False,False
51649,7,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,2,False,,0,0,False,False
51649,7,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51649,7,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,4,False,,0,0,False,False
51649,7,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,5,False,,0,0,False,False
51649,7,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,6,False,,0,0,False,False
51643,8,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,1,False,,0,0,False,False
51643,8,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,2,False,,0,0,False,False
51643,8,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51643,8,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,4,False,,0,0,False,False
51643,8,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,5,False,,0,0,False,False
51643,8,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,6,False,,0,0,False,False
51642,9,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,1,False,,0,0,False,False
51642,9,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,2,False,,0,0,False,False
51642,9,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51642,9,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,3,False,,0,0,False,False
51642,9,,,1153,,1017,IPL 2018,2,245,Rajasthan Royals,241,Delhi Capitals Men,4,False,,0,0,False,False
