over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runrate
49276,2,8,0,0,16,0,8,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:38:16Z,1,False,1911.0,Piyush Chawla,1189.0,David Warner,195.0,Jonny Bairstow,200.0,27.0,Right,Short Leg,0.0,0,0,0.0,LengthBall,DownLeg,,None,FrontFoot,ForwardDefensive,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
49276,2,8,0,0,16,0,8,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:38:50Z,2,False,1911.0,Piyush Chawla,1189.0,David Warner,195.0,Jonny Bairstow,343.0,177.0,Right,Deep Cover,4.0,0,4,4.0,LengthBall,DownLeg,,WellTimed,BacksAway,Cut,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,
49276,2,8,0,0,16,0,8,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:39:31Z,3,False,1911.0,Piyush Chawla,1189.0,David Warner,195.0,Jonny Bairstow,219.0,83.0,Right,Mid Wicket,0.0,0,0,0.0,LengthBall,DownLeg,,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
49276,2,8,0,0,16,0,8,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:39:52Z,4,False,1911.0,Piyush Chawla,1189.0,David Warner,195.0,Jonny Bairstow,342.0,185.0,Right,Deep Cover,4.0,0,4,4.0,LengthBall,MiddleStump,,WellTimed,BacksAway,Cut,Slider,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,
49276,2,8,0,0,16,0,8,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:40:24Z,5,False,1911.0,Piyush Chawla,1189.0,David Warner,195.0,Jonny Bairstow,9.0,40.0,Right,Gully,0.0,0,0,0.0,LengthBall,DownLeg,Lbw,HitPad,BackFoot,Worked,Googly,Over,LegSpin,Left,NotOut1stUmpire,Null,False,False,False,False,False,True,209.0,False,False,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
49276,2,8,0,0,16,0,8,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:42:32Z,6,False,1911.0,Piyush Chawla,1189.0,David Warner,195.0,Jonny Bairstow,352.0,82.0,Right,Point,0.0,0,0,0.0,LengthBall,LegStump,,None,FrontFoot,Drive,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
49278,3,9,0,0,25,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:43:31Z,1,False,304.0,Prasidh Krishna,195.0,Jonny Bairstow,1189.0,David Warner,7.0,154.0,Left,Deep Square Leg,1.0,0,1,1.0,FullToss,MiddleStump,,None,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
49278,3,9,0,0,25,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:44:08Z,2,False,304.0,Prasidh Krishna,1189.0,David Warner,195.0,Jonny Bairstow,332.0,163.0,Right,Deep Cover,3.0,0,3,3.0,LengthBall,MiddleStump,,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,94.0,False,False,True,False,False,False,3.0,0.0,0.0,0.0,0.0,False,False,,,,,
49278,3,9,0,0,25,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:44:58Z,3,False,304.0,Prasidh Krishna,195.0,Jonny Bairstow,1189.0,David Warner,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,,Missed,FrontFoot,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
49278,3,9,0,0,25,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:45:30Z,4,False,304.0,Prasidh Krishna,195.0,Jonny Bairstow,1189.0,David Warner,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,,Missed,FrontFoot,Drive,AwaySwinger,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
49278,3,9,0,0,25,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:46:04Z,5,False,304.0,Prasidh Krishna,195.0,Jonny Bairstow,1189.0,David Warner,312.0,111.0,Left,Mid On,1.0,0,1,1.0,HalfVolley,OffStump,,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,
49278,3,9,0,0,25,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:46:54Z,6,False,304.0,Prasidh Krishna,1189.0,David Warner,195.0,Jonny Bairstow,201.0,179.0,Right,Deep Mid Wicket,4.0,0,4,4.0,BackOfALength,DownLeg,,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,94.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,
49279,4,9,1,0,34,0,9,1103,,5079,IPL 2019,1,247,Sunrisers Hyderabad,243,Kolkata Knight Riders,2019-03-24T10:48:21Z,1,False,1911.0,Piyush Chawla,195.0,Jonny Bairstow,1189.0,David Warner,0.0,0.0,Left,,0.0,0,0,0.0,LengthBall,OutsideOff,Lbw,InsideEdge,BackFoot,Worked,Googly,Over,LegSpin,Left,Out1stUmpire,Null,False,False,False,False,False,True,209.0,False,False,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,False,,,,,
