over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,over_runrate
55787,1,6.0,0.0,0.0,6.0,0.0,6.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:30:28Z,1,False,212.0,,1315.0,,206.0,,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OffStump,Missed,BackFoot,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55787,1,6.0,0.0,0.0,6.0,0.0,6.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:31:12Z,2,False,212.0,,1315.0,,206.0,,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,Missed,NoMovement,Pushed,SeamAway,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55787,1,6.0,0.0,0.0,6.0,0.0,6.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:31:54Z,3,False,212.0,,1315.0,,206.0,,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,Missed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55787,1,6.0,0.0,0.0,6.0,0.0,6.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:32:45Z,4,False,212.0,,1315.0,,206.0,,169.0,154.0,Right,Deep Backward Square Leg,2.0,0,2,2.0,BackOfALength,DownLeg,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55787,1,6.0,0.0,0.0,6.0,0.0,6.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,,5,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,
55787,1,6.0,0.0,0.0,6.0,0.0,6.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:34:17Z,6,False,212.0,,1315.0,,206.0,,338.0,91.0,Right,Cover,0.0,0,0,0.0,HalfVolley,OutsideOff,None,FrontFoot,Drive,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,False,38.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55806,2,10.0,1.0,1.0,16.0,1.0,10.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:36:10Z,1,False,1108.0,Chris Morris,206.0,,1315.0,,119.0,190.0,Left,Third Man,4.0,0,4,4.0,BackOfALength,OutsideOff,ThickEdge,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
55806,2,10.0,1.0,1.0,16.0,1.0,10.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:36:57Z,2,False,1108.0,Chris Morris,206.0,,1315.0,,314.0,109.0,Left,Mid On,1.0,0,1,1.0,BackOfALength,OutsideOff,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55806,2,10.0,1.0,1.0,16.0,1.0,10.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:37:39Z,3,False,1108.0,Chris Morris,1315.0,,206.0,,148.0,142.0,Right,Fine Leg,1.0,0,1,1.0,BackOfALength,LegStump,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
55806,2,10.0,1.0,1.0,16.0,1.0,10.0,1238,,5265,IPL 2019,1,246,Royal Challengers Bengaluru Men,241,Delhi Capitals Men,2019-04-07T11:38:17Z,4,False,1108.0,Chris Morris,206.0,,1315.0,,342.0,155.0,Left,Deep Mid Wicket,1.0,0,1,1.0,Yorker,DownLeg,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,117.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
