over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,over_runsConceded,over_wickets,over_runsExtras,referralOutcomeId
10657,4,2.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:50:30Z,5,False,,,,400.0,Jerome Taylor,339.0,Delray Rawlins,337.0,Luke Wright,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,Yorker,Null,NotOut,PlayAndMiss,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,18.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
10657,4,2.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:51:07Z,6,False,,,,400.0,Jerome Taylor,339.0,Delray Rawlins,337.0,Luke Wright,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,LengthBall,Null,NotOut,PlayAndMiss,0,Cut,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,18.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
10659,5,9.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:52:03Z,1,False,,,,7.0,Lewis Gregory,337.0,Luke Wright,339.0,Delray Rawlins,11.0,80.0,Left,Backward Square Leg,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10659,5,9.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,,2,False,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
10659,5,9.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:53:01Z,3,False,,,,7.0,Lewis Gregory,339.0,Delray Rawlins,337.0,Luke Wright,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,Short,Null,NotOut,PlayAndMiss,0,Pull,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
10659,5,9.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:53:29Z,4,False,,,,7.0,Lewis Gregory,339.0,Delray Rawlins,337.0,Luke Wright,166.0,117.0,Right,Backward Square Leg,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Flick,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10659,5,9.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:53:57Z,5,False,,,,7.0,Lewis Gregory,337.0,Luke Wright,339.0,Delray Rawlins,255.0,202.0,Left,Long Off,6.0,0,6,6.0,,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,True,False,False,False,6.0,0.0,0.0,0.0,0.0,False,True,,,,
10659,5,9.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:54:49Z,6,False,,,,7.0,Lewis Gregory,337.0,Luke Wright,339.0,Delray Rawlins,10.0,130.0,Left,Backward Square Leg,1.0,0,1,1.0,,BackOfALength,Null,NotOut,Played,0,Pull,Null,Over,Fast,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10661,6,13.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:56:05Z,1,False,,,,399.0,Roelof van der Merwe,337.0,Luke Wright,339.0,Delray Rawlins,328.0,131.0,Left,Deep Mid Wicket,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Flick,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10661,6,13.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:56:35Z,2,False,,,,399.0,Roelof van der Merwe,339.0,Delray Rawlins,337.0,Luke Wright,239.0,204.0,Right,Long On,6.0,0,6,6.0,,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,False,True,,,,
10661,6,13.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:57:00Z,3,False,,,,399.0,Roelof van der Merwe,339.0,Delray Rawlins,337.0,Luke Wright,151.0,70.0,Right,Leg Gully,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10661,6,13.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:57:24Z,4,False,,,,399.0,Roelof van der Merwe,337.0,Luke Wright,339.0,Delray Rawlins,227.0,32.0,Left,Silly Point,0.0,0,0,0.0,,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
10661,6,13.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:57:44Z,5,False,,,,399.0,Roelof van der Merwe,337.0,Luke Wright,339.0,Delray Rawlins,8.0,121.0,Left,Backward Square Leg,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10661,6,13.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:58:07Z,6,False,,,,399.0,Roelof van der Merwe,339.0,Delray Rawlins,337.0,Luke Wright,189.0,176.0,Right,Deep Mid Wicket,4.0,0,4,4.0,,LengthBall,Null,NotOut,HitHard,0,Sweep,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:59:10Z,1,False,,,,401.0,Max Waller,337.0,Luke Wright,339.0,Delray Rawlins,322.0,116.0,Left,Mid Wicket,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Flick,Null,Round,LegSpin,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T14:59:37Z,2,False,,,,401.0,Max Waller,339.0,Delray Rawlins,337.0,Luke Wright,47.0,173.0,Right,Third Man,4.0,0,4,4.0,,LengthBall,Null,NotOut,HitHard,0,ReverseSweep,Null,Round,LegSpin,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,False,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:00:01Z,3,True,Caught,339.0,Delray Rawlins,401.0,Max Waller,339.0,Delray Rawlins,337.0,Luke Wright,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,Caught,LengthBall,Null,NotOut,FalseShot,0,Slog,Null,Round,LegSpin,Left,Out2ndUmpire,Null,False,False,False,False,False,True,31.0,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:01:26Z,4,False,,,,401.0,Max Waller,51.0,David Wiese,337.0,Luke Wright,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,,LengthBall,Null,NotOut,MissedLegSide,0,Flick,Null,Round,LegSpin,Left,Null,Null,True,False,False,False,False,True,31.0,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:01:43Z,4,False,,,,401.0,Max Waller,51.0,David Wiese,337.0,Luke Wright,128.0,45.0,Left,Third Slip,0.0,1,1,0.0,,LengthBall,Null,NotOut,PlayAndMiss,0,ForwardDefensive,Null,Round,LegSpin,Left,Null,Null,False,False,False,True,False,True,31.0,False,False,False,False,False,False,0.0,0.0,0.0,1.0,0.0,False,False,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:02:12Z,5,False,,,,401.0,Max Waller,337.0,Luke Wright,51.0,David Wiese,227.0,148.0,Left,Deep Extra Cover,2.0,0,2,2.0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,LegSpin,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,False,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,
10663,7,10.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:02:40Z,6,False,,,,401.0,Max Waller,337.0,Luke Wright,51.0,David Wiese,299.0,145.0,Left,Long On,1.0,0,1,1.0,,FullToss,Null,NotOut,Played,0,Drive,Null,Round,LegSpin,Left,Null,Null,False,False,False,False,False,True,31.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10664,8,6.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:03:33Z,1,False,,,,399.0,Roelof van der Merwe,337.0,Luke Wright,51.0,David Wiese,336.0,119.0,Left,Mid Wicket,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Flick,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10664,8,6.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:03:58Z,2,False,,,,399.0,Roelof van der Merwe,51.0,David Wiese,337.0,Luke Wright,199.0,124.0,Left,Deep Cover,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
10664,8,6.0,185,Match 42,338,England Domestic T20 2018,1,35,Sussex,31,Somerset,2018-09-15T15:04:22Z,3,False,,,,399.0,Roelof van der Merwe,337.0,Luke Wright,51.0,David Wiese,328.0,76.0,Left,Mid Wicket,1.0,0,1,1.0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Round,Orthodox,Right,Null,Null,False,False,False,False,False,True,18.0,False,False,False,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
