over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,matchName
1602530,3,8.0,13,0,0,24,0,13,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530523,2026-06-26T01:41:41Z,5,17,False,,,,564,Amila Aponso,4482,Shayan Jahangir,1838,Tim Seifert,251.0,86.0,Right,Mid Off,1,0,1,1,,HalfVolley,OffStump,,None,DownTheTrack,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602530,3,8.0,13,0,0,24,0,13,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530524,2026-06-26T01:42:04Z,6,18,False,,,,564,Amila Aponso,1838,Tim Seifert,4482,Shayan Jahangir,,,Right,Bowler,0,0,0,0,,HalfVolley,MiddleStump,,None,FrontFoot,Drive,StockBall,Over,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602531,4,9.75,15,0,0,39,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530525,2026-06-26T01:43:08Z,1,19,False,,,,2705,Marco Jansen,4482,Shayan Jahangir,1838,Tim Seifert,185.0,45.0,Right,Cover,1,0,1,1,,LengthBall,LegStump,,None,FrontFoot,Dropped,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602531,4,9.75,15,0,0,39,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530526,2026-06-26T01:44:01Z,2,20,False,,,,2705,Marco Jansen,1838,Tim Seifert,4482,Shayan Jahangir,,,Right,Bowler,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,BackwardDefensive,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,
1602531,4,9.75,15,0,0,39,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530527,2026-06-26T01:44:32Z,3,21,False,,,,2705,Marco Jansen,1838,Tim Seifert,4482,Shayan Jahangir,10.0,168.0,Right,,6,0,6,6,,BackOfALength,OutsideOff,,WellTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,
1602531,4,9.75,15,0,0,39,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530528,2026-06-26T01:45:06Z,4,22,False,,,,2705,Marco Jansen,1838,Tim Seifert,4482,Shayan Jahangir,254.0,107.0,Right,Long Off,1,0,1,1,,BackOfALength,OutsideOff,,MisTimed,FrontFoot,Slog,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602531,4,9.75,15,0,0,39,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530529,2026-06-26T01:45:48Z,5,23,False,,,,2705,Marco Jansen,4482,Shayan Jahangir,1838,Tim Seifert,195.0,50.0,Right,Cover,1,0,1,1,,LengthBall,OutsideOff,,None,BacksAway,Pushed,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602531,4,9.75,15,0,0,39,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530530,2026-06-26T01:46:24Z,6,24,False,,,,2705,Marco Jansen,1838,Tim Seifert,4482,Shayan Jahangir,264.0,180.0,Right,,6,0,6,6,,LengthBall,OutsideOff,,WellTimed,BacksAway,Drive,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530531,2026-06-26T01:47:26Z,1,25,False,,,,1692,Jack Edwards,4482,Shayan Jahangir,1838,Tim Seifert,198.0,57.0,Right,Cover,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
1602532,5,10.8,15,0,0,54,0,15,75230,40134,Major League Cricket 2026,1,1296,Seattle Orcas,1295,Washington Freedom,8530532,2026-06-26T01:48:11Z,2,26,False,,,,1692,Jack Edwards,1838,Tim Seifert,4482,Shayan Jahangir,3.0,152.0,Right,Deep Backward Square Leg,1,0,1,1,,LengthBall,MiddleStump,,None,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,
