over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
941255,11,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,5,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941255,11,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,6,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941248,12,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,1,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941248,12,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941248,12,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,3,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941248,12,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,4,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941248,12,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,5,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941248,12,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,6,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,1,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,3,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,4,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,4,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,5,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941256,13,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,6,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,1,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,3,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,4,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,5,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941257,14,,,,,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,6,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941258,15,6.0,0.0,0.0,6.0,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,1,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941258,15,6.0,0.0,0.0,6.0,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,,2,False,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
941258,15,6.0,0.0,0.0,6.0,34110,,20159,Major League Cricket 2024,2,1293,MI New York,1296,Seattle Orcas,2024-07-06T04:17:09Z,3,False,9732.0,Zaman Khan,1704.0,Kieron Pollard,1846.0,Nicholas Pooran,297.0,214.0,Long On,6.0,0,6,6.0,LengthBall,OutsideOff,NotOut,Middled,FrontFoot,Slog,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,26.0,False,False,False,False,False,False,6.0,0.0,0.0,0.0,0.0,False,True
