over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount
309500,9,,,,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309500,9,,,,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309500,9,,,,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,3,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309500,9,,,,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,4,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309500,9,,,,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,5,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309500,9,,,,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,6,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309499,10,9.9,99.0,6.0,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309499,10,9.9,99.0,6.0,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309499,10,9.9,99.0,6.0,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,3,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309499,10,9.9,99.0,6.0,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,4,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309499,10,9.9,99.0,6.0,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,5,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309499,10,9.9,99.0,6.0,10163,Match 7,1253,England Domestic T20 2018,1,31,Somerset,48,Surrey,6,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309498,1,,,,10162,,1253,England Domestic T20 2018,2,48,Surrey,31,Somerset,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309498,1,,,,10162,,1253,England Domestic T20 2018,2,48,Surrey,31,Somerset,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
