over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,over_runrate,appealDismissalTypeId
59905,2,1.0,0.0,1.0,10.0,0.0,2.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,,5,False,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,
59905,2,1.0,0.0,1.0,10.0,0.0,2.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:39:23Z,6,False,,,,611.0,,590.0,Chris Lynn,975.0,Sunil Narine,347.0,121.0,Left,Mid Wicket,1.0,0,1,1.0,,Short,OutsideOff,Gloved,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
59917,3,14.0,0.0,0.0,24.0,0.0,14.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:40:37Z,1,False,,,,283.0,,590.0,Chris Lynn,975.0,Sunil Narine,347.0,191.0,Left,Deep Mid Wicket,4.0,0,4,4.0,,BackOfALength,OutsideOff,WellTimed,FrontFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,124.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
59917,3,14.0,0.0,0.0,24.0,0.0,14.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:41:21Z,2,False,,,,283.0,,590.0,Chris Lynn,975.0,Sunil Narine,333.0,210.0,Left,Deep Mid Wicket,6.0,0,6,6.0,,Short,OutsideOff,WellTimed,DownTheTrack,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,124.0,False,False,True,False,False,False,6.0,0.0,0.0,0.0,0.0,False,True,,
59917,3,14.0,0.0,0.0,24.0,0.0,14.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:42:06Z,3,False,,,,283.0,,590.0,Chris Lynn,975.0,Sunil Narine,221.0,207.0,Left,Deep Extra Cover,4.0,0,4,4.0,,HalfVolley,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
59917,3,14.0,0.0,0.0,24.0,0.0,14.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:42:47Z,4,False,,,,283.0,,590.0,Chris Lynn,975.0,Sunil Narine,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,Short,OutsideOff,Left,SwayedAway,Leave,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59917,3,14.0,0.0,0.0,24.0,0.0,14.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:43:22Z,5,False,,,,283.0,,590.0,Chris Lynn,975.0,Sunil Narine,52.0,56.0,Left,Leg Slip,0.0,0,0,0.0,,Short,OutsideOff,BottomEdge,DownTheTrack,Pull,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59917,3,14.0,0.0,0.0,24.0,0.0,14.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:44:03Z,6,False,,,,283.0,,590.0,Chris Lynn,975.0,Sunil Narine,311.0,90.0,Left,Mid On,0.0,0,0,0.0,,HalfVolley,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59928,4,9.0,0.0,0.0,33.0,0.0,9.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:44:59Z,1,False,,,,611.0,,975.0,Sunil Narine,590.0,Chris Lynn,29.0,141.0,Right,Third Man,1.0,0,1,1.0,,BackOfALength,MiddleStump,TopEdge,BackFoot,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,
59928,4,9.0,0.0,0.0,33.0,0.0,9.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:45:37Z,2,False,,,,611.0,,590.0,Chris Lynn,975.0,Sunil Narine,265.0,204.0,Left,Long Off,4.0,0,4,4.0,,HalfVolley,OffStump,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
59928,4,9.0,0.0,0.0,33.0,0.0,9.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:46:11Z,3,False,,,,611.0,,590.0,Chris Lynn,975.0,Sunil Narine,270.0,40.0,Left,Bowler,0.0,0,0,0.0,,BackOfALength,OutsideOff,None,FrontFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59928,4,9.0,0.0,0.0,33.0,0.0,9.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:46:51Z,4,False,,,,611.0,,590.0,Chris Lynn,975.0,Sunil Narine,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,LengthBall,OutsideOff,Missed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59928,4,9.0,0.0,0.0,33.0,0.0,9.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:47:27Z,5,False,,,,611.0,,590.0,Chris Lynn,975.0,Sunil Narine,152.0,70.0,Left,Backward Point,0.0,0,0,0.0,,BackOfALength,OutsideOff,HitPad,FrontFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59928,4,9.0,0.0,0.0,33.0,0.0,9.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:48:13Z,6,False,,,,611.0,,590.0,Chris Lynn,975.0,Sunil Narine,190.0,178.0,Left,Deep Cover,4.0,0,4,4.0,,HalfVolley,OutsideOff,WellTimed,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,87.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:50:09Z,1,False,,,,1027.0,Mitchell Santner,975.0,Sunil Narine,590.0,Chris Lynn,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,,LengthBall,MiddleStump,Missed,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
59937,5,5.0,1.0,3.0,38.0,1.0,5.0,1302,,5274,IPL 2019,1,243,Kolkata Knight Riders,240,Chennai Super Kings,2019-04-14T11:50:33Z,2,False,,,,1027.0,Mitchell Santner,975.0,Sunil Narine,590.0,Chris Lynn,304.0,93.0,Right,Mid Off,0.0,0,0,0.0,,HalfVolley,OffStump,None,FrontFoot,Drive,StockBall,Round,Orthodox,Right,Null,Null,False,False,False,False,False,False,124.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,
