over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,decisionOfficialId,matchName
1612060,2,9.5,8,0,0,19,0,8,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588366,2026-07-18T23:38:32Z,1,8,False,,,,770,Ben Dwarshuis,876,Andre Fletcher,781,Colin Munro,0.0,0.0,Right,Wicketkeeper,0,0,0,0,,Short,LegStump,,Missed,BackFoot,Pull,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,
1612060,2,9.5,8,0,0,19,0,8,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588367,2026-07-18T23:39:13Z,2,9,False,,,,770,Ben Dwarshuis,876,Andre Fletcher,781,Colin Munro,140.0,164.0,Right,,4,0,4,4,,BackOfALength,DownLeg,,WellTimed,BackFoot,Cut,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,
1612060,2,9.5,8,0,0,19,0,8,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588368,2026-07-18T23:39:48Z,3,10,False,,,,770,Ben Dwarshuis,876,Andre Fletcher,781,Colin Munro,149.0,161.0,Right,Backward Point,2,0,2,2,,BackOfALength,OffStump,,MisTimed,BackFoot,Cut,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,True,,
1612060,2,9.5,8,0,0,19,0,8,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588369,2026-07-18T23:40:24Z,4,11,False,,,,770,Ben Dwarshuis,876,Andre Fletcher,781,Colin Munro,318.0,36.0,Right,Mid Wicket,1,0,1,1,,LengthBall,DownLeg,,None,FrontFoot,Worked,LegCutter,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,
1612060,2,9.5,8,0,0,19,0,8,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588370,2026-07-18T23:41:11Z,5,12,False,,,,770,Ben Dwarshuis,781,Colin Munro,876,Andre Fletcher,212.0,58.0,Left,Mid Wicket,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,
1612060,2,9.5,8,0,0,19,0,8,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588371,2026-07-18T23:41:45Z,6,13,False,,,,770,Ben Dwarshuis,781,Colin Munro,876,Andre Fletcher,193.0,50.0,Left,Square Leg,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Flick,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,
1612061,3,9.33,9,0,0,28,0,9,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588372,2026-07-18T23:42:52Z,1,14,False,,,,65,Lockie Ferguson,781,Colin Munro,876,Andre Fletcher,0.0,0.0,Left,Wicketkeeper,1,1,1,0,,BackOfALength,WideDownLeg,,PlayAndMissLegSide,BackFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,
1612061,3,9.33,9,0,0,28,0,9,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588373,2026-07-18T23:43:25Z,1,15,False,,,,65,Lockie Ferguson,781,Colin Munro,876,Andre Fletcher,13.0,135.0,Left,Deep Backward Point,1,0,1,1,,Short,DownLeg,,None,BackFoot,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,
1612061,3,9.33,9,0,0,28,0,9,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588374,2026-07-18T23:44:05Z,2,16,False,,,,65,Lockie Ferguson,876,Andre Fletcher,781,Colin Munro,206.0,52.0,Right,Cover,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,
1612061,3,9.33,9,0,0,28,0,9,75595,40159,Major League Cricket 2026,1,1292,Los Angeles Knight Riders,1295,Washington Freedom,8588375,2026-07-18T23:44:35Z,3,17,False,,,,65,Lockie Ferguson,876,Andre Fletcher,781,Colin Munro,339.0,174.0,Right,,4,0,4,4,,BackOfALength,OutsideOff,,WellTimed,MovesInfront,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,
