over_id,over_overNumber,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,over_runrate,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:01:59Z,1,False,,,,2705,Marco Jansen,3149,Finn Allen,2911,Jake Fraser-McGurk,282,200,Long On,5,1,5,4,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Slog,InSwinger,Over,Fast,Left,Null,NotReferred,FrontFoot,False,True,False,False,True,False,84,False,True,True,False,False,False,4,0,0,0,1,False,True
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:02:42Z,1,False,,,,2705,Marco Jansen,3149,Finn Allen,2911,Jake Fraser-McGurk,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Slog,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,84,True,False,True,False,False,False,0,0,0,0,0,False,False
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:03:15Z,2,False,,,,2705,Marco Jansen,3149,Finn Allen,2911,Jake Fraser-McGurk,228,151,Deep Extra Cover,2,0,2,2,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,84,False,False,True,False,False,False,2,0,0,0,0,False,False
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:04:10Z,3,True,Caught,3149.0,Finn Allen,2705,Marco Jansen,3149,Finn Allen,2911,Jake Fraser-McGurk,90,48,Wicketkeeper,0,0,0,0,Caught,LengthBall,OutsideOff,NotOut,OutsideEdge,FrontFoot,Drive,NoMovement,Over,Fast,Left,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,84,False,False,True,False,False,False,0,0,0,0,0,False,False
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:05:39Z,4,False,,,,2705,Marco Jansen,8187,Sanjay Krishnamurthi,2911,Jake Fraser-McGurk,90,48,Wicketkeeper,1,1,1,0,,Short,LegStump,NotOut,Left,BackFoot,Leave,NoMovement,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,84,False,False,True,False,False,False,0,0,1,0,0,False,False
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:06:18Z,4,False,,,,2705,Marco Jansen,8187,Sanjay Krishnamurthi,2911,Jake Fraser-McGurk,179,189,Deep Point,4,0,4,4,,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,84,False,False,True,False,False,False,4,0,0,0,0,False,False
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:07:04Z,5,False,,,,2705,Marco Jansen,8187,Sanjay Krishnamurthi,2911,Jake Fraser-McGurk,146,135,Third Man,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Cut,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,84,False,False,True,False,False,False,1,0,0,0,0,False,False
946930,1,15.0,1.0,2.0,15.0,15.0,15.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:07:49Z,6,False,,,,2705,Marco Jansen,2911,Jake Fraser-McGurk,8187,Sanjay Krishnamurthi,231,150,Deep Extra Cover,2,0,2,2,,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,84,False,False,True,False,False,False,2,0,0,0,0,False,False
946931,2,5.0,0.0,0.0,5.0,10.0,20.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:09:14Z,1,False,,,,3479,Saurabh Netravalkar,8187,Sanjay Krishnamurthi,2911,Jake Fraser-McGurk,141,76,Short Third Man,0,0,0,0,,LengthBall,LegStump,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,436,False,False,True,False,False,False,0,0,0,0,0,False,False
946931,2,5.0,0.0,0.0,5.0,10.0,20.0,1.0,34366,,20181,Major League Cricket 2024,1,1294,San Francisco Unicorns,1295,Washington Freedom,2024-07-26T06:09:55Z,2,False,,,,3479,Saurabh Netravalkar,8187,Sanjay Krishnamurthi,2911,Jake Fraser-McGurk,211,59,Short Extra Cover,1,0,1,1,,LengthBall,DownLeg,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,436,False,False,True,False,False,False,1,0,0,0,0,False,False
