over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1115118,10,5.1,4.0,0.0,0.0,51.0,2.0,4.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:40:09Z,4,49,False,,,,2644,George Linde,5,Tom Abell,80,Stephen Eskinazi,166,137,Deep Backward Point,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,BackFoot,Cut,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115118,10,5.1,4.0,0.0,0.0,51.0,2.0,4.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:40:45Z,5,50,False,,,,2644,George Linde,80,Stephen Eskinazi,5,Tom Abell,155,75,Backward Point,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,False,False,False,False,0,0,0,0,0,False,False,0.0
1115128,11,5.09,5.0,0.0,0.0,56.0,2.0,5.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:41:53Z,1,51,False,,,,8105,Rehan Ahmed,5,Tom Abell,80,Stephen Eskinazi,321,148,Deep Mid Wicket,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,BackFoot,Pull,Googly,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115128,11,5.09,5.0,0.0,0.0,56.0,2.0,5.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:42:21Z,2,52,False,,,,8105,Rehan Ahmed,80,Stephen Eskinazi,5,Tom Abell,345,101,Mid Wicket,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,BackFoot,Worked,Googly,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115128,11,5.09,5.0,0.0,0.0,56.0,2.0,5.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:42:44Z,3,53,False,,,,8105,Rehan Ahmed,5,Tom Abell,80,Stephen Eskinazi,248,151,Long Off,1,0,1,1,,LengthBall,Wide,NotOut,None,BackFoot,Drive,Googly,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115128,11,5.09,5.0,0.0,0.0,56.0,2.0,5.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:43:09Z,4,54,False,,,,8105,Rehan Ahmed,80,Stephen Eskinazi,5,Tom Abell,129,78,Short Third Man,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ReverseSweep,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115128,11,5.09,5.0,0.0,0.0,56.0,2.0,5.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:43:30Z,5,55,False,,,,8105,Rehan Ahmed,5,Tom Abell,80,Stephen Eskinazi,19,144,Deep Backward Square Leg,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Sweep,LegSpinner,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,0.0
1115130,12,5.42,8.0,0.0,0.0,65.0,2.0,8.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:44:18Z,1,56,False,,,,2644,George Linde,80,Stephen Eskinazi,5,Tom Abell,220,186,Deep Extra Cover,4,0,4,4,,LengthBall,OutsideOff,NotOut,WellTimed,DownTheTrack,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,True,False,53,False,False,False,False,False,False,4,0,0,0,0,False,True,
1115130,12,5.42,8.0,0.0,0.0,65.0,2.0,8.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:44:54Z,2,57,False,,,,2644,George Linde,80,Stephen Eskinazi,5,Tom Abell,247,162,Long Off,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,
1115130,12,5.42,8.0,0.0,0.0,65.0,2.0,8.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:45:26Z,3,58,False,,,,2644,George Linde,5,Tom Abell,80,Stephen Eskinazi,167,134,Deep Backward Point,1,0,1,1,,LengthBall,OffStump,NotOut,None,BackFoot,Drive,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,
1115130,12,5.42,8.0,0.0,0.0,65.0,2.0,8.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:45:50Z,4,59,False,,,,2644,George Linde,80,Stephen Eskinazi,5,Tom Abell,323,54,Short Mid Wicket,1,0,1,1,,LengthBall,OffStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,53,False,False,False,False,False,False,1,0,0,0,0,False,False,
